General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.94601898,115.107784,0.00124267,0.04585993,1.000404,0.998705,-1.057614,-0.0012,102.1236,0,270.024,326.402,328.367,1147.883,0,0
Standard used,ISO 5660-1,1,20.94975179,111.716582,0.00161184,0.04645841,0.99914,0.998489,-1.057614,0,102.1245,0,270.024,326.414,328.393,1147.758,0,0
Date of test,08/11/2018,2,20.95348461,108.325379,0.00198102,0.04705688,0.997876,0.998273,-1.057614,0.0013,102.1255,0,270.024,326.427,328.418,1147.633,0,0
Time of test,11:12,3,20.95222805,106.246266,0.00190815,0.04534259,0.997697,0.998173,-1.057614,0.0016,102.1252,0,270.03,326.494,328.496,1148.846,0,0
Heat flux (kW/m²),50,4,20.94759627,109.036447,0.00166622,0.04402649,0.997246,0.998126,-1.057614,0.0017,102.1271,0,270.023,326.565,328.556,1147.633,0,0
Nominal duct flow rate (l/s),24,5,20.9433119,109.392014,0.00156295,0.04385874,0.997083,0.998106,-1.057614,0.002,102.1264,0,270.031,326.571,328.549,1147.066,0,0
Sampling interval (s),1,6,20.94571541,109.37257,0.00159065,0.04503393,0.997257,0.99789,-1.057614,0.0001,102.1286,0,270.036,326.532,328.472,1146.861,0,0
Separation (mm),60,7,20.94924433,110.303532,0.00177188,0.04737745,0.999048,0.997829,-1.057614,0.0009,102.1283,0,270.029,326.534,328.509,1146.642,0,0
Orientation,Horizontal,8,20.95076918,111.892058,0.00207504,0.04663411,0.996568,0.997656,-1.057614,0.0015,102.1259,0,270.038,326.613,328.548,1146.409,0,0
Edge frame?,Yes,9,20.94957865,112.824734,0.00203063,0.04483233,0.997,0.997578,-1.057614,0.0028,102.1274,0,270.036,326.593,328.482,1146.205,0,0
Grid?,No,10,20.94537963,108.769644,0.00188108,0.04390967,0.997736,0.997515,-1.057614,-0.0001,102.1267,0,270.032,326.496,328.411,1146.038,0,0
Non-scrubbed?,Yes,11,20.94331206,112.923434,0.00173484,0.04440291,0.996722,0.997424,-1.057614,-0.0001,102.1277,0,270.044,326.405,328.292,1145.878,0,0
Substrate used? {Y/N},No,12,20.94659715,110.22889,0.00169928,0.04595716,0.996139,0.997427,-1.057614,0,102.1285,0,270.031,326.288,328.152,1145.707,0,0
Substrate,none,13,20.94818378,109.936806,0.00185897,0.04775176,0.997494,0.997336,-1.057614,0.0022,102.1282,0,270.033,326.164,328.045,1145.501,0,0
Additional specimen preparation details,,14,20.94875606,113.71152,0.00193769,0.04659929,0.996782,0.997158,-1.057614,0.0031,102.128,0,270.032,326.113,328.004,1145.319,0,0
,,15,20.94826079,111.296984,0.00177209,0.04487719,0.996682,0.997215,-1.057614,0.0008,102.1288,0,270.036,326.179,328.021,1145.159,0,0
Specimen,,16,20.94475405,111.428393,0.00157194,0.04394085,0.996471,0.997102,-1.057614,0.0016,102.1264,0,270.037,326.166,328.012,1144.976,0,0
Sample description,After weatherbility test_Ch_Phytic,17,20.94366162,109.669627,0.00148176,0.04438267,0.995919,0.997171,-1.057614,-0.0001,102.1265,0,270.058,326.14,327.985,1144.822,0,0
Material name/ID,,18,20.94715136,111.989503,0.00153063,0.04621314,0.996389,0.997015,-1.057614,0.0017,102.128,0,270.038,326.112,327.957,1144.666,0,0
Specimen number,,19,20.95014875,113.184293,0.00185484,0.04749269,0.996626,0.997033,-1.057614,0.0027,102.1296,0,270.039,326.063,327.891,1144.503,0,0
E (MJ/kg),13.1,20,20.95068386,112.579937,0.00194837,0.04611449,0.997728,0.996995,-1.057614,0.005,102.1289,0,270.03,326.002,327.817,1144.361,0,0
Initial mass (g),54.02,21,20.94844977,111.227929,0.00174787,0.0443929,0.997747,0.997013,-1.057614,0.0032,102.1287,0,270.04,325.981,327.809,1144.228,0,0
Thickness (mm),12.5,22,20.94235903,107.868276,0.00164416,0.04390577,0.996244,0.996924,-1.057614,0.0011,102.1284,0,270.044,326.027,327.844,1144.08,0,0
Surface area (cm²),88.4,23,20.94330323,109.98435,0.00164372,0.04471502,0.997737,0.996943,-1.057614,0.0004,102.1302,0,270.03,326.006,327.809,1143.969,0,0
Sponsor,,24,20.94785674,113.17689,0.00177993,0.04703156,0.998703,0.996998,-1.057614,0.0032,102.1291,0,270.033,325.965,327.783,1143.836,0,0
Manufacturer,,25,20.95158388,115.044061,0.00191828,0.04795604,0.996418,0.996986,-1.057614,0.0022,102.1276,0,270.028,325.942,327.731,1143.695,0,0
Test start time (s),140,26,20.95236473,110.733727,0.00195556,0.04589076,0.995872,0.996872,-1.057614,0.0022,102.1258,0,270.045,325.897,327.724,1143.565,0,0
Time to ignition (s),28,27,20.94971106,111.571319,0.00176855,0.04433106,0.99678,0.997202,-1.057614,0.0011,102.1275,0,270.011,325.897,327.728,1143.445,0,0
Time to flameout (s),967,28,20.94545189,111.618706,0.00155838,0.04397963,0.996934,0.997456,-1.057614,0.0008,102.1278,0,270.024,325.924,327.756,1143.314,0,0
End of test criterion,ISO 5660-1:2002,29,20.94685676,112.01764,0.00147978,0.04457906,0.997321,0.99762,-1.057614,0.0015,102.1261,0,270.044,325.959,327.761,1143.201,0,0
User EOT time (s),,30,20.9505591,113.961127,0.00160325,0.04711012,0.996993,0.997531,-1.057614,0.0003,102.1247,0,270.029,325.951,327.742,1143.127,0,0
MLR EOT mass (g/m²),150,31,20.95264862,111.718264,0.00179957,0.04799892,0.997483,0.997621,-1.057614,-0.0004,102.1265,0,270.03,325.932,327.74,1143.064,0,0
MLR EOT time period (s),60,32,20.95218996,111.392831,0.00173782,0.04566769,0.997362,0.997608,-1.057614,0.0015,102.1281,0,270.025,325.934,327.726,1145.78,0,0
Truncate graphs at EOT?,No,33,20.94878106,111.433837,0.00159767,0.04421424,0.99882,0.997795,-1.057614,0.0025,102.1281,0,270.045,325.892,327.717,1143.649,0,0
Smooth data?,No,34,20.9451794,111.052535,0.00142944,0.04401698,0.997844,0.997909,-1.057614,0.0032,102.1283,0,270.056,325.914,327.716,1142.89,0,0
Correct O2 for pressure?,No,35,20.9460217,110.038717,0.00141527,0.04477351,0.998299,0.99808,-1.057614,0.0002,102.1291,0,270.038,325.929,327.757,1142.857,0,0
,,36,20.94899304,108.313661,0.00157537,0.04732771,0.998945,0.998106,-1.057614,0.0004,102.1267,0,270.047,325.979,327.807,1142.809,0,0
Specifications: apparatus,,37,20.95082033,109.456129,0.00171317,0.04736735,0.99787,0.998364,-1.057614,0.0016,102.1276,0,270.021,325.99,327.787,1142.769,0,0
C-factor (SI units),0.045488,38,20.94989537,115.817383,0.00166788,0.04527911,0.99899,0.998474,-1.057614,0.003,102.1288,0,270.014,325.882,327.653,1142.675,0,0
OD correction factor,0.97963,39,20.94594578,110.942189,0.00151279,0.04401304,0.998393,0.99866,-1.057614,0.0028,102.1285,0,270.024,325.756,327.547,1142.589,0,0
Duct diameter (m),0.114,40,20.9432623,111.138801,0.00140672,0.0441377,0.997264,0.99888,-1.057614,0.0029,102.1268,0,270.035,325.673,327.435,1142.539,0,0
O2 delay time (s),0,41,20.9462866,113.207302,0.0014624,0.04625019,0.998553,0.998902,-1.057614,0.0029,102.1282,0,270.04,325.564,327.312,1145.232,0,0
CO2 delay time (s),0,42,20.94963343,115.062622,0.00167428,0.04765317,0.997667,0.99904,-1.057614,0.0028,102.1297,0,270.035,325.452,327.191,1143.098,0,0
CO delay time (s),0,43,20.95089005,111.11263,0.00186452,0.04679472,0.998607,0.999317,-1.057614,0.002,102.1279,0,270.016,325.361,327.096,1142.346,0,0
,,44,20.94943737,110.653005,0.00179115,0.0453287,0.999615,0.999332,-1.057614,0.003,102.1282,0,270.011,325.247,326.956,1142.305,0,0
Laboratory,,45,20.94514558,113.53991,0.00157324,0.04404748,0.998638,0.999484,-1.057614,0.003,102.127,0,270.021,325.105,326.83,1142.276,0,0
Laboratory name,FTT Cone - NIST,46,20.94361368,109.911549,0.00148056,0.04441454,1.000945,0.999624,-1.057614,0.0018,102.1264,0,270.024,325.077,326.83,1146.047,0,0
Operator,Shields,47,20.94703116,111.774373,0.00157098,0.04589274,0.999872,0.999758,-1.057614,0.002,102.1279,0,270.032,325.093,326.784,1147.408,0,0
Filename,C:\CC5\DATA\18110006.CSV,48,20.95006814,111.56581,0.00185863,0.04772188,0.998596,0.999765,-1.057614,0.0016,102.127,0,270.04,325.054,326.775,1147.181,0,0
Report name,,49,20.95090116,106.218415,0.00209451,0.04657506,0.999653,0.999945,-1.057614,0.0027,102.1285,0,270.017,325.058,326.766,1143.22,0,0
,,50,20.9475746,109.9585,0.00201037,0.04462652,0.998741,1.000079,-1.057614,0.0012,102.1259,0,270.029,325.044,326.754,1142.231,0,0
,,51,20.94240444,110.845524,0.00183633,0.04387886,0.998641,1.000288,-1.057614,0.0023,102.1264,0,270.036,325.062,326.756,1142.223,0,0
Pre-test conditions,,52,20.94205996,111.367069,0.00172462,0.04430345,0.99971,1.000433,-1.057614,0.002,102.1262,0,270.045,325.091,326.778,1142.211,0,0
Ambient temperature (°C),21.7,53,20.94560379,111.713836,0.00171894,0.04597223,1.001311,1.000556,-1.057614,0.0026,102.125,0,270.039,325.109,326.785,1142.163,0,0
Barometric pressure (Pa),102127,54,20.94844688,113.82263,0.00192038,0.04687707,0.999222,1.000668,-1.057614,0.0021,102.1261,0,270.021,325.087,326.74,1142.126,0,0
Relative humidity (%),26.5,55,20.94876373,116.275649,0.00188502,0.0454687,1.000518,1.000896,-1.057614,0.0031,102.1248,0,270.02,324.995,326.654,1142.099,0,0
,,56,20.94629545,114.343563,0.0016096,0.04363992,0.999583,1.001113,-1.057614,0.0027,102.126,0,270.034,324.943,326.594,1142.037,0,0
,,57,20.94175739,110.333133,0.00139316,0.04307027,0.999432,1.001199,-1.057614,0.0005,102.1272,0,270.047,324.89,326.535,1141.991,0,0
Conditioning,,58,20.94260177,111.880134,0.00132564,0.0444424,1.001952,1.001362,-1.057614,-0.0018,102.1274,0,270.04,324.822,326.48,1141.97,0,0
Conditioned? {Y/N},No,59,20.9463576,110.174022,0.00150684,0.04716205,1.001644,1.001522,-1.057614,0.0017,102.1284,0,270.035,324.828,326.511,1141.943,0,0
Conditioning temperature (°C),N/A,60,20.94867277,110.341085,0.00186159,0.04756308,1.000993,1.001672,-1.057614,0.0023,102.126,0,270.044,324.863,326.515,1141.922,0,0
Conditioning RH (%),N/A,61,20.94849254,111.958873,0.00199016,0.04568845,1.001349,1.001922,-1.057614,0.0009,102.1254,0,270.047,324.879,326.48,1141.889,0,0
,,62,20.94540728,112.343762,0.00191209,0.0441555,1.000661,1.001987,-1.057614,-0.0001,102.1264,0,270.037,324.797,326.375,1141.859,0,0
Data collected,,63,20.94289467,114.267878,0.00186325,0.04396801,1.00148,1.002177,-1.057614,0.0017,102.1275,0,270.026,324.697,326.312,1141.847,0,0
CO/CO2 data collected?,Yes,64,20.94527335,113.391418,0.00189648,0.045454,1.002833,1.002333,-1.057614,0.0021,102.128,0,270.043,324.668,326.278,1141.819,0,0
Mass data collected?,Yes,65,20.94875876,111.842233,0.00205092,0.0471768,1.003134,1.002621,-1.057614,0.0004,102.128,0,270.026,324.67,326.272,1141.821,0,0
Smoke data collected?,Yes,66,20.95075246,110.926395,0.00230048,0.04734802,1.003844,1.002731,-1.057614,0.0007,102.1293,0,270.047,324.656,326.262,1141.829,0,0
Soot mass data collected?,No,67,20.95008596,112.905785,0.00236917,0.0456862,1.004027,1.002997,-1.057614,0.0017,102.1289,0,270.027,324.619,326.239,1141.845,0,0
Soot mass ratio (1:x),N/A,68,20.94656803,111.86223,0.00215247,0.04410144,1.003776,1.003224,-1.057614,0.001,102.1276,0,270.029,324.606,326.221,1141.889,0,0
Soot mass (g),N/A,69,20.94326037,109.494248,0.00203999,0.04389013,1.004617,1.003274,-1.057614,-0.0009,102.1274,0,270.039,324.599,326.231,1141.935,0,0
,,70,20.94599844,110.982359,0.00205267,0.04518831,1.004079,1.003377,-1.057614,0.0006,102.1279,0,270.046,324.65,326.293,1141.957,0,0
Comments,,71,20.94945807,110.708536,0.00227998,0.04763625,1.003982,1.003612,-1.057614,0.0007,102.1277,0,270.053,324.766,326.416,1141.968,0,0
Pre-test comments,,72,20.95086896,109.306963,0.00243036,0.04711447,1.00548,1.003693,-1.057614,0.0004,102.1293,0,270.029,324.846,326.502,1142.008,0,0
After-test comments,Ignition;28+5sec,73,20.95069003,108.326502,0.00227246,0.04498152,1.003709,1.00388,-1.057614,0.0007,102.1272,0,270.03,324.895,326.527,1142.027,0,0
,,74,20.94744141,111.231131,0.00209923,0.04394159,1.002956,1.003953,-1.057614,0.0021,102.1272,0,270.042,324.864,326.467,1145.869,0,0
,,75,20.94533705,109.791293,0.00206891,0.04421911,1.003813,1.004183,-1.057614,0.0028,102.1284,0,270.036,324.765,326.399,1146.698,0,0
,,76,20.9485681,111.039978,0.00207391,0.04589399,1.004778,1.004356,-1.057614,0.0034,102.1289,0,270.032,324.77,326.447,1142.989,0,0
,,77,20.95182942,111.513073,0.00215103,0.04779609,1.005015,1.004607,-1.057614,0.0033,102.1271,0,270.028,324.843,326.48,1142.102,0,0
,,78,20.95289693,110.323656,0.00217008,0.04656878,1.003821,1.00477,-1.057614,0.0001,102.128,0,270.025,324.818,326.409,1142.081,0,0
,,79,20.95108849,113.903591,0.00189922,0.04462685,1.004152,1.005007,-1.057614,0.0015,102.127,0,270.016,324.663,326.233,1144.876,0,0
,,80,20.94658061,111.167583,0.00164693,0.04385155,1.004004,1.005178,-1.057614,0.0024,102.1272,0,270.036,324.513,326.118,1142.679,0,0
,,81,20.94572082,113.700962,0.00149532,0.04418651,1.005154,1.00524,-1.057614,0.0019,102.1263,0,270.038,324.443,326.087,1142.049,0,0
,,82,20.94939896,111.22791,0.00152203,0.04683367,1.004969,1.005494,-1.057614,0.0005,102.1269,0,270.029,324.459,326.095,1142.078,0,0
,,83,20.95223991,112.424844,0.00169083,0.04795008,1.005447,1.005515,-1.057614,-0.0005,102.1257,0,270.025,324.47,326.092,1142.082,0,0
