General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.93965106,109.96273,0.0006991,0.03904837,1.005489,1.001857,47.757949,0.0025,101.5713,0,269.849,325.508,328.886,1140.148,0,0
Standard used,ISO 5660-1,1,20.94382043,109.817351,0.00080751,0.04118203,1.003999,1.001804,47.757949,0.0011,101.5703,0,269.842,325.595,328.978,1140.123,0,0
Date of test,25/10/2018,2,20.94798979,109.671972,0.00091593,0.04331569,1.002509,1.001751,47.757949,-0.0004,101.5694,0,269.836,325.681,329.071,1140.098,0,0
Time of test,15:22,3,20.94982229,108.631362,0.0012358,0.04523651,1.002552,1.001908,47.757949,-0.0003,101.5681,0,269.859,325.73,329.158,1140.059,0,0
Heat flux (kW/m²),50,4,20.95013742,105.88034,0.00135908,0.04447194,1.003339,1.002,47.757949,0.0016,101.5671,0,269.859,325.801,329.237,1140.059,0,0
Nominal duct flow rate (l/s),24,5,20.94823963,106.884786,0.00121714,0.042547,1.002122,1.002108,47.757949,0.0005,101.5684,0,269.842,325.814,329.266,1140.095,0,0
Sampling interval (s),1,6,20.94395344,111.170291,0.00097638,0.04164133,1.003241,1.002306,47.757949,-0.0014,101.5678,0,269.855,325.845,329.289,1140.12,0,0
Separation (mm),60,7,20.94312959,109.871479,0.00083543,0.04242972,1.003743,1.002451,47.757949,0.001,101.5672,0,269.848,325.898,329.359,1140.112,0,0
Orientation,Horizontal,8,20.94674108,108.348161,0.00092028,0.04466374,1.003024,1.002478,47.757949,0.0014,101.5677,0,269.838,325.941,329.42,1140.095,0,0
Edge frame?,Yes,9,20.94953162,109.792751,0.00113049,0.04540447,1.003268,1.002617,47.757949,-0.0009,101.5665,0,269.84,325.951,329.436,1140.087,0,0
Grid?,No,10,20.95010162,107.423143,0.0012064,0.04395247,1.003494,1.002645,47.757949,-0.0026,101.5693,0,269.841,325.975,329.495,1140.126,0,0
Non-scrubbed?,Yes,11,20.9477599,104.878409,0.00106034,0.04274554,1.004502,1.002843,47.757949,-0.0015,101.5699,0,269.833,326.074,329.594,1140.189,0,0
Substrate used? {Y/N},No,12,20.94319559,104.710974,0.00086576,0.04239931,1.003248,1.002934,47.757949,0.0012,101.5695,0,269.826,326.14,329.653,1140.255,0,0
Substrate,none,13,20.94363709,109.399708,0.00077048,0.04269395,1.003092,1.003176,47.757949,0.0021,101.5679,0,269.839,326.113,329.604,1142.963,0,0
Additional specimen preparation details,,14,20.94728964,107.864689,0.00079601,0.0445275,1.003126,1.003435,47.757949,-0.0014,101.5685,0,269.826,325.978,329.489,1141.12,0,0
,,15,20.94977383,111.049333,0.00100745,0.04507663,1.003407,1.003555,47.757949,-0.0004,101.5703,0,269.831,325.856,329.376,1140.395,0,0
Specimen,,16,20.94980332,109.687282,0.00103903,0.04367589,1.003127,1.003669,47.757949,0.0022,101.5698,0,269.832,325.726,329.261,1140.446,0,0
Sample description,bare lumber,17,20.94693605,107.888265,0.00089084,0.04217061,1.003538,1.003718,47.757949,0.0007,101.5687,0,269.831,325.628,329.17,1140.499,0,0
Material name/ID,,18,20.94263661,109.999005,0.00080387,0.0416362,1.004234,1.003756,47.757949,-0.0016,101.5685,0,269.82,325.544,329.082,1140.573,0,0
Specimen number,,19,20.94559162,111.217532,0.00088563,0.04246557,1.003827,1.003917,47.757949,-0.0015,101.568,0,269.817,325.441,328.985,1140.589,0,0
E (MJ/kg),13.1,20,20.94975151,109.880348,0.0010748,0.04489082,1.004109,1.003935,47.757949,-0.0009,101.5678,0,269.82,325.413,328.942,1140.56,0,0
Initial mass (g),51.345,21,20.9519005,107.053271,0.00132733,0.04560344,1.00417,1.004177,47.757949,0.001,101.567,0,269.829,325.395,328.946,1140.507,0,0
Thickness (mm),12.5,22,20.95143576,108.022514,0.00140628,0.04335211,1.003682,1.004276,47.757949,-0.0019,101.5681,0,269.823,325.44,328.969,1143.176,0,0
Surface area (cm²),88.4,23,20.94802173,110.044165,0.00124552,0.04186166,1.003221,1.004434,47.757949,0.002,101.5705,0,269.826,325.454,328.938,1141.162,0,0
Sponsor,,24,20.94301893,111.093101,0.00107278,0.04177569,1.004208,1.004508,47.757949,0.0011,101.5714,0,269.815,325.41,328.885,1140.332,0,0
Manufacturer,,25,20.94494883,109.260886,0.00097644,0.04346272,1.004846,1.004602,47.757949,0.0012,101.5704,0,269.811,325.379,328.846,1140.289,0,0
Test start time (s),135,26,20.94849936,109.703155,0.00102636,0.04542661,1.005568,1.004627,47.757949,0.0018,101.5711,0,269.821,325.434,328.928,1140.275,0,0
Time to ignition (s),16,27,20.95006051,108.547434,0.00112267,0.04517247,1.005264,1.004638,47.757949,-0.0002,101.5714,0,269.826,325.534,329.011,1140.254,0,0
Time to flameout (s),743,28,20.94903221,108.603685,0.00092105,0.0431332,1.004909,1.004673,47.757949,-0.0013,101.5686,0,269.809,325.581,329.043,1140.25,0,0
End of test criterion,ISO 5660-1:2002,29,20.94530627,108.474143,0.00061492,0.04178187,1.005462,1.004813,47.757949,-0.0013,101.567,0,269.83,325.622,329.096,1140.251,0,0
User EOT time (s),,30,20.9426401,109.86371,0.00049939,0.04191493,1.005889,1.004803,47.757949,-0.0014,101.5666,0,269.816,325.659,329.113,1140.285,0,0
MLR EOT mass (g/m²),150,31,20.94556353,110.743752,0.00059208,0.04350169,1.005284,1.004932,47.757949,-0.0025,101.5681,0,269.795,325.696,329.119,1140.339,0,0
MLR EOT time period (s),60,32,20.95048076,110.432377,0.00089166,0.0454014,1.006539,1.004969,47.757949,-0.0026,101.5677,0,269.796,325.642,329.093,1140.379,0,0
Truncate graphs at EOT?,No,33,20.95208935,111.044049,0.00116995,0.04469851,1.006083,1.00498,47.757949,-0.002,101.5667,0,269.811,325.605,329.05,1140.382,0,0
Smooth data?,No,34,20.95059221,109.403144,0.00120952,0.04309235,1.005354,1.005102,47.757949,-0.0025,101.5673,0,269.824,325.575,328.981,1140.383,0,0
Correct O2 for pressure?,No,35,20.94635933,107.187587,0.00104563,0.04179816,1.005829,1.004995,47.757949,-0.0023,101.5672,0,269.811,325.516,328.975,1140.407,0,0
,,36,20.94501898,107.20673,0.00096642,0.04230467,1.005455,1.004977,47.757949,-0.002,101.569,0,269.81,325.534,329,1140.444,0,0
Specifications: apparatus,,37,20.94875883,104.196253,0.00110104,0.04388349,1.005873,1.004908,47.757949,0.0012,101.5674,0,269.811,325.548,329.004,1140.452,0,0
C-factor (SI units),0.045036,38,20.95149884,107.936413,0.00128572,0.04541111,1.00526,1.005082,47.757949,-0.0021,101.5676,0,269.801,325.521,328.98,1140.424,0,0
OD correction factor,0.97963,39,20.95208239,108.220152,0.00131574,0.04401217,1.004964,1.005057,47.757949,-0.0001,101.5665,0,269.811,325.559,329.025,1136.846,0,0
Duct diameter (m),0.114,40,20.94845728,109.522203,0.00109998,0.0422037,1.004834,1.005038,47.757949,0.0001,101.5656,0,269.804,325.51,328.962,1135.793,0,0
O2 delay time (s),0,41,20.94383528,109.775784,0.00094671,0.04158973,1.004429,1.005165,47.757949,0.0003,101.5676,0,269.793,325.438,328.901,1136.336,0,0
CO2 delay time (s),0,42,20.94350625,109.990701,0.00089872,0.04273133,1.005924,1.005191,47.757949,0.0007,101.5661,0,269.807,325.405,328.902,1139.572,0,0
CO delay time (s),0,43,20.94709445,106.472783,0.00096449,0.04454301,1.004918,1.005145,47.757949,0.0012,101.5684,0,269.816,325.482,328.982,1140.406,0,0
,,44,20.94973087,109.888679,0.00109258,0.0456783,1.006251,1.005188,47.757949,-0.0013,101.5676,0,269.77,325.542,329.038,1140.342,0,0
Laboratory,,45,20.94996347,107.825305,0.00118558,0.04406058,1.004871,1.005266,47.757949,-0.0028,101.5669,0,269.789,325.634,329.109,1140.252,0,0
Laboratory name,FTT Cone - NIST,46,20.94725599,107.571558,0.00097686,0.04207026,1.006004,1.005176,47.757949,-0.0011,101.5658,0,269.805,325.715,329.179,1140.193,0,0
Operator,Shields,47,20.94293631,103.854162,0.00083159,0.04162521,1.005764,1.005287,47.757949,-0.0004,101.5658,0,269.794,325.76,329.213,1140.112,0,0
Filename,C:\CC5\DATA\18100027.CSV,48,20.94417853,107.08862,0.00082228,0.04253369,1.005773,1.005249,47.757949,0.0019,101.5669,0,269.804,325.8,329.251,1140.066,0,0
Report name,,49,20.94935399,110.284702,0.00100285,0.0448159,1.005884,1.005295,47.757949,0.001,101.5664,0,269.789,325.827,329.28,1140.013,0,0
,,50,20.95186414,108.837467,0.00122994,0.04528214,1.006189,1.005484,47.757949,-0.0005,101.568,0,269.784,325.816,329.288,1139.983,0,0
,,51,20.95160012,106.970048,0.00122899,0.04368508,1.006302,1.005477,47.757949,-0.001,101.569,0,269.787,325.837,329.311,1139.996,0,0
Pre-test conditions,,52,20.94847924,111.019925,0.00096334,0.04203831,1.0063,1.005473,47.757949,-0.0011,101.5715,0,269.801,325.869,329.315,1140.006,0,0
Ambient temperature (°C),21.7,53,20.94303463,109.141772,0.00077339,0.04167053,1.005995,1.005573,47.757949,-0.0024,101.5705,0,269.788,325.931,329.379,1140.02,0,0
Barometric pressure (Pa),101564,54,20.94468578,108.781855,0.0006758,0.04261835,1.00709,1.005491,47.757949,-0.0009,101.5693,0,269.792,325.955,329.424,1140.023,0,0
Relative humidity (%),25,55,20.94972281,107.587369,0.00072872,0.04501574,1.006329,1.005571,47.757949,0.0003,101.5694,0,269.786,326.001,329.469,1140.031,0,0
,,56,20.95201099,108.754223,0.0008947,0.04497769,1.006265,1.005695,47.757949,0.0006,101.5671,0,269.784,326.037,329.509,1140.053,0,0
,,57,20.95128901,107.251512,0.00084397,0.04365949,1.00566,1.005722,47.757949,0.0015,101.5657,0,269.761,326.084,329.549,1140.117,0,0
Conditioning,,58,20.94750137,106.997612,0.00054063,0.04190326,1.006453,1.005679,47.757949,0.0007,101.5679,0,269.784,326.067,329.523,1140.208,0,0
Conditioned? {Y/N},Yes,59,20.94562947,106.938291,0.00042089,0.04163353,1.009076,1.005678,47.757949,-0.0016,101.5682,0,269.773,326.002,329.441,1140.28,0,0
