General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.93793928,125.079057,0.00074636,0.04158445,1.366612,1.306911,7.92E+38,-0.0021,99.1421,0.039,271.073,325.387,327.258,1021.762,0,0
Standard used,ISO 5660-1,1,20.94281047,120.720045,0.00076942,0.04464786,1.227344,1.205445,7.92E+38,-0.0014,99.1424,0.04,271.096,325.421,327.271,1024.771,0,0
Date of test,30/11/2020,2,20.94768166,116.361034,0.00079248,0.04771126,1.088076,1.10398,7.92E+38,-0.0008,99.1427,0.041,271.119,325.455,327.284,1027.78,0,0
Time of test,13:58,3,20.95081279,122.055481,0.00097987,0.04927321,1.15576,1.139597,7.92E+38,0.0009,99.1431,0.047,271.116,325.474,327.292,1029.528,0,0
Heat flux (kW/m²),35,4,20.95157022,119.867563,0.00111511,0.04745814,1.099567,1.083301,7.92E+38,0.0002,99.1424,0.043,271.119,325.471,327.276,1029.85,0,0
Nominal duct flow rate (l/s),24,5,20.94960577,121.516879,0.00104377,0.04573354,1.049415,1.05624,7.92E+38,0.0007,99.1421,0.042,271.121,325.452,327.281,1029.876,0,0
Sampling interval (s),1,6,20.94509452,118.802502,0.00101167,0.0452833,0.98766,1.011652,7.92E+38,-0.0004,99.1437,0.043,271.133,325.435,327.257,1029.907,0,0
Separation (mm),60,7,20.9444879,117.547162,0.00112604,0.04598945,1.056474,1.078799,7.92E+38,0.0009,99.1426,0.046,271.109,325.429,327.313,1029.894,0,0
Orientation,Horizontal,8,20.94692904,117.438409,0.00132439,0.04766802,1.06787,1.079683,7.92E+38,-0.0008,99.1414,0.044,271.111,325.462,327.356,1029.896,0,0
Edge frame?,Yes,9,20.95021804,112.487414,0.00163487,0.04915804,1.011777,1.02226,7.92E+38,0.0007,99.1422,0.044,271.106,325.457,327.321,1029.861,0,0
Grid?,No,10,20.95119065,116.374595,0.00168099,0.04774578,1.056689,1.074197,7.92E+38,0.0012,99.1432,0.042,271.117,325.426,327.282,1029.809,0,0
Non-scrubbed?,Yes,11,20.94923678,119.395489,0.00141549,0.04586811,1.052338,1.084267,7.92E+38,0.0009,99.1432,0.041,271.11,325.42,327.289,1029.774,0,0
Substrate used? {Y/N},No,12,20.94603303,116.868981,0.00121604,0.04527212,1.123569,1.156742,7.92E+38,0.0004,99.1429,0.043,271.107,325.409,327.281,1029.713,0,0
Substrate,none,13,20.94755441,117.229184,0.00113123,0.04653,1.129659,1.109506,7.92E+38,-0.0008,99.1443,0.044,271.079,325.415,327.251,1029.686,0,0
Additional specimen preparation details,,14,20.95106375,116.363302,0.00112638,0.04855282,1.102356,1.09438,7.92E+38,0.0002,99.1437,0.041,271.091,325.381,327.216,1029.69,0,0
,,15,20.95341052,117.717351,0.00125018,0.04851829,1.060668,1.026871,7.92E+38,0.001,99.1419,0.043,271.097,325.338,327.2,1029.702,0,0
Specimen,,16,20.95321381,115.873726,0.00114504,0.04708744,1.126329,1.149045,7.92E+38,-0.0013,99.1417,0.043,271.102,325.339,327.265,1029.68,0,0
Sample description,Trex Fence Material,17,20.95092521,115.387234,0.00089242,0.04559088,1.167109,1.227681,7.92E+38,-0.0013,99.1436,0.043,271.091,325.399,327.346,1029.658,0,0
Material name/ID,Trex4_35,18,20.94781772,117.194172,0.00081817,0.04538336,1.158135,1.225332,7.92E+38,0.0037,99.1457,0.044,271.087,325.455,327.384,1029.624,0,0
Specimen number,,19,20.94920823,116.054375,0.0008907,0.0464841,1.076397,1.074688,7.92E+38,0.0055,99.1448,0.039,271.082,325.426,327.309,1029.571,0,0
E (MJ/kg),13.1,20,20.95190675,119.987297,0.00120145,0.04950333,1.004225,1.033042,7.92E+38,0.003,99.145,0.04,271.081,325.413,327.325,1029.554,0,0
Initial mass (g),59.6,21,20.95352439,117.55808,0.00150933,0.04984786,1.133858,1.127643,7.92E+38,0.0006,99.1454,0.042,271.105,325.417,327.322,1029.555,0,0
Thickness (mm),6,22,20.95121517,116.31322,0.0014523,0.04696865,1.110241,1.13806,7.92E+38,0.0011,99.1441,0.041,271.087,325.416,327.311,1029.55,0,0
Surface area (cm²),88.4,23,20.94681816,116.179663,0.00134391,0.04546662,1.139817,1.16871,7.92E+38,0.0017,99.144,0.04,271.083,325.394,327.309,1029.559,0,0
Sponsor,,24,20.94396574,115.581852,0.00118555,0.04557409,1.196549,1.199603,7.92E+38,-0.0003,99.1444,0.039,271.076,325.384,327.322,1029.557,0,0
Manufacturer,,25,20.94699875,115.524981,0.00116432,0.04761069,1.240316,1.253045,7.92E+38,0.0002,99.1463,0.036,271.09,325.415,327.318,1029.541,0,0
Test start time (s),110,26,20.95030688,119.416768,0.00126254,0.0492503,1.149128,1.165762,7.92E+38,0.0028,99.1441,0.038,271.1,325.369,327.248,1029.549,0,0
Time to ignition (s),48,27,20.95161881,118.573505,0.00131073,0.04829632,1.128258,1.15038,7.92E+38,-0.0009,99.1437,0.04,271.08,325.345,327.245,1032.285,0,0
Time to flameout (s),1160,28,20.95022617,115.151445,0.00105235,0.0462281,1.172075,1.185626,7.92E+38,-0.0046,99.1453,0.042,271.08,325.379,327.313,1030.396,0,0
End of test criterion,ISO 5660-1:2002,29,20.94597115,120.267994,0.00085369,0.04527915,1.171225,1.185791,7.92E+38,-0.0018,99.145,0.039,271.076,325.42,327.307,1029.759,0,0
User EOT time (s),,30,20.94583872,118.296309,0.00077096,0.04567751,1.183867,1.200704,7.92E+38,0.0009,99.1435,0.038,271.064,325.397,327.335,1029.84,0,0
MLR EOT mass (g/m²),150,31,20.94959932,119.08216,0.00089896,0.04790538,1.179348,1.237696,7.92E+38,0.0014,99.146,0.039,271.071,325.444,327.374,1029.882,0,0
MLR EOT time period (s),60,32,20.9527401,118.439376,0.00112325,0.04932939,1.228276,1.276814,7.92E+38,0.0005,99.1447,0.038,271.064,325.474,327.397,1029.898,0,0
Truncate graphs at EOT?,No,33,20.95358731,118.040542,0.00130493,0.04781181,1.332766,1.31968,7.92E+38,-0.0012,99.1449,0.04,271.063,325.476,327.411,1029.864,0,0
Smooth data?,No,34,20.95162115,119.088215,0.00117764,0.04605448,1.351515,1.31378,7.92E+38,-0.002,99.1443,0.042,271.082,325.473,327.459,1029.831,0,0
Correct O2 for pressure?,No,35,20.94596474,116.456572,0.00096094,0.04527947,1.32521,1.314031,7.92E+38,0,99.1433,0.04,271.09,325.532,327.506,1029.771,0,0
,,36,20.94485345,117.00382,0.00086129,0.04616032,1.308018,1.310861,7.92E+38,0.001,99.1452,0.039,271.085,325.528,327.481,1030.804,0,0
Specifications: apparatus,,37,20.94976873,116.468058,0.00096001,0.04852105,1.409644,1.389732,7.92E+38,0.0022,99.1465,0.038,271.079,325.5,327.466,1026.887,0,0
C-factor (SI units),0.045797,38,20.95155898,116.015997,0.00110453,0.04939379,1.40421,1.445811,7.92E+38,-0.0019,99.1457,0.043,271.067,325.487,327.435,1025.206,0,0
OD correction factor,0.97963,39,20.95154811,114.97156,0.00121076,0.04751675,1.439299,1.457347,7.92E+38,0,99.1452,0.039,271.067,325.462,327.404,1028.686,0,0
Duct diameter (m),0.114,40,20.94913469,119.428618,0.00107689,0.04601837,1.444274,1.4752,7.92E+38,0.0011,99.1461,0.038,271.076,325.431,327.418,1029.73,0,0
O2 delay time (s),0,41,20.94459501,115.073872,0.0009623,0.04531676,1.463526,1.4367,7.92E+38,-0.0006,99.1449,0.037,271.065,325.457,327.446,1029.738,0,0
CO2 delay time (s),0,42,20.94508631,114.692006,0.0010036,0.04608836,1.412649,1.424995,7.92E+38,0.0004,99.1444,0.036,271.074,325.438,327.397,1029.793,0,0
CO delay time (s),0,43,20.94889441,117.850413,0.00123876,0.04847814,1.47371,1.431494,7.92E+38,0.0001,99.1457,0.037,271.057,325.41,327.36,1029.812,0,0
,,44,20.9513721,119.553055,0.00152392,0.04903855,1.44805,1.396546,7.92E+38,0.0007,99.1463,0.036,271.085,325.398,327.371,1029.86,0,0
Laboratory,,45,20.95134333,119.419855,0.00160765,0.04740022,1.315464,1.315445,7.92E+38,0.0012,99.1462,0.038,271.074,325.423,327.381,1029.955,0,0
Laboratory name,FTT Cone - NIST,46,20.94912436,118.521166,0.00146944,0.0458022,1.29851,1.315452,7.92E+38,0.0006,99.1466,0.037,271.081,325.383,327.324,1030.021,0,0
Operator,Andre Thompson,47,20.94589413,117.828957,0.00133839,0.0453896,1.295772,1.34665,7.92E+38,-0.0009,99.1465,0.036,271.074,325.338,327.266,1030.054,0,0
Filename,C:\CC5\DATA\20110004.CSV,48,20.94793036,117.090532,0.00130449,0.0460725,1.350567,1.357941,7.92E+38,-0.0007,99.1462,0.04,271.073,325.301,327.248,1030.1,0,0
Report name,,49,20.95158992,116.148704,0.00143172,0.04880426,1.360563,1.356948,7.92E+38,-0.0013,99.1469,0.04,271.074,325.285,327.246,1030.171,0,0
,,50,20.95350044,117.310198,0.00154874,0.04895175,1.339579,1.330424,7.92E+38,-0.0005,99.1468,0.037,271.069,325.294,327.231,1030.219,0,0
,,51,20.95282792,122.266201,0.00146307,0.04717899,1.337944,1.35151,7.92E+38,-0.0002,99.1454,0.039,271.062,325.252,327.184,1030.276,0,0
Pre-test conditions,,52,20.94927119,117.651848,0.00125229,0.04560364,1.446889,1.406634,7.92E+38,-0.0008,99.1461,0.037,271.069,325.223,327.158,1030.316,0,0
Ambient temperature (°C),23.3,53,20.94588309,114.493121,0.0011017,0.04536095,1.405071,1.395685,7.92E+38,-0.0004,99.1459,0.036,271.077,325.218,327.193,1030.301,0,0
Barometric pressure (Pa),99135,54,20.94988441,115.053569,0.00112125,0.04661784,1.382519,1.33743,7.92E+38,0.0008,99.146,0.035,271.072,325.216,327.21,1030.278,0,0
Relative humidity (%),45.6,55,20.95386599,116.322552,0.00132202,0.04891411,1.298411,1.303987,7.92E+38,-0.0003,99.1489,0.035,271.073,325.22,327.173,1030.245,0,0
,,56,20.95549554,121.628611,0.00150349,0.04851023,1.252716,1.274815,7.92E+38,-0.0006,99.1474,0.034,271.09,325.191,327.186,1030.228,0,0
,,57,20.95435627,120.700117,0.00137569,0.04660016,1.235974,1.21238,7.92E+38,0.0018,99.1473,0.036,271.088,325.173,327.177,1030.233,0,0
Conditioning,,58,20.95023792,119.154277,0.0011024,0.04536297,1.146556,1.125969,7.92E+38,0.0024,99.1492,0.036,271.082,325.198,327.163,1030.202,0,0
Conditioned? {Y/N},No,59,20.94807609,118.036805,0.00094427,0.04577837,1.110619,1.134534,7.92E+38,0.0032,99.1476,0.037,271.083,325.178,327.115,1030.211,0,0
Conditioning temperature (°C),N/A,60,20.95124072,118.061183,0.0009644,0.04685186,1.11768,1.148711,7.92E+38,0.0057,99.1481,0.034,271.084,325.161,327.101,1030.218,0,0
Conditioning RH (%),N/A,61,20.95451377,117.690361,0.0011778,0.04894035,1.095973,1.133254,7.92E+38,0.0023,99.1476,0.037,271.076,325.138,327.109,1030.217,0,0
,,62,20.95557635,117.853104,0.00129875,0.04786325,1.14389,1.152209,7.92E+38,-0.0004,99.1489,0.038,271.082,325.13,327.04,1030.213,0,0
Data collected,,63,20.95380556,115.158086,0.00120668,0.04602246,1.112873,1.119876,7.92E+38,-0.0012,99.1489,0.037,271.066,325.082,326.983,1030.254,0,0
CO/CO2 data collected?,Yes,64,20.94934425,118.858565,0.00111971,0.04526671,1.128636,1.079105,7.92E+38,0.0003,99.1482,0.037,271.077,325.067,327.001,1030.254,0,0
