General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95181452,113.119776,0.00267941,0.05269369,0.996174,0.999889,-1.057614,0.0018,102.1421,0,270.118,330.208,333.174,1143.43,0,0
Standard used,ISO 5660-1,1,20.95228085,110.109401,0.00254987,0.04963666,0.998026,0.999836,-1.057614,0.0002,102.1421,0,270.115,330.205,333.209,1143.093,0,0
Date of test,08/11/2018,2,20.95274719,107.099026,0.00242033,0.04657963,0.999878,0.999782,-1.057614,-0.0013,102.1421,0,270.112,330.202,333.243,1142.756,0,0
Time of test,17:10,3,20.94974301,107.087801,0.00216016,0.04515319,1.000137,0.999822,-1.057614,-0.0031,102.1404,0,270.116,330.257,333.293,1142.417,0,0
Heat flux (kW/m²),50,4,20.94802999,106.816113,0.0020447,0.04547027,1.000301,0.999701,-1.057614,-0.0011,102.1429,0,270.115,330.303,333.347,1142.107,0,0
Nominal duct flow rate (l/s),24,5,20.95120307,107.796204,0.0021172,0.0469723,0.999317,0.999671,-1.057614,-0.0003,102.141,0,270.099,330.381,333.412,1141.843,0,0
Sampling interval (s),1,6,20.95434242,107.429229,0.00233202,0.04833169,0.998649,0.999727,-1.057614,-0.001,102.1409,0,270.107,330.435,333.433,1141.605,0,0
Separation (mm),60,7,20.95533262,108.329784,0.00247765,0.04658738,0.999313,0.999753,-1.057614,-0.0001,102.1434,0,270.123,330.426,333.405,1141.414,0,0
Orientation,Horizontal,8,20.95351197,107.071196,0.00231834,0.04479162,0.998254,0.999809,-1.057614,0.0017,102.1431,0,270.119,330.41,333.404,1141.242,0,0
Edge frame?,Yes,9,20.94904865,108.504479,0.00219392,0.04420366,0.998014,0.999729,-1.057614,0.0007,102.1436,0,270.115,330.375,333.347,1141.093,0,0
Grid?,No,10,20.94825574,111.172118,0.00218138,0.0448016,0.999915,0.999818,-1.057614,-0.0017,102.1427,0,270.112,330.303,333.233,1140.926,0,0
Non-scrubbed?,Yes,11,20.95193191,111.264356,0.00230691,0.04690074,0.998967,0.999809,-1.057614,-0.0016,102.143,0,270.116,330.222,333.132,1140.76,0,0
Substrate used? {Y/N},No,12,20.95475411,109.249927,0.00253005,0.04788752,1.000042,0.999902,-1.057614,-0.0002,102.1439,0,270.12,330.16,333.074,1140.597,0,0
Substrate,none,13,20.95518064,112.250402,0.00259464,0.04680886,1.000132,0.999985,-1.057614,-0.0009,102.1444,0,270.116,330.152,333.083,1140.494,0,0
Additional specimen preparation details,,14,20.95289843,112.350686,0.00239814,0.04572535,0.999815,1.000022,-1.057614,-0.0021,102.146,0,270.106,330.17,333.069,1140.424,0,0
,,15,20.94866082,109.437365,0.00221246,0.04504314,1.000507,1.000028,-1.057614,0.0002,102.1451,0,270.112,330.187,333.105,1140.352,0,0
Specimen,,16,20.94885723,105.372674,0.00213202,0.04591068,1.000874,1.000018,-1.057614,-0.0011,102.1427,0,270.112,330.233,333.146,1140.279,0,0
Sample description,after solubility test_HG3,17,20.95249506,108.475593,0.00215266,0.04803602,0.999696,1.000078,-1.057614,0.0001,102.1426,0,270.103,330.297,333.197,1140.208,0,0
Material name/ID,,18,20.95502346,107.949942,0.00234754,0.04886974,1.000625,1.000096,-1.057614,-0.0005,102.1428,0,270.106,330.282,333.183,1140.136,0,0
Specimen number,,19,20.95502034,108.945221,0.00244126,0.04712621,1.000126,1.000054,-1.057614,0.0002,102.143,0,270.092,330.237,333.127,1140.067,0,0
E (MJ/kg),13.1,20,20.9521173,108.362616,0.00232234,0.04542571,1.001074,1.000128,-1.057614,-0.0012,102.1442,0,270.093,330.193,333.069,1140.039,0,0
Initial mass (g),50.975,21,20.94796042,109.89255,0.00222246,0.04496654,1.000108,1.000119,-1.057614,-0.0034,102.1434,0,270.107,330.143,333.005,1140.028,0,0
Thickness (mm),12.5,22,20.94948052,109.662367,0.00225756,0.04546493,0.999256,1.000089,-1.057614,-0.0015,102.1424,0,270.108,330.04,332.881,1140.036,0,0
Surface area (cm²),88.4,23,20.95197405,109.638214,0.00235356,0.04672724,1.000021,1.000177,-1.057614,0.0013,102.1416,0,270.118,329.918,332.745,1140.057,0,0
Sponsor,,24,20.95333437,112.133155,0.00259163,0.04789058,0.998717,1.000174,-1.057614,0.0012,102.1443,0,270.123,329.772,332.609,1140.024,0,0
Manufacturer,,25,20.95272435,110.049016,0.00254758,0.04655051,0.999398,1.000175,-1.057614,0.0016,102.1433,0,270.118,329.65,332.476,1139.99,0,0
Test start time (s),89,26,20.94957136,110.619367,0.00226008,0.04472676,0.999799,1.000189,-1.057614,0.0007,102.1418,0,270.115,329.577,332.393,1139.938,0,0
Time to ignition (s),19,27,20.9458294,110.800768,0.00201702,0.04431903,0.999418,1.000096,-1.057614,0.0008,102.1417,0,270.102,329.516,332.284,1139.892,0,0
Time to flameout (s),1138,28,20.94822612,107.32918,0.00193776,0.04563097,1.000843,1.000111,-1.057614,-0.0002,102.1431,0,270.095,329.47,332.235,1142.583,0,0
End of test criterion,ISO 5660-1:2002,29,20.9518135,108.742679,0.00206104,0.0478738,0.999383,1.000049,-1.057614,0.0004,102.1427,0,270.094,329.501,332.256,1140.601,0,0
User EOT time (s),,30,20.95481112,108.704281,0.00226887,0.04721964,0.998486,1.00006,-1.057614,-0.0005,102.1437,0,270.086,329.502,332.219,1139.833,0,0
MLR EOT mass (g/m²),150,31,20.9543439,109.061607,0.00215824,0.04527131,0.99981,1.000101,-1.057614,0.0006,102.1433,0,270.105,329.47,332.182,1139.796,0,0
MLR EOT time period (s),60,32,20.9504074,111.52074,0.00198241,0.04429881,0.999157,1.000078,-1.057614,0.0007,102.1439,0,270.086,329.473,332.19,1139.823,0,0
Truncate graphs at EOT?,No,33,20.94786577,106.851033,0.00189061,0.04470816,0.998847,1.000122,-1.057614,-0.0005,102.1446,0,270.08,329.475,332.184,1139.834,0,0
Smooth data?,No,34,20.95083588,109.557363,0.00193069,0.04581094,1.000211,1.000127,-1.057614,-0.0016,102.1435,0,270.081,329.472,332.2,1139.824,0,0
Correct O2 for pressure?,No,35,20.95409072,106.331996,0.00214548,0.04791601,1.001874,1.000155,-1.057614,-0.0027,102.1446,0,270.086,329.552,332.26,1139.829,0,0
,,36,20.95536798,112.34297,0.00234206,0.04723973,1.00048,1.000101,-1.057614,-0.0016,102.1453,0,270.098,329.608,332.357,1139.819,0,0
Specifications: apparatus,,37,20.95237883,109.555625,0.00229538,0.04533458,1.000039,1.000009,-1.057614,-0.0001,102.1416,0,270.109,329.671,332.43,1142.581,0,0
C-factor (SI units),0.045488,38,20.94758633,105.493005,0.00217839,0.04431411,1.001147,1.000051,-1.057614,0.0008,102.1433,0,270.098,329.726,332.479,1140.672,0,0
OD correction factor,0.97963,39,20.94617514,108.025561,0.00211387,0.04450999,1.000433,1.000027,-1.057614,0.0009,102.1413,0,270.089,329.769,332.526,1139.934,0,0
Duct diameter (m),0.114,40,20.94964657,109.300399,0.0022457,0.04684389,1.000521,0.999972,-1.057614,-0.0002,102.1425,0,270.101,329.793,332.546,1143.945,0,0
O2 delay time (s),0,41,20.95265839,108.548411,0.0024438,0.04808495,1.000412,1.000086,-1.057614,-0.0001,102.1416,0,270.102,329.79,332.551,1144.786,0,0
