General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95199442,105.338395,0.00234781,0.04408444,0.990119,0.995606,43.452395,0.0022,101.7435,0,270.955,334.811,338.391,1130.237,0,0
Standard used,ISO 5660-1,1,20.950792,107.442854,0.00236742,0.04589277,0.992362,0.99542,43.452395,0.0019,101.7517,0,270.978,334.757,338.372,1130.198,0,0
Date of test,02/08/2018,2,20.94958958,109.547313,0.00238703,0.04770111,0.994604,0.995233,43.452395,0.0016,101.7599,0,271.001,334.703,338.353,1130.159,0,0
Time of test,14:27,3,20.9524115,109.193091,0.00262244,0.05052096,0.993881,0.995036,43.452395,-0.0001,101.76,0,270.993,334.692,338.273,1130.112,0,0
Heat flux (kW/m²),50,4,20.95468757,107.640386,0.0029615,0.05043021,0.995402,0.994836,43.452395,0.0012,101.7601,0,271.011,334.661,338.211,1130.068,0,0
Nominal duct flow rate (l/s),24,5,20.95447304,107.056841,0.00308294,0.04891127,0.99574,0.99454,43.452395,0.0014,101.7608,0,271.006,334.639,338.208,1130.083,0,0
Sampling interval (s),1,6,20.95142736,109.433693,0.00298771,0.04750048,0.993956,0.994306,43.452395,-0.0032,101.7612,0,270.995,334.643,338.233,1130.083,0,0
Separation (mm),60,7,20.94746208,108.293557,0.00296836,0.04717534,0.993155,0.994181,43.452395,-0.0015,101.7591,0,270.999,334.652,338.236,1130.057,0,0
Orientation,Horizontal,8,20.94948369,110.875972,0.00298558,0.04812326,0.992989,0.993916,43.452395,-0.0027,101.7591,0,271.013,334.641,338.177,1130.029,0,0
Edge frame?,Yes,9,20.95308758,109.81716,0.0031986,0.05065753,0.991581,0.993684,43.452395,-0.0015,101.7606,0,271.006,334.593,338.147,1130.032,0,0
Grid?,No,10,20.95489565,106.866151,0.00344739,0.05091676,0.992779,0.993481,43.452395,-0.002,101.7591,0,270.995,334.569,338.086,1130.018,0,0
Non-scrubbed?,Yes,11,20.95415043,107.145613,0.00344735,0.04928563,0.99285,0.993324,43.452395,0.0003,101.7589,0,270.999,334.536,338.053,1130.03,0,0
Substrate used? {Y/N},No,12,20.95040133,105.031918,0.00320501,0.04806999,0.992885,0.993156,43.452395,0.0003,101.7631,0,270.998,334.498,338.071,1130.078,0,0
Substrate,none,13,20.9457385,108.677905,0.00301036,0.04828548,0.992566,0.993026,43.452395,-0.0015,101.7634,0,271.02,334.525,338.067,1130.063,0,0
Additional specimen preparation details,,14,20.9480788,108.6304,0.00289657,0.05036728,0.991703,0.992853,43.452395,0.0006,101.7608,0,271.008,334.491,338.006,1130.035,0,0
,,15,20.95148475,107.707857,0.00294669,0.05254192,0.992513,0.992655,43.452395,0.0001,101.7621,0,271.003,334.442,337.957,1129.973,0,0
Specimen,,16,20.9514677,108.287606,0.00295559,0.05202264,0.990598,0.992606,43.452395,-0.0013,101.7631,0,270.993,334.428,337.915,1129.943,0,0
Sample description,C-P_Al-Ac soaked_2,17,20.94977831,106.236245,0.00281722,0.04994527,0.990831,0.992392,43.452395,0.0009,101.7611,0,271,334.39,337.912,1129.921,0,0
Material name/ID,C-P_Al-Ac soaked_2,18,20.94713257,108.843043,0.0026463,0.04883301,0.992388,0.992211,43.452395,0.0013,101.76,0,270.993,334.409,337.946,1129.901,0,0
Specimen number,,19,20.94559484,106.575039,0.00260465,0.04912546,0.991142,0.992104,43.452395,-0.0015,101.762,0,270.998,334.425,337.949,1132.698,0,0
E (MJ/kg),13.1,20,20.94886072,108.348708,0.00273443,0.05131038,0.991436,0.991989,43.452395,-0.003,101.7586,0,271.002,334.417,337.905,1130.622,0,0
Initial mass (g),38.187,21,20.95065163,108.924555,0.00298557,0.0527004,0.99248,0.991774,43.452395,-0.001,101.7616,0,271.005,334.359,337.828,1129.914,0,0
Thickness (mm),10,22,20.95116887,106.045433,0.00313823,0.05149697,0.991389,0.991577,43.452395,-0.0014,101.7628,0,270.98,334.319,337.786,1129.885,0,0
Surface area (cm²),88.4,23,20.94928534,103.405634,0.00296346,0.04943314,0.991054,0.991465,43.452395,0.0003,101.76,0,270.989,334.291,337.747,1129.901,0,0
Sponsor,,24,20.94500182,105.200142,0.00274787,0.04806207,0.990284,0.991361,43.452395,0.0002,101.7603,0,270.985,334.246,337.696,1129.886,0,0
Manufacturer,,25,20.94390249,106.503684,0.00262721,0.04830715,0.990447,0.991297,43.452395,-0.0005,101.7637,0,270.997,334.243,337.729,1129.881,0,0
Test start time (s),78,26,20.94888138,107.237707,0.00263687,0.04929638,0.99038,0.991287,43.452395,0.0011,101.7616,0,270.992,334.282,337.803,1129.912,0,0
Time to ignition (s),19,27,20.95239539,106.384477,0.00287515,0.05090367,0.989423,0.991149,43.452395,0.0012,101.7583,0,270.974,334.334,337.859,1129.92,0,0
Time to flameout (s),511,28,20.95289956,106.518979,0.00298216,0.049459,0.990349,0.991114,43.452395,0.0002,101.7636,0,270.991,334.35,337.917,1132.746,0,0
End of test criterion,ISO 5660-1:2002,29,20.95058864,110.641077,0.00279693,0.04764966,0.991049,0.991093,43.452395,0.0006,101.7623,0,270.986,334.386,337.941,1130.665,0,0
User EOT time (s),,30,20.94602687,109.498899,0.00263451,0.04721448,0.992616,0.991013,43.452395,-0.0027,101.7605,0,270.997,334.41,337.942,1129.962,0,0
MLR EOT mass (g/m²),150,31,20.94656477,105.762722,0.00260756,0.04821486,0.991357,0.990931,43.452395,-0.001,101.7602,0,271.008,334.407,337.971,1129.999,0,0
MLR EOT time period (s),60,32,20.95015678,106.600564,0.00272296,0.05014142,0.990371,0.990915,43.452395,0.0011,101.7621,0,270.992,334.407,337.928,1130.05,0,0
Truncate graphs at EOT?,No,33,20.95270327,107.447785,0.00287728,0.05116133,0.989741,0.990797,43.452395,-0.0002,101.7615,0,270.989,334.367,337.848,1130.096,0,0
Smooth data?,No,34,20.95400967,105.662615,0.00299337,0.04988344,0.990365,0.990822,43.452395,-0.0002,101.7612,0,270.996,334.314,337.869,1130.084,0,0
Correct O2 for pressure?,No,35,20.95231619,107.425141,0.0027496,0.04780396,0.991605,0.990835,43.452395,0.0006,101.762,0,270.983,334.317,337.886,1132.166,0,0
,,36,20.94607302,105.411307,0.00255837,0.04675212,0.992023,0.990835,43.452395,0.0009,101.7601,0,270.999,334.325,337.885,1132.046,0,0
Specifications: apparatus,,37,20.9471881,108.996181,0.00259685,0.04767275,0.990566,0.990877,43.452395,0.0015,101.7625,0,271.001,334.308,337.857,1130.565,0,0
C-factor (SI units),0.045478,38,20.95086063,108.532659,0.00275457,0.04969522,0.990713,0.990867,43.452395,0.0014,101.7632,0,271.002,334.281,337.77,1130.254,0,0
OD correction factor,0.97963,39,20.95297501,107.683338,0.0030469,0.0494249,0.99177,0.990989,43.452395,-0.0013,101.764,0,270.998,334.23,337.736,1130.274,0,0
Duct diameter (m),0.114,40,20.95241312,109.54439,0.00297251,0.04753853,0.991139,0.991159,43.452395,-0.0001,101.7613,0,270.994,334.236,337.763,1130.327,0,0
O2 delay time (s),0,41,20.948897,111.091748,0.00279635,0.04649197,0.99188,0.991215,43.452395,-0.0032,101.7606,0,270.993,334.22,337.773,1130.349,0,0
CO2 delay time (s),0,42,20.94536658,104.822558,0.00264351,0.04629873,0.990846,0.991317,43.452395,-0.0002,101.7637,0,270.98,334.248,337.809,1130.347,0,0
CO delay time (s),0,43,20.94791043,103.421481,0.00257246,0.04751522,0.990276,0.991469,43.452395,0.0018,101.7611,0,270.99,334.266,337.853,1130.338,0,0
,,44,20.95138805,109.249538,0.00262916,0.05009923,0.991968,0.991767,43.452395,-0.0003,101.7613,0,270.993,334.302,337.875,1130.344,0,0
