Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g)
Peaks,,0,0.026715752188726,0.00198134366942069,-295.416946905226,0.119195499999951,13.4836538461484,-0.00077867461575023,-0.00401337240248727,0,27.7458956983933,-1.38483005773786,25.2491198212125,25.4272143344053,-0.0352123706948275,-3.98329985235605,0,0,-9.28145101616187E-05,-0.000478375930200477,3.63228246902429E-05,0,0,139
peak HRR (kW/m²),416.401194425406,1,-1.83933966292177,-0.0276931768424694,73.9101113680802,0.587139666666666,66.4185143288083,-0.000123520417099191,0.000679500210164184,1.3357876094363E-05,28.183918476927,1.67984316410473,25.6473271510146,25.8331010175454,0.0433955581519507,4.90899979094465,0.0216977790759754,2.45449989547232,-7.25237365221466E-05,0.000398961526895728,-0.000824198997101325,1.81614123451215E-05,0.013357876094363,138.753883
peak EHC (MJ/kg),79.2652803536537,2,-2.27036041544436,-0.0140317580825311,1.21928361727482,1.43032583333334,161.801564856713,-1.03551862246052E-05,0.000665833526212774,1.3357876094363E-05,28.2779338889711,0.0672822923331405,25.7374448070368,25.9202354062674,0.0017439728559483,0.197281997279219,0.0442675445799249,5.00764078958426,-1.48112903660304E-05,0.000952358893241562,-0.000948587950793327,1.81614123451215E-05,0.0066789380471815,137.70064
peak MLR (g/s),0.528776416666664,3,-0.593148644613463,-0.0170235146228693,64.4484373870179,0.308011249999986,34.8429015837088,-1.00947237979913E-05,0.000930162574227568,1.3357876094363E-05,27.9573893021629,0.774784601816081,25.442848238663,25.6211129049173,0.0198508437601212,2.24557056109968,0.0550649528879596,6.22906706877371,-3.10928849542392E-06,0.000286500537191038,-0.000144342786092223,1.81614123451215E-05,0.00445262536478767,136.374394
peak SEA (m²/kg),4372.78836730348,4,3.02938378189465,0,0,-0.94509416666668,-106.911104826548,0,0,0.00152804976704169,27.663095490658,-0.942450165214399,25.1736139233278,25.3489055326994,-0.0238900802072967,-2.70249776100642,0.0649903747680202,7.35185234932355,-7.3529748886505E-05,-0.000486700342741559,0.00165859062325793,0.000847456723974085,0.382012441760423,137.127998
peak COY (kg/kg),92.3093882965507,5,2.97318636494406,0,0,-0.609768249999985,-68.9783088235278,0,0,0.00452933484046105,27.8613122501793,-1.73255044266464,25.3503638143684,25.5256492742693,-0.0442244749494377,-5.00276865943865,0.0649903747680202,7.35185234932355,-0.000106333286150068,-0.000734862484817953,0.00157852479371672,0.00246601443246141,0.905866968092209,137.868882
peak CO2Y (kg/kg),7496.39464689629,6,0.737743062730267,0,0,-0.329708499999988,-37.2973416289579,0,0,0.00638479955429821,28.0224257113251,-0.407856529082175,25.4940215541552,25.6698445812189,-0.0104696137129748,-1.18434544264421,0.0649903747680202,7.35185234932355,-0.00011415140885298,-0.000447043942416073,0.000416702481427349,0.00346362807003345,1.0641332590497,138.315414
,,7,-0.92866255346803,0,0,-0.169493083333341,-19.1734257164412,0,0,0.00675367108566334,28.6562493589422,0.28132969294974,26.0684659332654,26.2505376430166,0.00738505569487545,0.835413540144282,0.068682902615458,7.7695591193957,-5.9295058581451E-05,0.000534501848881578,-0.000305977088023228,0.00367197931074712,0.964810155094763,138.556503
Time To Peaks,,8,-1.00169040074416,0,0,-0.0648778333333529,-7.3391214178001,0,0,0.00675367108566334,28.0380258999964,-2.27358881106503,25.5032128092581,25.6785780108146,-0.0583825276494488,-6.60435833138561,0.0723754304628957,8.18726588946784,2.6025240036303E-05,0.000818890772078183,-0.000271202735577452,0.00367197931074712,0.844208885707918,138.672464
t peak HRR (s),139,9,0.896699626003378,0.282927420469656,-2815.82087963344,0.0280171666666718,3.16936274509861,0.00121629056181362,0.0141299213972273,0.00720202089866503,27.9945024120544,-3.07753337472994,25.4598194710813,25.6345953990206,-0.0788913228881845,-8.92435779278105,0.0723754304628957,8.18726588946784,3.40770153854319E-05,0.000395880362773087,0.000689058721356393,0.00401650867142532,0.800224544296115,138.691365
t peak EHC (s),403,10,3.46953003149556,0.211171197312184,-513.081449749112,0.145240666666671,16.4299396681754,-0.000146550055431268,-0.00278185987565028,0.0093851357274145,27.4191755517978,-2.96765033743807,24.9353418003513,25.1108733652885,-0.0745202918158631,-8.4298972642379,0.0723754304628957,8.18726588946784,-2.1285027750875E-05,-0.000404039182912708,0.00192759580864212,0.00532483593642457,0.93851357274145,138.615776
