General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,21.05700619,-0.521921,-0.01559218,0.07283407,0.997998,1,-10.022619,-0.0244,100.7493,0,296.663,296.35,272.22,295.967,0,0
Standard used,ISO 5660-1,1,21.0519027,-0.5364,-0.01577304,0.0699261,0.99796,1,-10.022619,-0.0236,100.7454,0,296.657,296.34,272.247,295.957,0,0
Date of test,05/12/2017,2,21.04679921,-0.550879,-0.01595391,0.06701812,0.997922,1,-10.022619,-0.0228,100.7414,0,296.651,296.33,272.274,295.947,0,0
Time of test,14:55,3,21.04806231,-0.549543,-0.01594647,0.06591355,0.997936,1,-10.022619,-0.0233,100.7417,0,296.642,296.326,272.271,295.961,0,0
Heat flux (kW/m²),50,4,21.05313384,-0.533722,-0.01579728,0.06656092,0.997947,1,-10.022619,-0.0232,100.7414,0,296.65,296.325,272.263,295.967,0,0
Nominal duct flow rate (l/s),24,5,21.05438411,-0.532229,-0.0156762,0.06787374,0.997925,1,-10.022619,-0.0248,100.7424,0,296.658,296.33,272.268,295.958,0,0
Sampling interval (s),2,6,21.05224628,-0.535919,-0.01588418,0.06937494,0.997898,1,-10.022619,-0.0223,100.7424,0,296.661,296.326,272.271,295.965,0,0
Separation (mm),25,7,21.04856225,-0.533494,-0.01604384,0.06708417,0.997922,1,-10.022619,-0.02,100.7426,0,296.643,296.322,272.261,295.97,0,0
Orientation,Horizontal,8,21.04927803,-0.535931,-0.01604075,0.06595437,0.997922,1,-10.022619,-0.0258,100.7426,0,296.65,296.324,272.28,295.969,0,0
Edge frame?,Yes,9,21.05410337,-0.559766,-0.01590574,0.06647454,0.997947,1,-10.022619,-0.024,100.741,0,296.654,296.327,272.283,295.968,0,0
Grid?,No,10,21.05573247,-0.550912,-0.01589171,0.06846712,0.997963,1,-10.022619,-0.0241,100.743,0,296.648,296.338,272.266,295.963,0,0
Non-scrubbed?,Yes,11,21.05202303,-0.539834,-0.01612466,0.06831549,0.997968,1,-10.022619,-0.0243,100.7433,0,296.651,296.333,272.272,295.956,0,0
Substrate used? {Y/N},No,12,21.05129801,-0.53799,-0.01616874,0.06624405,0.997944,1,-10.022619,-0.0239,100.7433,0,296.662,296.339,272.281,295.945,0,0
Substrate,none,13,21.05535588,-0.536939,-0.01596792,0.06666202,0.997933,1,-10.022619,-0.0249,100.7422,0,296.657,296.325,272.276,295.944,0,0
Additional specimen preparation details,N/A,14,21.0563096,-0.533513,-0.01581117,0.06908311,0.997887,1,-10.022619,-0.0241,100.7441,0,296.65,296.324,272.273,295.961,0,0
,,15,21.05100976,-0.536969,-0.01599894,0.06798239,0.997886,1,-10.022619,-0.0217,100.7422,0,296.651,296.319,272.262,295.959,0,0
Specimen,,16,21.04904713,-0.515716,-0.01605193,0.06624971,0.997856,1,-10.022619,-0.0236,100.7427,0,296.642,296.326,272.259,295.968,0,0
Sample description,Ice Water Data-002,17,21.05467511,-0.524224,-0.01585185,0.06644836,0.997871,1,-10.022619,-0.0239,100.7427,0,296.655,296.312,272.253,295.974,0,0
Material name/ID,SmokeTC/,18,21.05592428,-0.530684,-0.0157047,0.06873709,0.997866,1,-10.022619,-0.024,100.7434,0,296.648,296.329,272.274,295.967,0,0
