Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g)
Peaks,,0,-0.0792977322519921,0,0,0,0,0,0,0,26.4046479620923,-1.99518434584154,24.5898052324323,24.8427996895648,-0.0495659650474969,-5.60700962075757,0,0,-1.30972357941318E-05,-3.50106694934909E-05,7.19684522948568E-05,0,0,0
peak HRR (kW/m²),6.28602489347137,1,-0.902594274910243,0,0,0,0,0,0,0,26.2035131203514,-4.30975575845318,24.3993045030185,24.6505943768321,-0.106238041064846,-12.017877948512,0,0,-3.42764211282907E-05,-0.000500224110085856,-0.000451562119842235,3.59842261474284E-05,0,0
peak EHC (MJ/kg),0,2,-3.34471274853255,0,0,0,0,0,0,0,27.0545291789711,-2.73546171384152,25.187741658891,25.4439754326438,-0.0696010206439214,-7.87341862487799,0,0,7.15720184433972E-05,0.00017569072647045,-0.00161758463331781,3.59842261474284E-05,0,0
peak MLR (g/s),0,3,-0.728481656629267,0,0,0,0,0,0,0,26.5326662850528,-5.04479992720308,24.6993335565416,24.9496481429671,-0.125865983135383,-14.2382333863556,0,0,1.97603477735332E-05,-0.000103005313056737,-0.000274388335986229,3.59842261474284E-05,0,0
peak SEA (m²/kg),0,4,-0.803523272144591,0,0,0,0,0,0,0,26.3184044864443,-5.2399843307112,24.4984608089474,24.7440713662728,-0.129658546237269,-14.667256361682,0,0,1.7289711137431E-05,-0.000633212584716396,-0.000397595346154341,3.59842261474284E-05,0,0
peak COY (kg/kg),0,5,-3.55543380676393,0,0,0,0,0,0,0,26.431965612844,-4.17680767200621,24.6016245349549,24.8488187509249,-0.103788736799155,-11.7408073302212,0,0,0.000109469566400242,0.000467012069044514,-0.00167460617347863,3.59842261474284E-05,0,0
peak CO2Y (kg/kg),0,6,0.220428829713819,0,0,0,0,0,0,0.00011021441485691,26.0973078456975,-3.52745598180748,24.2897714409643,24.5382694114498,-0.0865576652186219,-9.79159108807941,0,0,4.35993816805263E-05,0.000382074229003152,0.000317842135678709,0.000194905293986783,0.0183690691428183,0
,,7,-0.760701624715876,0,0,0,0,0,0,0.000220428829713819,26.362025571401,-3.44909572211254,24.5397372242458,24.7943386120649,-0.085518047239483,-9.6739872442854,0,0,7.00332050219702E-05,-0.000486514092708992,-0.000331161986488527,0.000353826361826137,0.0314898328162599,0
Time To Peaks,,8,-1.40056499755106,0,0,0,0,0,0,0.000220428829713819,26.2283339301353,-3.83046767628708,24.4172179165468,24.6700825495426,-0.0944979537773567,-10.6898137757191,0,0,6.54496716805598E-05,0.00039488867354191,-0.000543792824606494,0.000353826361826137,0.0275536037142274,0
t peak HRR (s),21,9,1.18195179901231,0,0,0,0,0,0,0.000811404729219975,26.3637680496907,-6.32458703899043,24.5431507618416,24.7959774693151,-0.156824317721529,-17.7403074345621,0,0,4.59771482329798E-05,4.74191707580942E-05,0.000786829821587209,0.000747241272619742,0.0901560810244417,0
