Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g)
Peaks,,0,-0.905717555934018,-0.349104824211382,7.94510638577921,0.0259440000000003,2.59440000000003,-0.00389293523534187,0.0402075225379872,0,26.9114735301812,0.00822030965563961,24.8469964135677,25.075434954113,0.000206127840072658,0.0206127840072658,0,0,-0.00010099831174571,0.00104314396472555,-0.000420329775318489,0,0,211.5
peak HRR (kW/m²),834.297203236194,5,2.42872744378943,0,0,-0.00590869999999531,-0.590869999999531,0,0,0.00607181860947358,27.1933160125757,0.0110299828444339,25.1109134922663,25.3489049915583,0.000279597987182073,0.0279597987182073,0.00121431456813683,0.121431456813683,-7.2759684185792E-05,0.00100842598371772,0.00161278559963374,0.00403196399908435,1.21436372189472,211.47326
peak EHC (MJ/kg),34.1446217764819,10,2.96639658213158,0,0,-0.0018280000000028,-0.18280000000028,0,0,0.0195596286742761,26.9191371122979,0.00571953742468231,24.8644378344407,25.1129869394391,0.00014363466864568,0.014363466864568,0.00227239620770621,0.227239620770621,-8.72659189174844E-05,-3.63268574712632E-05,0.00177469989566199,0.0125006777373237,1.95596286742761,211.499198
peak MLR (g/s),0.420266566666667,15,2.75870060489255,0,0,-0.0121257666666698,-1.21257666666698,0,0,0.0338723716418364,26.7280666531768,0.00783769373363382,24.6921137829517,24.9398825108093,0.000195471160872534,0.0195471160872534,0.00312016078150174,0.312016078150174,-0.000197135609689906,-0.000446986068538945,0.00154242212509705,0.0207934827892213,2.25815810945576,211.498659
peak SEA (m²/kg),193.191551193929,20,0.883319221548217,0,0,-0.0119189666666657,-1.19189666666657,0,0,0.0429774212079383,26.717370683612,0.00426870942683502,24.684275035523,24.9460150276866,0.000106487289510654,0.0106487289510654,0.00387505690745971,0.387505690745971,-0.0001977672677347,-0.000267646676581124,0.00042923386402085,0.025722622762016,2.14887106039692,211.593512
peak COY (kg/kg),0.024490222402025,25,-0.0288523312676747,-0.00309031354429875,1.49510617351765,0.0933637666666665,9.33637666666665,-0.000733923103098447,0.00722327257917821,0.0451857192618089,27.0485479131022,0.00552388818433695,24.9959947527878,25.2700162038037,0.000139588743926194,0.0139588743926194,0.00449024699105183,0.449024699105183,-6.85218253489592E-05,0.000674391935652125,6.93754076532973E-05,0.0269691459412014,1.80742877047235,211.500226
peak CO2Y (kg/kg),2.91784534854404,30,0.173757166571073,0.0252930537203859,79.4094092263773,0.0686975833333349,6.86975833333349,-5.51031432947432E-05,0.0118082069096605,0.0456201121782366,25.1721826292893,0.22358347844901,23.6434653268077,24.3990948956636,0.00545523450777995,0.545523450777995,0.0184773051203172,1.84773051203172,-3.78545277841932E-06,0.00081119527819366,0.000238158428896572,0.0277379805325761,1.52067040594122,210.796596
,,35,0.839411947522567,0.0682315140888451,139.673309631705,0.123024083333335,12.3024083333334,-0.000189043300583164,0.0219542380225891,0.0481530349634707,22.9556383218242,0.707078684297923,22.499691467522,24.3016530764679,0.0171831808835735,1.71831808835735,0.0750733435987008,7.50733435987008,-2.32568787645517E-05,0.00270090000801086,0.000922193939088119,0.0306388614525378,1.3758009989563,210.725157
Time To Peaks,,40,71.870066266216,3.26298249277265,81.5030384777368,0.220258816666669,22.0258816666669,0.00145961533008984,0.289659065320084,0.229926730497817,22.5305516336729,0.699605136179252,22.9683014509782,25.659849937472,0.0179517628098443,1.79517628098443,0.162910702832245,16.2910702832245,0.000321493145394118,0.0637999629641749,0.0536143404191054,0.166980197348022,5.74816826244543,209.514815
t peak HRR (s),595,45,227.058139527966,9.88201370540984,113.778699825507,0.229769099999998,22.9769099999998,0.00614829780893607,0.938362484855921,0.977247244983272,21.9566965136953,1.00067749650115,22.9768773792342,26.1251297740625,0.0261428294580766,2.61428294580766,0.273147183502047,27.3147183502047,0.0014126888540912,0.215606703619106,0.172057044125217,0.731158658708828,21.7166054440727,208.627423
