General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.94364835,98.304801,0.00118295,0.04590588,1.002869,1.003818,-0.740789,-0.0022,102.2848,0,269.49,329.534,332.721,1142.393,0,0
Standard used,ISO 5660-1,1,20.948236,102.299081,0.00151721,0.04661113,1.002883,1.003944,-0.740789,0.0001,102.2825,0,269.519,329.506,332.652,1142.315,0,0
Date of test,26/02/2019,2,20.95282364,106.293361,0.00185147,0.04731638,1.002898,1.004071,-0.740789,0.0025,102.2802,0,269.548,329.478,332.583,1142.237,0,0
Time of test,11:20,3,20.95292418,104.87009,0.00185468,0.04559871,1.004447,1.004319,-0.740789,0.0007,102.2813,0,269.575,329.444,332.591,1142.211,0,0
Heat flux (kW/m²),50,4,20.95094018,105.91864,0.00161403,0.0442476,1.005162,1.004589,-0.740789,0.0016,102.2812,0,269.568,329.439,332.595,1142.19,0,0
Nominal duct flow rate (l/s),24,5,20.94791365,109.767956,0.00140279,0.04405914,1.004201,1.004889,-0.740789,-0.0005,102.2818,0,269.546,329.427,332.556,1142.162,0,0
Sampling interval (s),1,6,20.95033963,108.900238,0.00127607,0.04540394,1.003198,1.005154,-0.740789,0.0011,102.2812,0,269.547,329.396,332.516,1142.164,0,0
Separation (mm),60,7,20.95525021,111.49689,0.00130595,0.04761152,1.003567,1.005474,-0.740789,0.0001,102.2795,0,269.558,329.369,332.488,1142.135,0,0
Orientation,Horizontal,8,20.95736122,108.798905,0.00144498,0.04721888,1.005073,1.005775,-0.740789,0,102.2816,0,269.563,329.379,332.483,1144.815,0,0
Edge frame?,Yes,9,20.95636881,107.864484,0.00137422,0.0454117,1.006202,1.006081,-0.740789,0.0002,102.2813,0,269.559,329.373,332.508,1142.855,0,0
Grid?,No,10,20.95100961,105.590192,0.00116766,0.04411433,1.007466,1.006357,-0.740789,-0.0009,102.2823,0,269.558,329.387,332.534,1142.068,0,0
Non-scrubbed?,Yes,11,20.94800934,105.791473,0.00111399,0.04446103,1.007415,1.006613,-0.740789,-0.0012,102.2832,0,269.576,329.427,332.595,1142.069,0,0
Substrate used? {Y/N},No,12,20.95105416,108.27486,0.00121847,0.04602143,1.008289,1.006756,-0.740789,-0.0012,102.2821,0,269.573,329.439,332.587,1142.094,0,0
Substrate,none,13,20.95439444,107.622484,0.00153285,0.04778226,1.007477,1.006923,-0.740789,-0.0014,102.2835,0,269.553,329.421,332.559,1142.093,0,0
Additional specimen preparation details,,14,20.95401216,104.847606,0.00169098,0.04689207,1.006292,1.007117,-0.740789,0.0002,102.2819,0,269.574,329.41,332.568,1142.109,0,0
,,15,20.9520693,107.164744,0.0015961,0.04522636,1.007221,1.007368,-0.740789,-0.0006,102.2832,0,269.563,329.406,332.513,1142.109,0,0
Specimen,,16,20.94768826,111.865402,0.00138512,0.04410288,1.007439,1.007559,-0.740789,0.0016,102.2821,0,269.566,329.353,332.466,1142.112,0,0
Sample description,After 3 mon WT_PG10,17,20.9463223,107.527318,0.00124575,0.04466838,1.007557,1.007705,-0.740789,0.0005,102.2812,0,269.552,329.314,332.431,1142.131,0,0
Material name/ID,,18,20.9497454,106.892189,0.00128725,0.04667042,1.007308,1.007792,-0.740789,-0.0008,102.2826,0,269.548,329.32,332.428,1142.164,0,0
