General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95495125,102.019532,0.00215631,0.04210258,1.00731,1.006276,-1.058139,-0.0045,101.5684,0,269.911,329.13,332.083,1139.662,0,0
Standard used,ISO 5660-1,1,20.95181773,104.024587,0.00206899,0.04292328,1.005943,1.006304,-1.058139,-0.0031,101.5714,0,269.934,329.175,332.112,1139.734,0,0
Date of test,15/11/2018,2,20.94868421,106.029642,0.00198168,0.04374398,1.004576,1.006331,-1.058139,-0.0017,101.5744,0,269.957,329.22,332.141,1139.805,0,0
Time of test,14:04,3,20.95132611,109.191037,0.00206041,0.04486863,1.002624,1.006274,-1.058139,-0.0014,101.5733,0,269.939,329.164,332.067,1139.869,0,0
Heat flux (kW/m²),50,4,20.9539612,110.384032,0.0024077,0.04669319,1.003514,1.00635,-1.058139,-0.0017,101.5732,0,269.949,329.031,331.937,1139.967,0,0
Nominal duct flow rate (l/s),24,5,20.95422736,111.416411,0.00259151,0.04524009,1.00548,1.006369,-1.058139,0.0007,101.5739,0,269.96,329.012,331.905,1140.073,0,0
Sampling interval (s),1,6,20.95176992,110.615266,0.00251686,0.0438748,1.005223,1.006271,-1.058139,-0.0005,101.5721,0,269.945,328.978,331.851,1140.217,0,0
Separation (mm),60,7,20.94730364,106.512451,0.00232944,0.04318881,1.005134,1.006262,-1.058139,-0.0001,101.5729,0,269.972,328.928,331.783,1140.34,0,0
Orientation,Horizontal,8,20.94825049,109.432284,0.00226445,0.04354835,1.004954,1.0063,-1.058139,0.0011,101.5747,0,269.969,328.918,331.769,1140.452,0,0
Edge frame?,Yes,9,20.95194008,109.047519,0.00231096,0.04545919,1.004418,1.006321,-1.058139,-0.0007,101.574,0,269.96,328.873,331.731,1143.234,0,0
Grid?,No,10,20.95415779,110.160588,0.00242776,0.04687966,1.004206,1.006462,-1.058139,0.0012,101.5722,0,269.951,328.815,331.624,1141.52,0,0
Non-scrubbed?,Yes,11,20.95393381,109.535845,0.00229299,0.04493178,1.004995,1.006387,-1.058139,0.0013,101.5745,0,269.964,328.767,331.588,1140.837,0,0
Substrate used? {Y/N},No,12,20.95083472,108.981966,0.00198204,0.04340339,1.005845,1.006341,-1.058139,0.0012,101.5733,0,269.958,328.735,331.551,1140.961,0,0
Substrate,none,13,20.94693242,111.135629,0.0017555,0.04318431,1.00407,1.006444,-1.058139,0.0001,101.5722,0,269.945,328.684,331.482,1141.08,0,0
Additional specimen preparation details,,14,20.94893725,109.932722,0.00172138,0.04398112,1.003239,1.006297,-1.058139,0.0013,101.5726,0,269.952,328.662,331.422,1141.169,0,0
,,15,20.95380136,107.57427,0.00186184,0.04645527,1.004231,1.006294,-1.058139,-0.003,101.5737,0,269.955,328.601,331.338,1141.233,0,0
Specimen,,16,20.95622109,107.28702,0.00211457,0.04649065,1.003126,1.006174,-1.058139,0.0003,101.5726,0,269.955,328.587,331.328,1141.329,0,0
Sample description,after WT_H2,17,20.95550575,107.723342,0.00212021,0.04500437,1.005385,1.006225,-1.058139,0.0008,101.5733,0,269.965,328.606,331.373,1141.407,0,0
Material name/ID,,18,20.95183242,109.442164,0.00199585,0.04360429,1.004625,1.006255,-1.058139,-0.0017,101.573,0,269.966,328.623,331.403,1142.219,0,0
Specimen number,,19,20.94887874,110.828664,0.00194428,0.04321875,1.005069,1.006086,-1.058139,-0.0005,101.5727,0,269.95,328.632,331.428,1141.773,0,0
E (MJ/kg),13.1,20,20.95132921,107.466157,0.00196875,0.04459089,1.004767,1.00614,-1.058139,0.0011,101.573,0,269.948,328.655,331.445,1141.583,0,0
Initial mass (g),52.627,21,20.95485727,108.847138,0.0021778,0.0467803,1.004449,1.006108,-1.058139,0.0003,101.5713,0,269.949,328.713,331.547,1143.865,0,0
Thickness (mm),12.5,22,20.95634118,109.445906,0.00235199,0.04594836,1.004442,1.006153,-1.058139,0.0006,101.573,0,269.956,328.78,331.628,1145.897,0,0
Surface area (cm²),88.4,23,20.95511334,110.041188,0.00222364,0.04410856,1.004701,1.006067,-1.058139,0.0013,101.5727,0,269.944,328.809,331.665,1142.941,0,0
Sponsor,,24,20.95099071,107.381542,0.00210608,0.04315788,1.004419,1.006149,-1.058139,0.0024,101.5724,0,269.961,328.809,331.66,1141.968,0,0
Manufacturer,,25,20.94904345,109.693253,0.00203498,0.04362101,1.005025,1.005976,-1.058139,0.0001,101.5732,0,269.954,328.832,331.716,1142.046,0,0
Test start time (s),70,26,20.95214714,108.51994,0.00209044,0.04558973,1.006621,1.005973,-1.058139,-0.0008,101.5731,0,269.954,328.914,331.822,1142.139,0,0
Time to ignition (s),15,27,20.95542237,110.164943,0.0022773,0.04704767,1.007062,1.005992,-1.058139,-0.0003,101.5728,0,269.96,329.001,331.883,1142.168,0,0
Time to flameout (s),1198,28,20.95636407,106.677572,0.0024856,0.04612573,1.004764,1.005971,-1.058139,0.0014,101.5747,0,269.962,329.009,331.874,1142.172,0,0
End of test criterion,ISO 5660-1:2002,29,20.95454677,109.070977,0.00234649,0.04410928,1.003404,1.005954,-1.058139,0.0013,101.5729,0,269.954,328.958,331.803,1142.208,0,0
User EOT time (s),,30,20.94891475,109.436951,0.00214515,0.04375645,1.002921,1.005909,-1.058139,0.0015,101.5716,0,269.962,328.929,331.834,1142.269,0,0
MLR EOT mass (g/m²),150,31,20.94746205,110.543372,0.00199009,0.04450816,1.00393,1.005906,-1.058139,-0.0005,101.5732,0,269.957,328.981,331.937,1142.334,0,0
MLR EOT time period (s),60,32,20.95096517,107.487489,0.00197052,0.04660347,1.004488,1.005739,-1.058139,0.0011,101.572,0,269.957,329.074,332.044,1142.397,0,0
Truncate graphs at EOT?,No,33,20.95260958,108.642517,0.00213359,0.04781249,1.005245,1.005773,-1.058139,-0.0006,101.5737,0,269.958,329.114,332.07,1142.456,0,0
Smooth data?,No,34,20.95241547,105.565023,0.00213379,0.04616533,1.006059,1.005809,-1.058139,0,101.5734,0,269.951,329.095,332.054,1142.509,0,0
Correct O2 for pressure?,No,35,20.95005258,109.675309,0.00191286,0.04377993,1.005697,1.005792,-1.058139,-0.0004,101.5723,0,269.963,329.044,331.987,1142.581,0,0
,,36,20.94563298,108.372195,0.00181291,0.04313722,1.005081,1.005796,-1.058139,-0.0015,101.5738,0,269.951,329.051,332,1142.655,0,0
Specifications: apparatus,,37,20.94602033,109.648708,0.00179686,0.04366384,1.004105,1.005883,-1.058139,-0.001,101.5741,0,269.955,329.07,332.031,1142.686,0,0
C-factor (SI units),0.045345,38,20.94828534,109.42385,0.0018494,0.04601669,1.004945,1.005719,-1.058139,0.0004,101.5715,0,269.951,329.098,332.068,1142.689,0,0
OD correction factor,0.97963,39,20.95028348,107.79631,0.00206517,0.04677644,1.004295,1.00565,-1.058139,0.0008,101.573,0,269.936,329.111,332.109,1142.761,0,0
Duct diameter (m),0.114,40,20.95176041,106.808003,0.00206166,0.04549434,1.003388,1.005658,-1.058139,0.0017,101.573,0,269.927,329.132,332.121,1141.324,0,0
O2 delay time (s),0,41,20.94941508,108.60036,0.00182581,0.04364812,1.004267,1.005693,-1.058139,0.0005,101.5727,0,269.938,329.17,332.232,1141.346,0,0
CO2 delay time (s),0,42,20.94510968,108.654586,0.0016631,0.04323727,1.004758,1.005575,-1.058139,0.0018,101.5715,0,269.944,329.233,332.28,1143.115,0,0
CO delay time (s),0,43,20.94655651,109.003889,0.00164153,0.04385583,1.004087,1.005442,-1.058139,0.0023,101.5721,0,269.945,329.191,332.195,1143.249,0,0
,,44,20.95029575,113.240258,0.00184487,0.04643655,1.002845,1.005454,-1.058139,0.0006,101.5717,0,269.928,329.067,332.046,1143.16,0,0
Laboratory,,45,20.9522873,109.635037,0.00209264,0.04627495,1.003481,1.00553,-1.058139,0.0005,101.5719,0,269.927,328.951,331.94,1143.214,0,0
Laboratory name,FTT Cone - NIST,46,20.95195425,110.715383,0.00207181,0.04470963,1.003536,1.005329,-1.058139,0.0014,101.5713,0,269.939,328.894,331.895,1143.296,0,0
Operator,Shields,47,20.95002461,108.995437,0.00190273,0.04336014,1.003934,1.005281,-1.058139,0.0008,101.5716,0,269.94,328.894,331.934,1145.955,0,0
Filename,C:\CC5\DATA\18110031.CSV,48,20.94692904,107.740331,0.00185783,0.04327763,1.003537,1.005182,-1.058139,-0.0001,101.57,0,269.936,328.935,332.031,1144.087,0,0
