General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.93639511,118.314069,0.00227769,0.04182234,0.999992,0.997476,38.852325,-0.0032,101.7613,0,271.021,332.434,336.568,1129.679,0,0
Standard used,ISO 5660-1,1,20.94346094,112.84255,0.00245787,0.0450746,0.998875,0.997201,38.852325,-0.0026,101.7593,0,271.044,332.441,336.574,1129.675,0,0
Date of test,02/08/2018,2,20.95052677,107.371031,0.00263805,0.04832686,0.997759,0.996926,38.852325,-0.0019,101.7574,0,271.067,332.447,336.58,1129.671,0,0
Time of test,11:15,3,20.95325203,104.897661,0.002877,0.04855982,0.995724,0.996658,38.852325,-0.0018,101.757,0,271.057,332.429,336.562,1132.357,0,0
Heat flux (kW/m²),50,4,20.95405473,104.651035,0.0028426,0.04635421,0.995073,0.996464,38.852325,-0.0015,101.7549,0,271.062,332.426,336.539,1130.459,0,0
Nominal duct flow rate (l/s),24,5,20.95081972,107.816038,0.00269518,0.04520187,0.995403,0.996168,38.852325,-0.0002,101.7571,0,271.057,332.392,336.502,1129.666,0,0
Sampling interval (s),1,6,20.94766157,110.378287,0.00259563,0.04525822,0.995321,0.996031,38.852325,-0.0002,101.7597,0,271.035,332.35,336.434,1129.662,0,0
Separation (mm),60,7,20.9503919,106.917457,0.00261236,0.04662055,0.997124,0.995868,38.852325,-0.0013,101.7587,0,271.057,332.321,336.432,1129.651,0,0
Orientation,Horizontal,8,20.95385071,111.154773,0.00281942,0.04885946,0.996521,0.995682,38.852325,-0.0012,101.757,0,271.042,332.306,336.399,1129.668,0,0
Edge frame?,Yes,9,20.95524021,111.116338,0.00291103,0.04854552,0.994969,0.995548,38.852325,-0.0014,101.7594,0,271.046,332.261,336.288,1129.691,0,0
Grid?,No,10,20.95298786,109.094179,0.00275789,0.04710166,0.995932,0.99549,38.852325,-0.0006,101.7566,0,271.054,332.201,336.244,1129.706,0,0
Non-scrubbed?,Yes,11,20.94837579,107.349936,0.00257311,0.04612265,0.99549,0.995388,38.852325,-0.0026,101.7544,0,271.05,332.196,336.278,1129.732,0,0
Substrate used? {Y/N},No,12,20.94610593,107.13349,0.00244505,0.04619786,0.995975,0.99528,38.852325,-0.0036,101.7563,0,271.041,332.227,336.32,1129.751,0,0
Substrate,none,13,20.94777568,106.421257,0.00250414,0.04799192,0.995355,0.995113,38.852325,0.0004,101.7595,0,271.039,332.258,336.348,1126.095,0,0
Additional specimen preparation details,,14,20.95045581,106.910785,0.00274256,0.04973341,0.994865,0.995142,38.852325,0.0002,101.7585,0,271.031,332.247,336.352,1125.593,0,0
,,15,20.95143373,108.445393,0.00296556,0.04878778,0.994871,0.995112,38.852325,-0.0019,101.7574,0,271.026,332.281,336.351,1128.815,0,0
Specimen,,16,20.94976383,108.295733,0.00284671,0.04681498,0.994861,0.995107,38.852325,-0.001,101.7591,0,271.036,332.278,336.353,1129.718,0,0
Sample description,,17,20.94583283,110.787541,0.00260043,0.0459143,0.996253,0.995078,38.852325,-0.0012,101.7565,0,271.028,332.237,336.317,1129.732,0,0
Material name/ID,,18,20.94613526,109.714213,0.00250735,0.0463052,0.995216,0.995038,38.852325,0.0013,101.7549,0,271.049,332.214,336.284,1129.81,0,0
Specimen number,,19,20.94992778,106.367675,0.00261334,0.04872631,0.995132,0.994999,38.852325,-0.0008,101.7557,0,271.039,332.196,336.276,1129.835,0,0
E (MJ/kg),13.1,20,20.95279324,108.897324,0.0027763,0.04999578,0.994116,0.99499,38.852325,-0.0033,101.7578,0,271.027,332.186,336.282,1129.906,0,0
Initial mass (g),36.387,21,20.95328651,109.622958,0.00278541,0.04862768,0.994154,0.995001,38.852325,-0.0019,101.7533,0,271.036,332.206,336.32,1129.947,0,0
Thickness (mm),10,22,20.95108376,107.109776,0.0025233,0.04666167,0.995069,0.994973,38.852325,0.0005,101.7551,0,271.018,332.223,336.319,1129.993,0,0
Surface area (cm²),88.4,23,20.94654658,107.906453,0.00225671,0.04594997,0.994198,0.994974,38.852325,0.001,101.7583,0,271.01,332.204,336.286,1130.007,0,0
Sponsor,,24,20.94695826,110.338846,0.00214159,0.04686214,0.994219,0.994935,38.852325,-0.0025,101.7587,0,271.025,332.183,336.265,1130.07,0,0
Manufacturer,,25,20.94911279,108.632561,0.00220246,0.04874706,0.993972,0.994831,38.852325,-0.0027,101.7581,0,271.019,332.191,336.247,1130.116,0,0
Test start time (s),135,26,20.95105219,106.152717,0.00245613,0.04943849,0.994699,0.994856,38.852325,0.0001,101.7582,0,270.997,332.18,336.278,1130.13,0,0
Time to ignition (s),67,27,20.95166598,107.87411,0.00250784,0.04806316,0.994603,0.994819,38.852325,-0.0018,101.7606,0,271.005,332.21,336.31,1130.122,0,0
Time to flameout (s),725,28,20.95002437,104.832378,0.00227626,0.04633926,0.995063,0.994794,38.852325,-0.0002,101.7586,0,271.011,332.233,336.356,1130.132,0,0
End of test criterion,ISO 5660-1:2002,29,20.94612908,106.302093,0.00222419,0.04526174,0.994604,0.994675,38.852325,0.0004,101.7574,0,270.996,332.229,336.337,1130.156,0,0
User EOT time (s),,30,20.94739593,109.747371,0.00226522,0.04604348,0.993844,0.99456,38.852325,0.0015,101.7604,0,271.006,332.224,336.308,1130.192,0,0
MLR EOT mass (g/m²),150,31,20.95111005,103.913201,0.00240555,0.04790263,0.994343,0.994496,38.852325,-0.0019,101.7591,0,271.001,332.198,336.301,1130.236,0,0
MLR EOT time period (s),60,32,20.95322445,107.521518,0.00268148,0.04899305,0.993625,0.994412,38.852325,-0.0041,101.7581,0,271.002,332.208,336.317,1130.31,0,0
Truncate graphs at EOT?,No,33,20.952805,107.827294,0.00267724,0.04724027,0.994314,0.994194,38.852325,-0.0042,101.7605,0,271.016,332.222,336.341,1130.3,0,0
Smooth data?,No,34,20.94946945,105.056164,0.00248094,0.04542172,0.995615,0.994109,38.852325,-0.0035,101.7589,0,271.029,332.257,336.36,1130.316,0,0
Correct O2 for pressure?,No,35,20.94587083,105.875866,0.00242432,0.04543805,0.994787,0.994006,38.852325,-0.0021,101.7575,0,271.035,332.26,336.349,1130.337,0,0
,,36,20.94822088,104.67434,0.00250459,0.04614489,0.993302,0.993929,38.852325,-0.0017,101.7578,0,271.02,332.262,336.362,1130.343,0,0
Specifications: apparatus,,37,20.9517443,109.468984,0.00268685,0.04867513,0.993989,0.993799,38.852325,0.0001,101.76,0,271.017,332.265,336.358,1130.351,0,0
C-factor (SI units),0.045478,38,20.95340403,108.404207,0.00295938,0.04874375,0.992997,0.993558,38.852325,0.0005,101.7577,0,271.009,332.253,336.358,1130.394,0,0
OD correction factor,0.97963,39,20.95266526,107.393075,0.00287603,0.0467465,0.993335,0.993419,38.852325,0.0006,101.7575,0,271.01,332.256,336.352,1130.411,0,0
Duct diameter (m),0.114,40,20.94863792,106.752187,0.00262848,0.045303,0.993161,0.993323,38.852325,0.001,101.7584,0,271.011,332.291,336.392,1130.435,0,0
O2 delay time (s),0,41,20.9458228,106.194188,0.00255855,0.0453946,0.993379,0.993105,38.852325,0.0014,101.7586,0,271.017,332.305,336.373,1133.178,0,0
CO2 delay time (s),0,42,20.9488653,106.997349,0.00261173,0.0468645,0.993304,0.993062,38.852325,0.0004,101.7578,0,271.032,332.313,336.427,1131.126,0,0
CO delay time (s),0,43,20.95223743,107.067208,0.00277007,0.04885581,0.992245,0.992887,38.852325,0.0009,101.7589,0,271.007,332.338,336.49,1130.385,0,0
,,44,20.95337411,105.635527,0.00292176,0.04764792,0.992774,0.99263,38.852325,0.0007,101.7595,0,271.047,332.361,336.475,1130.439,0,0
Laboratory,,45,20.95198087,105.202864,0.00275606,0.04617013,0.991222,0.992427,38.852325,-0.0003,101.7604,0,271.037,332.377,336.494,1130.477,0,0
Laboratory name,FTT Cone - NIST,46,20.94769024,107.281699,0.00247253,0.04528089,0.991413,0.992253,38.852325,0,101.757,0,271.039,332.407,336.503,1130.491,0,0
