General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.96000107,106.791098,0.00242804,0.05133957,0.991999,0.990932,-1.057876,-0.0029,101.2892,0,270.152,330.486,333.153,1148.549,0,0
Standard used,ISO 5660-1,1,20.95591009,106.73022,0.00225111,0.04883239,0.991446,0.99134,-1.057876,-0.0021,101.2915,0,270.162,330.595,333.287,1148.086,0,0
Date of test,13/11/2018,2,20.95181911,106.669343,0.00207419,0.0463252,0.990893,0.991749,-1.057876,-0.0013,101.2938,0,270.172,330.705,333.421,1147.622,0,0
Time of test,12:33,3,20.94751491,106.3203,0.00195736,0.04614373,0.99222,0.992027,-1.057876,-0.0001,101.2943,0,270.166,330.809,333.484,1147.161,0,0
Heat flux (kW/m²),50,4,20.94881553,110.856297,0.00201529,0.04740407,0.992776,0.992306,-1.057876,0.0004,101.2938,0,270.164,330.851,333.518,1146.687,0,0
Nominal duct flow rate (l/s),24,5,20.95237797,107.285512,0.00218606,0.0493071,0.992794,0.992542,-1.057876,0.0016,101.2905,0,270.182,330.889,333.578,1146.288,0,0
Sampling interval (s),1,6,20.95308035,107.459481,0.00238728,0.04955001,0.991515,0.992752,-1.057876,-0.001,101.2923,0,270.182,330.923,333.594,1145.958,0,0
Separation (mm),60,7,20.95239415,108.580262,0.00236997,0.04774699,0.991857,0.992938,-1.057876,0.0007,101.2948,0,270.165,330.882,333.542,1145.628,0,0
Orientation,Horizontal,8,20.94884082,111.616898,0.00218181,0.04605086,0.991683,0.993074,-1.057876,0.0011,101.2932,0,270.182,330.834,333.534,1145.401,0,0
Edge frame?,Yes,9,20.94527045,108.035774,0.00204536,0.04548169,0.991568,0.993352,-1.057876,0.0008,101.2908,0,270.166,330.855,333.535,1147.935,0,0
Grid?,No,10,20.94774943,106.072105,0.00210837,0.04705318,0.993069,0.993579,-1.057876,-0.0005,101.2893,0,270.171,330.876,333.589,1145.654,0,0
Non-scrubbed?,Yes,11,20.95272378,108.761214,0.00232423,0.04909463,0.993377,0.993862,-1.057876,0.0021,101.2911,0,270.166,330.901,333.639,1144.68,0,0
Substrate used? {Y/N},No,12,20.95480044,107.634798,0.00255168,0.04822193,0.993244,0.994144,-1.057876,0.0006,101.2906,0,270.18,330.892,333.607,1144.446,0,0
Substrate,none,13,20.9538852,109.514817,0.0024558,0.04633945,0.99498,0.994377,-1.057876,-0.0003,101.2906,0,270.166,330.846,333.565,1144.244,0,0
Additional specimen preparation details,,14,20.95024138,107.822034,0.00222232,0.04535786,0.994645,0.994664,-1.057876,0,101.2904,0,270.159,330.814,333.559,1142.705,0,0
,,15,20.94742059,105.765933,0.00205947,0.04554143,0.995032,0.994881,-1.057876,0.0011,101.2903,0,270.158,330.839,333.6,1141.502,0,0
Specimen,,16,20.95027767,102.677972,0.00202091,0.04703341,0.993885,0.995129,-1.057876,0.0011,101.289,0,270.15,330.898,333.648,1140.618,0,0
Sample description,after WT_NP3+G_1,17,20.9536173,106.173842,0.00208245,0.04906697,0.994932,0.99549,-1.057876,0.0003,101.29,0,270.166,330.931,333.681,1142.873,0,0
Material name/ID,,18,20.95483655,107.986754,0.00225478,0.04864181,0.994452,0.99579,-1.057876,0.0001,101.2898,0,270.171,330.977,333.757,1140.204,0,0
Specimen number,,19,20.95333132,106.001245,0.0021221,0.04632343,0.995483,0.996009,-1.057876,0.0004,101.2892,0,270.166,331.044,333.815,1142.411,0,0
