General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.93414905,98.780654,0.00127678,0.04166739,0.997779,0.999772,-0.740606,0.0055,101.2819,0,269.96,329.136,332.902,1140.021,0,0
Standard used,ISO 5660-1,1,20.93950012,104.468014,0.00143828,0.0445048,0.999047,0.999898,-0.740606,0.003,101.2815,0,269.96,329.142,332.918,1139.846,0,0
Date of test,05/03/2019,2,20.94485119,110.155374,0.00159977,0.04734222,1.000315,1.000024,-0.740606,0.0006,101.2812,0,269.96,329.148,332.934,1139.671,0,0
Time of test,12:26,3,20.94806355,108.315881,0.00187889,0.04905561,1.000291,1.000022,-0.740606,0.0024,101.2784,0,269.937,329.147,332.953,1139.619,0,0
Heat flux (kW/m²),50,4,20.94870241,109.187615,0.00210491,0.04760499,0.999798,0.99998,-0.740606,-0.0004,101.278,0,269.953,329.129,332.938,1142.144,0,0
Nominal duct flow rate (l/s),24,5,20.94664488,106.364572,0.00199363,0.04587129,1.000796,1.000002,-0.740606,0.0002,101.2779,0,269.96,329.11,332.905,1142.823,0,0
Sampling interval (s),1,6,20.94206145,104.259644,0.00179938,0.04512342,1.000186,1.000002,-0.740606,0.0014,101.2801,0,269.955,329.1,332.892,1141.685,0,0
Separation (mm),60,7,20.94220408,105.715556,0.00168626,0.04581552,0.999759,0.999956,-0.740606,0.0033,101.2798,0,269.951,329.103,332.917,1141.144,0,0
Orientation,Horizontal,8,20.94565627,104.415528,0.00169997,0.04795363,1.000067,1.000017,-0.740606,0.0039,101.2795,0,269.958,329.144,332.983,1139.696,0,0
Edge frame?,Yes,9,20.94716739,104.749917,0.00188815,0.0487873,1.000336,1.000029,-0.740606,0.0013,101.2795,0,269.968,329.197,333.052,1139.258,0,0
Grid?,No,10,20.94669826,107.346289,0.00187767,0.04702153,0.999754,1.000016,-0.740606,0.0015,101.2777,0,269.962,329.229,333.107,1139.295,0,0
Non-scrubbed?,Yes,11,20.94400961,105.352303,0.00170491,0.04553868,0.99874,0.99997,-0.740606,0.0007,101.2785,0,269.97,329.237,333.09,1139.366,0,0
Substrate used? {Y/N},No,12,20.94092723,106.922271,0.00155397,0.04512674,1.00051,0.999978,-0.740606,0.0016,101.2771,0,269.971,329.226,333.076,1139.399,0,0
Substrate,none,13,20.94274723,106.404186,0.00151277,0.04588513,1.000758,0.999846,-0.740606,0.0039,101.278,0,269.952,329.208,333.089,1139.38,0,0
Additional specimen preparation details,,14,20.94783891,109.196849,0.00161019,0.04811896,0.999323,0.999771,-0.740606,0.0009,101.2788,0,269.959,329.242,333.152,1139.295,0,0
,,15,20.95049314,108.95606,0.00187728,0.04896917,0.999133,0.999729,-0.740606,0.0009,101.2763,0,269.978,329.283,333.179,1141.751,0,0
