General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95143577,136.502094,0.00054184,0.04944125,1.000073,1.000081,-1.545536,0.0118,70.0539,0,267.4,320.846,323.987,1058.968,0,0
Standard used,ASTM E 1354,1,20.94924948,135.761294,0.00031662,0.04624256,1.000082,1.000087,-1.545536,0.0062,70.011,0,267.406,320.83,323.981,1058.981,0,0
Date of test,26/06/2024,2,20.9470632,135.020494,9.139E-05,0.04304388,1.000092,1.000093,-1.545536,0.0005,69.9681,0,267.412,320.814,323.975,1058.994,0,0
Time of test,13:15,3,20.94245678,135.443979,-5.834E-05,0.04206463,1.000075,1.000055,-1.545536,-0.0001,69.9703,0,267.427,320.827,324,1058.99,0,0
Heat flux (kW/m²),50,4,20.94323512,138.786596,-0.00012005,0.04256787,1.00002,1.000028,-1.545536,0.0001,69.9703,0,267.43,320.859,324.031,1058.952,0,0
Nominal duct flow rate (l/s),24,5,20.94755299,131.550244,-4.341E-05,0.04459434,1.000019,1.000032,-1.545536,-0.0002,69.9709,0,267.425,320.817,323.925,1058.942,0,0
Sampling interval (s),1,6,20.95045058,140.458653,0.00022192,0.04561598,1.000066,1.000085,-1.545536,0,69.9569,0,267.429,320.776,323.925,1058.941,0,0
Separation (mm),25,7,20.95083677,133.787358,0.00030708,0.04480723,1.000066,1.00008,-1.545536,-0.0001,69.9757,0,267.414,320.821,324.039,1061.699,0,0
Orientation,Horizontal,8,20.94834367,135.732284,0.00011303,0.04283853,1.000085,1.000085,-1.545536,-0.0005,69.9662,0,267.402,320.925,324.134,1059.549,0,0
Edge frame?,Yes,9,20.94385528,133.473119,-5.508E-05,0.04207511,1.000107,1.000107,-1.545536,0.0004,69.9631,0,267.428,321.011,324.224,1058.947,0,0
Grid?,No,10,20.94451339,139.395913,-0.00010927,0.0431492,1.000126,1.00012,-1.545536,-0.0007,69.9543,0,267.417,321.056,324.259,1058.961,0,0
Non-scrubbed?,Yes,11,20.94840338,134.832141,-7.34E-06,0.04524592,1.000148,1.000133,-1.545536,-0.0015,69.9502,0,267.433,321.065,324.297,1058.961,0,0
Substrate used? {Y/N},No,12,20.95076755,135.116745,0.00025224,0.04550246,1.00013,1.000124,-1.545536,-0.0022,69.9486,0,267.417,321.084,324.356,1058.944,0,0
Substrate,none,13,20.95066707,130.090206,0.00029998,0.04440732,1.000109,1.000118,-1.545536,-0.0007,69.9539,0,267.43,321.167,324.415,1058.931,0,0
Additional specimen preparation details,kaowool blankets. Al foil pan. No retainer frame. Specimen stored in dry environment,14,20.94761057,130.606923,3.488E-05,0.0424524,1.000085,1.000091,-1.545536,0.0003,69.9485,0,267.42,321.189,324.477,1055.163,0,0
,,15,20.94343555,135.275903,-9.591E-05,0.04204754,1.000118,1.000123,-1.545536,0.0014,69.9394,0,267.4,321.208,324.468,1054.009,0,0
Specimen,,16,20.945265,137.123308,-0.00010389,0.0433867,1.00012,1.000125,-1.545536,0.0014,69.9431,0,267.407,321.207,324.496,1054.497,0,0
Sample description,GPO1_Horiz_50kWm-2_R1,17,20.94896868,137.281254,3.651E-05,0.04525526,1.00011,1.000124,-1.545536,0.0003,69.94,0,267.412,321.242,324.54,1058.149,0,0
Material name/ID,GPO1,18,20.94989917,132.216338,0.00027019,0.04556048,1.0001,1.000091,-1.545536,-0.0011,69.9434,0,267.391,321.263,324.612,1058.995,0,0
Specimen number,1,19,20.94855805,129.259761,0.00026176,0.04394549,1.000142,1.000133,-1.545536,0.002,69.9377,0,267.392,321.327,324.635,1058.99,0,0
E (MJ/kg),13.1,20,20.94653642,135.43689,4.067E-05,0.04240316,1.000113,1.000101,-1.545536,0.0004,69.9473,0,267.387,321.295,324.612,1058.988,0,0
Initial mass (g),111.89,21,20.94332132,138.584587,-9.94E-05,0.04222074,1.000122,1.000125,-1.545536,0.0016,69.9497,0,267.408,321.291,324.635,1059.02,0,0
Thickness (mm),6.1,22,20.94586518,137.514234,-8.237E-05,0.04402748,1.000128,1.000132,-1.545536,0.0016,69.9684,0,267.408,321.302,324.641,1059.053,0,0
Surface area (cm²),88.4,23,20.94948846,136.80419,6.611E-05,0.04584589,1.000112,1.000111,-1.545536,-0.0006,69.9681,0,267.418,321.333,324.695,1059.057,0,0
Sponsor,,24,20.95111733,133.955501,0.00027483,0.04539224,1.000116,1.000099,-1.545536,0.0007,69.9671,0,267.409,321.363,324.709,1059.085,0,0
Manufacturer,,25,20.9516625,142.401689,0.00018717,0.04347527,1.000128,1.000119,-1.545536,0.0018,69.9726,0,267.401,321.397,324.783,1059.115,0,0
