General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.93483212,107.109231,0.00149356,0.04472676,0.996798,0.998637,57.054799,-0.0008,101.4357,0,269.479,328.793,332.345,1136.94,0,0
Standard used,ISO 5660-1,1,20.94080447,105.783926,0.00164071,0.04822348,0.99748,0.998468,57.054799,-0.0006,101.4361,0,269.495,328.824,332.422,1136.956,0,0
Date of test,04/02/2019,2,20.94677682,104.458621,0.00178786,0.0517202,0.998162,0.9983,57.054799,-0.0003,101.4364,0,269.511,328.855,332.499,1136.972,0,0
Time of test,10:31,3,20.9498637,103.331661,0.00187926,0.05294919,0.998227,0.997998,57.054799,-0.0001,101.4367,0,269.517,328.878,332.524,1136.951,0,0
Heat flux (kW/m²),50,4,20.95009496,104.306599,0.00190328,0.05161881,0.997831,0.997794,57.054799,0.0029,101.4352,0,269.5,328.884,332.519,1136.94,0,0
Nominal duct flow rate (l/s),24,5,20.94741141,105.56519,0.00166542,0.04994367,0.997859,0.997514,57.054799,0.0013,101.434,0,269.519,328.857,332.494,1136.97,0,0
Sampling interval (s),1,6,20.94308616,105.369206,0.00142888,0.04891397,0.997613,0.997349,57.054799,0.0005,101.4323,0,269.519,328.82,332.42,1137.003,0,0
Separation (mm),60,7,20.94414988,107.160776,0.00131797,0.04918784,0.997034,0.997212,57.054799,-0.0002,101.4313,0,269.505,328.757,332.362,1136.981,0,0
Orientation,Horizontal,8,20.94789253,106.31503,0.00150495,0.05175645,0.996948,0.997051,57.054799,0.0006,101.4333,0,269.518,328.726,332.374,1136.942,0,0
Edge frame?,Yes,9,20.95013012,107.959454,0.00187272,0.05214938,0.997405,0.996863,57.054799,0.0002,101.4326,0,269.533,328.779,332.413,1136.951,0,0
Grid?,No,10,20.94992126,106.651578,0.00201207,0.05090545,0.996982,0.996753,57.054799,-0.0002,101.4345,0,269.531,328.807,332.454,1136.924,0,0
Non-scrubbed?,Yes,11,20.94561845,102.649808,0.00196281,0.04931197,0.995623,0.996459,57.054799,-0.0004,101.4346,0,269.534,328.82,332.476,1136.947,0,0
Substrate used? {Y/N},No,12,20.94102754,102.771873,0.00185563,0.04897506,0.995963,0.996295,57.054799,-0.0001,101.4325,0,269.513,328.815,332.458,1136.988,0,0
Substrate,none,13,20.94288392,104.604082,0.0018944,0.05016818,0.995362,0.996205,57.054799,-0.0004,101.4339,0,269.508,328.806,332.432,1137.038,0,0
Additional specimen preparation details,,14,20.94656019,106.649221,0.0019811,0.05201435,0.995149,0.995734,57.054799,-0.0004,101.4337,0,269.522,328.757,332.354,1139.083,0,0
,,15,20.94685201,107.990147,0.00221031,0.05229511,0.995662,0.995512,57.054799,-0.0004,101.4335,0,269.542,328.712,332.297,1137.624,0,0
Specimen,,16,20.94567049,105.063823,0.00209615,0.05070665,0.99591,0.995201,57.054799,-0.0004,101.4317,0,269.534,328.71,332.321,1140.779,0,0
Sample description,Coating A+N No3,17,20.94053154,107.994794,0.00184157,0.0491614,0.99465,0.994912,57.054799,-0.0001,101.433,0,269.517,328.72,332.298,1141.548,0,0
Material name/ID,Coating A+N No3,18,20.93690712,105.494395,0.00164023,0.04907777,0.994708,0.994601,57.054799,-0.0005,101.4325,0,269.516,328.675,332.257,1141.162,0,0
Specimen number,,19,20.93971075,108.226167,0.00162045,0.05039766,0.992702,0.994442,57.054799,-0.0004,101.4312,0,269.528,328.627,332.154,1137.912,0,0
E (MJ/kg),13.1,20,20.94306726,109.230852,0.00175938,0.05258523,0.993206,0.994197,57.054799,-0.0004,101.4319,0,269.52,328.55,332.046,1137.067,0,0
Initial mass (g),58.35,21,20.94452996,108.586359,0.00191547,0.05227244,0.992931,0.993993,57.054799,0.001,101.4337,0,269.52,328.453,331.901,1137.093,0,0
Thickness (mm),12.5,22,20.94417878,104.029058,0.00178484,0.04991982,0.992609,0.993844,57.054799,0.0003,101.4326,0,269.537,328.383,331.803,1137.054,0,0
Surface area (cm²),88.4,23,20.9408709,103.71398,0.00164655,0.04884882,0.992506,0.993592,57.054799,0.0014,101.4312,0,269.541,328.353,331.792,1139.737,0,0
Sponsor,,24,20.93910251,104.089494,0.00165386,0.04898807,0.992887,0.993322,57.054799,0.0002,101.4324,0,269.517,328.391,331.847,1137.724,0,0
Manufacturer,,25,20.94222181,107.44827,0.00174877,0.05017581,0.991729,0.993044,57.054799,0,101.4308,0,269.524,328.434,331.889,1136.959,0,0
Test start time (s),78,26,20.94691596,106.031018,0.00204088,0.05201911,0.992122,0.992843,57.054799,-0.0001,101.432,0,269.544,328.476,331.97,1136.949,0,0
Time to ignition (s),22,27,20.94694127,102.781389,0.00229023,0.05211116,0.992051,0.99265,57.054799,-0.0004,101.4348,0,269.532,328.569,332.08,1136.946,0,0
Time to flameout (s),65,28,20.94474188,107.018376,0.00214021,0.04987778,0.992087,0.992497,57.054799,0.0009,101.4362,0,269.53,328.593,332.08,1136.947,0,0
End of test criterion,ISO 5660-1:2002,29,20.94025232,107.70812,0.0019082,0.04886391,0.991171,0.99229,57.054799,0.0001,101.4352,0,269.531,328.568,332.032,1136.968,0,0
User EOT time (s),,30,20.93926156,104.705528,0.00177251,0.04945532,0.990442,0.992022,57.054799,0.0001,101.4328,0,269.542,328.521,331.95,1136.948,0,0
MLR EOT mass (g/m²),150,31,20.94294675,103.220096,0.00180031,0.05095076,0.989292,0.991817,57.054799,-0.0005,101.4348,0,269.545,328.448,331.904,1136.926,0,0
MLR EOT time period (s),60,32,20.94680874,104.518135,0.00207542,0.05233852,0.990093,0.991646,57.054799,-0.0005,101.4355,0,269.534,328.425,331.876,1136.894,0,0
Truncate graphs at EOT?,No,33,20.94818971,109.019389,0.00218946,0.05083718,0.990353,0.99151,57.054799,-0.0002,101.4342,0,269.531,328.411,331.833,1136.878,0,0
Smooth data?,No,34,20.94602528,106.106028,0.00202629,0.04954065,0.991127,0.991328,57.054799,-0.0004,101.4351,0,269.537,328.411,331.875,1136.851,0,0
Correct O2 for pressure?,No,35,20.94169395,105.255524,0.00188698,0.04885633,0.991745,0.991253,57.054799,-0.0003,101.435,0,269.528,328.432,331.887,1136.857,0,0
