Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g)
Peaks,,0,0,0,0,-0.00154374999999381,-0.174632352940476,0,0,0,0,-0.00156126456034791,0,0,-0,-0,0,0,-0,-0,0,0,0,100
peak HRR (kW/m²),0,2,0,0,0,-0.00162883333332372,-0.184257164403135,0,0,0,0,-0.00142970804336289,0,0,-0,-0,0,0,-0,0,0,0,0,100.003283
peak EHC (MJ/kg),0,4,-0,0,0,-0.00133991666667003,-0.151574283559958,0,0,0,0,-0.00114027676080915,0,0,-0,-0,0,0,0,0,-0,0,0,100.006266
peak MLR (g/s),8.2522404832912E+38,6,0,0,0,-0.00140666666666907,-0.159125188537225,0,0,0,0,-0.00101748484666845,0,0,-0,-0,0,0,-0,-0,0,0,0,100.008778
peak SEA (m²/kg),0,8,0,0,0,-0.00130324999999824,-0.147426470588036,0,0,0,0,-0.00127183761856255,0,0,-0,-0,0,0,0,0,0,0,0,100.011802
peak COY (kg/kg),0,10,-0,0,0,-0.000796875000000696,-0.0901442307693095,0,0,0,0,-0.0013156907993423,0,0,-0,-0,0,0,0,0,-0,0,0,100.013811
peak CO2Y (kg/kg),0,12,0,0,0,-0.000630249999996835,-0.0712952488684202,0,0,0,0,-0.00127183761856255,0,0,-0,-0,0,0,0,-0,0,0,0,100.015252
,,14,0,0,0,-0.00245945833333513,-0.278219268476824,0,0,0,0,-0.000921004279700503,0,0,-0,-0,0,0,0,0,0,0,0,100.017253
Time To Peaks,,16,-0,0,0,0.242353291666663,27.4155307315229,0,0,0,0,-0.0013332320102665,0,0,-0,-0,0,0,0,0,-0,0,0,100.024212
t peak HRR (s),36,18,0,0,0,-1.71502108333333,-194.006909879336,0,0,0,0,-0.00121044279715736,0,0,-0,-0,0,0,0,-0,0,0,0,100.026464
t peak EHC (s),36,20,0,0,0,-1.7149045,-193.993721719457,0,0,0,0,-0.00136831432688951,0,0,-0,-0,0,0,0,0,0,0,0,105.905419
t peak MLR (s),340,22,-0,0,0,0.244779833333328,27.6900263951728,0,0,0,0,-0.00161388661470321,0,0,-0,-0,0,0,0,-0,-0,0,0,105.906403
t peak SEA (s),36,24,0,0,0,0.0887389999999962,10.0383484162892,0,0,0,0,-0.00172789998287797,0,0,-0,-0,0,0,-0,-0,0,0,0,105.906016
t peak COY (s),36,26,-0,0,0,-0.600812958333332,-67.9652667797886,0,0,0,0,-0.0017454403695307,0,0,-0,-0,0,0,-0,0,-0,0,0,105.905956
t peak CO2Y (s),36,28,-0,0,0,-0.754113833333331,-85.3069947209651,0,0,0,0,-0.0018419118691803,0,0,-0,-0,0,0,0,0,-0,0,0,108.031579
,,30,0,0,0,-0.0453678333333277,-5.13210784313662,0,0,0,0,-0.0018243716754316,0,0,-0,-0,0,0,-0,-0,0,0,0,108.491396
Test Results (between 35 and 346 s),,32,-0,0,0,0.0162140000000009,1.8341628959277,0,0,0,0,-0.00195592227364909,0,0,-0,-0,0,0,0,0,-0,0,0,108.490804
mean HRR (kW/m²),0,34,-0,0,0,0.0208900416666644,2.36312688536928,0,0,0,0,-0.00232425345352621,0,0,-0,-0,0,0,0,0,-0,0,0,108.490928
mean EHC (MJ/kg),0,36,0,0,0,0.0258523749999953,2.92447680995422,0,0,0,0,-0.00286795216800352,0,0,-0,-0,0,0,0,-0,0,0,0,108.416971
mean MLR (g/s),-3.32751632390774E+35,38,-0,0,0,0.00167133333333129,0.189064856711684,0,0,0,0,-0.00269256916791824,0,0,-0,-0,0,0,0,0,-0,0,0,108.402093
mean SEA (m²/kg),0,40,-0,0,0,-9.958333328323E-06,-0.00112650829505916,0,0,0,0,-0.00260487635290107,0,0,-0,-0,0,0,-0,-0,-0,0,0,108.400581
mean COY (kg/kg),0,42,0,0,0,0.000365374999998262,0.041332013574464,0,0,0,0,-0.00259610702318392,0,0,-0,-0,0,0,-0,-0,0,0,0,108.39992
mean CO2Y (kg/kg),0,44,-0,0,0,-0.00497912500000197,-0.563249434389363,0,0,0,0,-0.0025434908607706,0,0,-0,-0,0,0,0,0,-0,0,0,108.399348
Total heat release (MJ/m²),0,46,0,0,0,0.0365131666666715,4.13044871794927,0,0,0,0,-0.00210501056673014,0,0,-0,-0,0,0,0,-0,-0,0,0,108.400998
Total oxygen consumed (g),0,48,0,0,0,-0.00402808333333541,-0.455665535445182,0,0,0,0,-0.00198223215655374,0,0,-0,-0,0,0,-0,-0,0,0,0,108.289706
Mass lost (g),0.298181,50,-0,0,0,-0.00394350000000128,-0.446097285068018,0,0,0,0,-0.00186822209404085,0,0,-0,-0,0,0,0,0,-0,0,0,108.3991
Average specific MLR (g/s·m²),0.329081779053084,52,0,0,0,0.0367979166666643,4.16266025640999,0,0,0,0,-0.0019471522951432,0,0,-0,-0,0,0,0,-0,-0,0,0,108.28749
