General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.9368671,112.489578,0.00258263,0.04335042,0.998684,1.00087,46.508652,-0.0008,101.3133,0,271.344,334.804,339.125,1149.482,0,0
Standard used,ISO 5660-1,1,20.94386081,109.672212,0.00267011,0.04616525,0.999771,1.000935,46.508652,-0.001,101.3114,0,271.357,334.785,339.104,1149.508,0,0
Date of test,23/07/2018,2,20.95085452,106.854845,0.00275759,0.04898009,1.000857,1.001,46.508652,-0.0013,101.3094,0,271.37,334.766,339.082,1149.533,0,0
Time of test,12:33,3,20.9533998,106.344908,0.00299972,0.04920766,1.001193,1.001012,46.508652,0.0007,101.3096,0,271.364,334.773,339.072,1149.54,0,0
Heat flux (kW/m²),50,4,20.952814,108.020396,0.00287615,0.04744914,1.001457,1.001065,46.508652,0.0001,101.3119,0,271.373,334.739,339.03,1149.568,0,0
Nominal duct flow rate (l/s),24,5,20.94962908,105.34164,0.00266622,0.04650471,1.001033,1.001132,46.508652,0.0019,101.3107,0,271.356,334.697,338.954,1149.56,0,0
Sampling interval (s),1,6,20.94739176,113.551417,0.00248455,0.04640828,1.000686,1.001035,46.508652,-0.0013,101.3096,0,271.368,334.581,338.682,1149.995,0,0
Separation (mm),60,7,20.95026724,112.259452,0.00247337,0.04754585,1.000496,1.001076,46.508652,-0.0001,101.3096,0,271.361,334.419,338.477,1149.684,0,0
Orientation,Horizontal,8,20.95392964,108.187276,0.00260971,0.04978776,1.00083,1.001091,46.508652,0.0017,101.3126,0,271.359,334.369,338.545,1149.619,0,0
Edge frame?,Yes,9,20.95547037,108.722187,0.00281528,0.04930739,1.00134,1.001123,46.508652,0.0008,101.3101,0,271.364,334.401,338.605,1149.689,0,0
Grid?,No,10,20.95439669,105.933934,0.0026647,0.04725946,1.001001,1.001109,46.508652,-0.0009,101.3096,0,271.363,334.432,338.662,1149.738,0,0
Non-scrubbed?,Yes,11,20.95040107,108.206935,0.00244291,0.04657327,1.001879,1.001082,46.508652,-0.0007,101.3132,0,271.37,334.435,338.63,1149.72,0,0
