General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.9613482,114.108946,0.0024291,0.04716336,1.007925,1.007645,-0.529069,0.001,100.9958,0,269.521,309.065,310.088,839.098,0,0
Standard used,ISO 5660-1,1,20.95329753,115.269907,0.0021002,0.0460634,1.008047,1.007875,-0.529069,0.0005,100.9955,0,269.544,309.049,310.117,839.088,0,0
Date of test,30/01/2019,2,20.94524687,116.430867,0.00177129,0.04496343,1.008169,1.008105,-0.529069,0,100.9952,0,269.567,309.033,310.146,839.078,0,0
Time of test,14:50,3,20.9462803,112.436066,0.00180189,0.04617045,1.008813,1.008539,-0.529069,0.0001,100.9968,0,269.583,309.057,310.157,839.12,0,0
Heat flux (kW/m²),20,4,20.95016342,114.519905,0.00190011,0.04809299,1.00802,1.008978,-0.529069,-0.0001,100.9955,0,269.566,309.062,310.155,842.029,0,0
Nominal duct flow rate (l/s),24,5,20.95220593,115.569382,0.00210152,0.04861027,1.009064,1.009493,-0.529069,0.0001,100.999,0,269.55,309.052,310.165,842.02,0,0
Sampling interval (s),1,6,20.94991409,113.287288,0.00198379,0.04654604,1.010391,1.009797,-0.529069,0.0004,100.9975,0,269.54,309.068,310.143,842.049,0,0
Separation (mm),25,7,20.9466401,116.467514,0.00170724,0.04502446,1.011588,1.010261,-0.529069,0.0002,100.9971,0,269.544,309.056,310.144,839.482,0,0
Orientation,Vertical,8,20.94427076,112.911264,0.00158526,0.04474142,1.010995,1.0108,-0.529069,0,100.9979,0,269.556,309.082,310.172,838.958,0,0
Edge frame?,Yes,9,20.94840028,113.347765,0.00160989,0.0467046,1.011605,1.011263,-0.529069,0.0002,100.9962,0,269.553,309.104,310.177,838.972,0,0
Grid?,No,10,20.9527456,113.752342,0.00176463,0.04840965,1.011544,1.011571,-0.529069,0,100.9942,0,269.565,309.097,310.184,839.051,0,0
Non-scrubbed?,Yes,11,20.95281305,115.886439,0.00196775,0.04845945,1.011748,1.011983,-0.529069,0.0002,100.9938,0,269.563,309.062,310.154,839.075,0,0
Substrate used? {Y/N},No,12,20.95120559,117.607846,0.00178746,0.0457366,1.012354,1.012314,-0.529069,0.0002,100.9916,0,269.556,309.018,310.095,839.071,0,0
Substrate,none,13,20.94533344,114.311582,0.00156329,0.04409765,1.012668,1.012606,-0.529069,-0.0001,100.9901,0,269.549,308.987,310.076,839.049,0,0
Additional specimen preparation details,,14,20.94257377,114.755693,0.00148562,0.04423147,1.013754,1.01293,-0.529069,-0.0001,100.9893,0,269.556,308.988,310.064,841.1,0,0
,,15,20.94492814,115.70174,0.00146785,0.04611316,1.013706,1.013249,-0.529069,0,100.9887,0,269.55,309.007,310.094,839.409,0,0
Specimen,,16,20.94746354,114.225011,0.00166006,0.04856896,1.014436,1.013577,-0.529069,-0.0001,100.9902,0,269.554,309.046,310.135,839.012,0,0
Sample description,Smoldering Balsa No4 20 kWm2,17,20.94708926,115.010605,0.00182317,0.04765392,1.014433,1.013872,-0.529069,0.0002,100.993,0,269.555,309.056,310.174,839.044,0,0
Material name/ID,Smoldering Balsa No4 20 kWm2,18,20.9448013,115.087807,0.00171037,0.04589846,1.014815,1.014087,-0.529069,0,100.9946,0,269.541,309.083,310.191,839.103,0,0
Specimen number,,19,20.93933589,114.028931,0.00154327,0.04477097,1.014198,1.014119,-0.529069,-0.0002,100.994,0,269.538,309.121,310.228,839.118,0,0
E (MJ/kg),13.1,20,20.9373461,115.592244,0.00148915,0.04552788,1.015448,1.014289,-0.529069,0,100.9927,0,269.541,309.132,310.254,839.2,0,0
