General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.94477329,108.319069,0.00038172,0.04263597,1.001027,0.999161,59.83,-0.0042,101.4641,0,270.925,334.088,337.662,1133.233,0,0
Standard used,ISO 5660-1,1,20.94634059,106.169871,0.00043269,0.04506883,0.999696,0.999188,59.83,-0.0014,101.4621,0,270.932,334.117,337.738,1133.29,0,0
Date of test,10/07/2018,2,20.9479079,104.020672,0.00048366,0.04750168,0.998365,0.999215,59.83,0.0015,101.4601,0,270.939,334.146,337.814,1133.346,0,0
Time of test,10:54,3,20.95080156,108.107949,0.00068721,0.04946759,1.000124,0.999242,59.83,0.0003,101.4582,0,270.926,334.169,337.855,1136.19,0,0
Heat flux (kW/m²),50,4,20.95244259,109.081008,0.00088027,0.04920693,0.999552,0.999126,59.83,0.0015,101.4605,0,270.923,334.222,337.911,1134.1,0,0
Nominal duct flow rate (l/s),24,5,20.95138665,105.971275,0.00080815,0.04684347,0.99847,0.999121,59.83,0.0014,101.4608,0,270.923,334.238,337.956,1133.512,0,0
Sampling interval (s),1,6,20.94736942,107.390311,0.00067729,0.04571084,0.99846,0.999015,59.83,0,101.4613,0,270.937,334.221,337.922,1133.588,0,0
Separation (mm),60,7,20.94497146,107.662354,0.00057008,0.04585428,0.999554,0.998903,59.83,-0.0023,101.4601,0,270.951,334.194,337.843,1133.68,0,0
Orientation,Horizontal,8,20.94820819,106.710848,0.00060949,0.04846134,0.99902,0.998829,59.83,-0.0006,101.4587,0,270.942,334.143,337.81,1133.771,0,0
Edge frame?,Yes,9,20.95148071,108.429096,0.00070521,0.05007275,0.999028,0.998773,59.83,-0.0022,101.4593,0,270.94,334.139,337.816,1133.827,0,0
Grid?,No,10,20.95254647,107.470371,0.00082554,0.04842228,0.999747,0.998677,59.83,-0.0012,101.4581,0,270.942,334.111,337.763,1133.898,0,0
Non-scrubbed?,Yes,11,20.95081116,110.817356,0.00062278,0.04649501,0.998916,0.998666,59.83,-0.0011,101.4607,0,270.943,334.042,337.68,1133.961,0,0
Substrate used? {Y/N},No,12,20.94644003,108.452655,0.00031823,0.04565545,0.9987,0.998669,59.83,0.0013,101.4596,0,270.927,334.013,337.638,1135.388,0,0
Substrate,none,13,20.94523475,108.472787,0.00014748,0.04615591,0.999145,0.998636,59.83,0.0018,101.461,0,270.91,333.986,337.634,1134.404,0,0
Additional specimen preparation details,,14,20.94991253,107.689653,0.00015873,0.0480226,0.998609,0.998639,59.83,0.0002,101.4604,0,270.92,334.015,337.673,1134.126,0,0
,,15,20.95364614,107.480202,0.00033054,0.04995984,0.999752,0.998652,59.83,-0.0036,101.4598,0,270.941,334.046,337.71,1134.202,0,0
Specimen,,16,20.95438827,105.403119,0.0004229,0.04889899,0.999617,0.998633,59.83,-0.003,101.4598,0,270.94,334.062,337.733,1134.26,0,0
Sample description,Nitilo+G_2,17,20.95218102,106.365744,0.00033872,0.04724297,0.997751,0.998661,59.83,-0.004,101.4595,0,270.945,334.055,337.704,1134.326,0,0
Material name/ID,Nitilo+G_2,18,20.94761622,107.201177,0.00015497,0.04642729,0.998875,0.998614,59.83,-0.0049,101.4595,0,270.939,334.064,337.701,1134.37,0,0
Specimen number,,19,20.94787879,106.553862,9.455E-05,0.04724086,0.998171,0.998536,59.83,-0.0009,101.4611,0,270.946,334.067,337.683,1134.472,0,0
E (MJ/kg),13.1,20,20.95294966,110.642055,0.00018535,0.04936401,0.997715,0.998586,59.83,0.0011,101.4614,0,270.962,334.056,337.66,1134.594,0,0
Initial mass (g),60.307,21,20.95603809,113.914083,0.00039064,0.04997693,0.998159,0.99859,59.83,0.0002,101.4596,0,270.946,334.038,337.716,1134.663,0,0
