General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95944986,107.046157,0.00201692,0.04363294,0.996879,0.998658,83.865004,-0.0022,101.6076,0,269.918,329.458,332.826,1150.28,0,0
Standard used,ISO 5660-1,1,20.95417198,106.846507,0.00184085,0.04414113,0.997418,0.998481,83.865004,-0.0015,101.6076,0,269.921,329.436,332.861,1150.276,0,0
Date of test,17/09/2019,2,20.94889411,106.646857,0.00166478,0.04464933,0.997957,0.998304,83.865004,-0.0008,101.6076,0,269.924,329.414,332.896,1150.272,0,0
Time of test,11:48,3,20.95129389,107.408068,0.00176432,0.04663376,0.997026,0.998139,83.865004,-0.0012,101.6081,0,269.943,329.445,332.913,1147.57,0,0
Heat flux (kW/m²),50,4,20.95518833,106.217627,0.00202987,0.04788398,0.99745,0.997978,83.865004,0.0011,101.6092,0,269.935,329.439,332.876,1147.369,0,0
Nominal duct flow rate (l/s),24,5,20.95729845,103.540853,0.00218999,0.04669801,0.997251,0.997779,83.865004,0.0009,101.6119,0,269.919,329.414,332.893,1149.593,0,0
Sampling interval (s),1,6,20.9544583,106.998163,0.00207855,0.04472388,0.997712,0.997659,83.865004,0.0016,101.6088,0,269.926,329.449,332.887,1150.23,0,0
Separation (mm),60,7,20.94952637,106.278612,0.00198267,0.04399918,0.996295,0.997626,83.865004,0.0004,101.6076,0,269.926,329.39,332.826,1150.231,0,0
Orientation,Horizontal,8,20.94846979,109.516625,0.0019463,0.04472285,0.996552,0.997546,83.865004,-0.0008,101.6083,0,269.931,329.384,332.846,1150.257,0,0
Edge frame?,Yes,9,20.95201428,108.215601,0.00195113,0.04621837,0.996841,0.997449,83.865004,-0.0003,101.6088,0,269.93,329.397,332.895,1150.27,0,0
Grid?,No,10,20.9549386,106.304868,0.00213805,0.04785421,0.996156,0.997404,83.865004,0.0037,101.6091,0,269.931,329.435,332.901,1150.292,0,0
Non-scrubbed?,Yes,11,20.95552362,103.928029,0.00211102,0.04604872,0.995911,0.997193,83.865004,0.0014,101.6076,0,269.919,329.391,332.857,1150.313,0,0
