General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95728288,111.022232,0.00177451,0.05261167,1.000834,0.997234,53.638147,0.0003,101.7885,0,269.171,324.15,328.778,1135.294,0,0
Standard used,ISO 5660-1,1,20.95407954,107.446942,0.00151891,0.04916574,0.99864,0.996939,53.638147,0.0001,101.7865,0,269.171,324.182,328.819,1135.284,0,0
Date of test,01/03/2019,2,20.9508762,103.871652,0.00126332,0.04571981,0.996445,0.996644,53.638147,0,101.7846,0,269.171,324.214,328.86,1135.274,0,0
Time of test,11:14,3,20.9462995,105.965966,0.00101713,0.04472287,0.996038,0.996315,53.638147,-0.0001,101.7858,0,269.179,324.228,328.878,1135.245,0,0
Heat flux (kW/m²),50,4,20.94727228,107.268118,0.00089257,0.04563579,0.994504,0.995909,53.638147,-0.0002,101.7854,0,269.165,324.251,328.869,1135.255,0,0
Nominal duct flow rate (l/s),24,5,20.95102187,106.978287,0.00088293,0.04736131,0.993851,0.995487,53.638147,-0.0002,101.7868,0,269.189,324.253,328.872,1135.246,0,0
Sampling interval (s),1,6,20.95336753,106.560998,0.00103518,0.04820348,0.99518,0.995181,53.638147,-0.0003,101.7874,0,269.175,324.268,328.939,1135.272,0,0
Separation (mm),60,7,20.95309454,106.236596,0.00103328,0.04671452,0.995426,0.994889,53.638147,-0.0001,101.7859,0,269.177,324.305,328.951,1135.308,0,0
Orientation,Horizontal,8,20.9488973,105.674581,0.00082139,0.04509832,0.994598,0.994606,53.638147,0,101.7861,0,269.172,324.312,328.926,1135.306,0,0
Edge frame?,Yes,9,20.94558828,112.765702,0.00074969,0.04465916,0.994079,0.994164,53.638147,-0.0002,101.787,0,269.169,324.252,328.864,1135.315,0,0
Grid?,No,10,20.94777381,109.383629,0.00079217,0.04580779,0.993919,0.993882,53.638147,-0.0005,101.7858,0,269.174,324.2,328.791,1138.118,0,0
Non-scrubbed?,Yes,11,20.95162382,108.201553,0.00107149,0.04839542,0.993025,0.993528,53.638147,-0.0002,101.7855,0,269.186,324.163,328.776,1135.924,0,0
Substrate used? {Y/N},No,12,20.9535203,106.120965,0.00136991,0.04824032,0.993579,0.993095,53.638147,-0.0004,101.7861,0,269.177,324.195,328.793,1135.3,0,0
Substrate,none,13,20.95290079,108.264693,0.00141199,0.04626009,0.991823,0.992689,53.638147,-0.0003,101.7875,0,269.18,324.238,328.836,1135.3,0,0
Additional specimen preparation details,,14,20.94929917,105.543839,0.00125316,0.04491252,0.992307,0.992295,53.638147,-0.0002,101.7876,0,269.192,324.266,328.931,1135.325,0,0
,,15,20.94435539,104.76434,0.00119767,0.04473245,0.990966,0.991939,53.638147,0.0002,101.7872,0,269.179,324.315,328.96,1135.309,0,0
Specimen,,16,20.94671886,106.054228,0.00122357,0.04626904,0.991276,0.991402,53.638147,-0.0002,101.789,0,269.199,324.312,328.936,1135.286,0,0
