General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95056252,103.596121,0.00254952,0.05549316,0.999563,0.998764,-0.74033,-0.0025,101.3147,0,271.36,334.779,339.016,1156.02,0,0
Standard used,ISO 5660-1,1,20.95203299,105.787847,0.0027018,0.05313121,0.998589,0.998647,-0.74033,-0.0002,101.3166,0,271.34,334.766,339.01,1152.528,0,0
Date of test,23/07/2018,2,20.95350347,107.979573,0.00285408,0.05076926,0.997615,0.99853,-0.74033,0.0021,101.3185,0,271.321,334.753,339.004,1149.037,0,0
Time of test,12:18,3,20.95136781,108.386068,0.00273854,0.04841856,0.997804,0.998347,-0.74033,0.0006,101.3208,0,271.346,334.746,338.959,1148.395,0,0
Heat flux (kW/m²),50,4,20.9468088,106.450238,0.00263103,0.04780082,0.997818,0.998127,-0.74033,0.0008,101.3191,0,271.346,334.709,338.913,1148.339,0,0
Nominal duct flow rate (l/s),24,5,20.94648493,109.842825,0.00263051,0.04864677,0.997745,0.997946,-0.74033,0.0004,101.318,0,271.358,334.652,338.789,1148.345,0,0
Sampling interval (s),1,6,20.9497768,112.182847,0.00278253,0.05016271,0.997176,0.997665,-0.74033,0.0009,101.3187,0,271.363,334.565,338.644,1148.317,0,0
Separation (mm),60,7,20.95196225,108.569493,0.0029514,0.05084135,0.996369,0.997416,-0.74033,-0.0007,101.3211,0,271.377,334.51,338.636,1148.275,0,0
Orientation,Horizontal,8,20.95318282,104.636283,0.00294814,0.04870627,0.996816,0.997211,-0.74033,0.0016,101.3188,0,271.345,334.518,338.684,1148.224,0,0
Edge frame?,Yes,9,20.95027723,108.338435,0.00277965,0.04727218,0.996464,0.996903,-0.74033,0.0035,101.3199,0,271.364,334.571,338.751,1148.213,0,0
Grid?,No,10,20.94785164,104.841057,0.00264242,0.04693442,0.996375,0.996661,-0.74033,-0.0011,101.3199,0,271.368,334.599,338.755,1148.176,0,0
Non-scrubbed?,Yes,11,20.95068969,106.264952,0.00260215,0.04875469,0.997149,0.996859,-0.74033,0.0014,101.3228,0,271.369,334.561,338.748,1148.129,0,0
Substrate used? {Y/N},No,12,20.95431724,107.902934,0.00268099,0.05054806,0.997208,0.99717,-0.74033,0.0007,101.3216,0,271.363,334.576,338.773,1148.114,0,0
Substrate,none,13,20.95762093,112.147231,0.00291197,0.05055108,0.998151,0.997693,-0.74033,-0.0003,101.3188,0,271.348,334.602,338.786,1148.129,0,0
Additional specimen preparation details,,14,20.95722837,105.49318,0.00281539,0.04897789,0.996946,0.997904,-0.74033,0.0002,101.3193,0,271.358,334.599,338.752,1148.143,0,0
,,15,20.95339955,106.990617,0.00262043,0.04672005,0.998495,0.997928,-0.74033,0.0029,101.3201,0,271.372,334.574,338.76,1148.18,0,0
Specimen,,16,20.9503388,107.209966,0.0024093,0.0465824,0.997593,0.997614,-0.74033,0.0019,101.3208,0,271.354,334.585,338.794,1148.214,0,0
Sample description,Nitrilo+NaOH_2nd,17,20.9534408,108.683707,0.00233742,0.04781922,0.997471,0.997404,-0.74033,0.0029,101.3174,0,271.357,334.606,338.817,1148.246,0,0
Material name/ID,Nitrilo+NaOH_2nd,18,20.95685299,106.423882,0.00243189,0.05000772,0.996516,0.996938,-0.74033,0.0014,101.319,0,271.359,334.616,338.812,1148.29,0,0
Specimen number,,19,20.95810264,106.861527,0.00256203,0.0492231,0.996634,0.99641,-0.74033,0.0025,101.3196,0,271.362,334.624,338.847,1148.322,0,0
E (MJ/kg),13.1,20,20.95671042,106.062351,0.00247453,0.04723321,0.997614,0.996002,-0.74033,0.0006,101.3187,0,271.374,334.666,338.855,1148.357,0,0
Initial mass (g),38.086,21,20.95089194,112.464956,0.00238458,0.04688682,0.99613,0.995591,-0.74033,0.0021,101.3205,0,271.362,334.694,338.88,1148.387,0,0
Thickness (mm),10,22,20.94865557,106.700741,0.00237094,0.04757235,0.994238,0.995105,-0.74033,0.0001,101.3206,0,271.361,334.704,338.922,1152.137,0,0
Surface area (cm²),88.4,23,20.95056884,106.360424,0.00250287,0.04889331,0.994033,0.994657,-0.74033,-0.0012,101.3211,0,271.362,334.733,338.896,1153.821,0,0
Sponsor,,24,20.95328207,115.175548,0.00275841,0.0508342,0.993798,0.994113,-0.74033,0.0015,101.3188,0,271.368,334.698,338.855,1153.882,0,0
Manufacturer,,25,20.95413222,110.806188,0.00294571,0.05018074,0.993531,0.993653,-0.74033,0.0008,101.3185,0,271.35,334.673,338.85,1149.504,0,0
Test start time (s),110,26,20.95235557,109.231038,0.00285816,0.04798711,0.992917,0.993141,-0.74033,-0.0012,101.3183,0,271.365,334.664,338.854,1148.59,0,0
Time to ignition (s),,27,20.94773109,110.910204,0.00268938,0.04698123,0.99162,0.992548,-0.74033,0.0005,101.321,0,271.355,334.676,338.862,1148.628,0,0
Time to flameout (s),,28,20.947158,107.518102,0.00267769,0.04750711,0.991626,0.991929,-0.74033,0.0018,101.3188,0,271.366,334.669,338.88,1148.639,0,0
End of test criterion,ISO 5660-1:2002,29,20.95243521,106.563032,0.00281493,0.0494501,0.990909,0.991275,-0.74033,-0.0013,101.3174,0,271.371,334.669,338.857,1148.665,0,0
User EOT time (s),,30,20.95559949,108.645862,0.00310271,0.05088659,0.989848,0.990604,-0.74033,-0.0001,101.3203,0,271.355,334.643,338.833,1151.593,0,0
MLR EOT mass (g/m²),150,31,20.95590997,103.578435,0.00323431,0.04883919,0.990158,0.990197,-0.74033,-0.0009,101.3203,0,271.374,334.636,338.811,1149.388,0,0
MLR EOT time period (s),60,32,20.95208188,108.222689,0.00312292,0.04735544,0.990672,0.990326,-0.74033,-0.0028,101.3183,0,271.368,334.61,338.763,1148.795,0,0
Truncate graphs at EOT?,No,33,20.94828357,109.728242,0.00302683,0.04698825,0.990497,0.990521,-0.74033,-0.0006,101.3193,0,271.355,334.584,338.738,1148.881,0,0
Smooth data?,No,34,20.94938491,107.827821,0.00295851,0.04799394,0.990238,0.990708,-0.74033,0.0001,101.3223,0,271.345,334.566,338.719,1148.955,0,0
Correct O2 for pressure?,No,35,20.95342518,108.756356,0.00299249,0.04979804,0.990175,0.990935,-0.74033,-0.0004,101.3223,0,271.368,334.568,338.734,1149.034,0,0
,,36,20.95579659,106.491771,0.00318853,0.05044828,0.990368,0.991096,-0.74033,0,101.3203,0,271.359,334.572,338.754,1149.142,0,0
Specifications: apparatus,,37,20.95568831,106.462548,0.00315825,0.04928408,0.991096,0.991318,-0.74033,0,101.3223,0,271.378,334.591,338.767,1149.294,0,0
C-factor (SI units),0.045985,38,20.95264906,105.648705,0.00285705,0.04745091,0.990648,0.991599,-0.74033,0.0022,101.3239,0,271.361,334.621,338.821,1149.475,0,0
OD correction factor,1,39,20.94844629,108.310707,0.00259684,0.04630485,0.991831,0.991824,-0.74033,-0.0006,101.322,0,271.362,334.626,338.882,1152.481,0,0
Duct diameter (m),0.114,40,20.95038322,107.822405,0.00248987,0.04784836,0.991963,0.992046,-0.74033,0.0004,101.3194,0,271.36,334.639,338.885,1150.349,0,0
O2 delay time (s),0,41,20.95388082,105.034375,0.00264156,0.05044182,0.992164,0.992322,-0.74033,0.0033,101.32,0,271.359,334.665,338.927,1149.888,0,0
CO2 delay time (s),0,42,20.95753762,107.303514,0.00285549,0.0503254,0.991778,0.992547,-0.74033,0.0011,101.3208,0,271.359,334.689,338.978,1149.999,0,0
CO delay time (s),0,43,20.95749652,107.996352,0.0027675,0.04779667,0.992188,0.992672,-0.74033,0.0008,101.3211,0,271.362,334.747,339.026,1148.146,0,0
,,44,20.95414791,108.9281,0.00255336,0.04666189,0.993041,0.992875,-0.74033,0.0048,101.3209,0,271.36,334.782,339.032,1149.698,0,0
Laboratory,,45,20.95036882,106.285418,0.00234921,0.04624586,0.993029,0.993132,-0.74033,0.0009,101.3193,0,271.352,334.769,339.057,1149.846,0,0
Laboratory name,FTT Cone - NIST,46,20.95305233,106.100193,0.00225833,0.04754768,0.991796,0.993277,-0.74033,0.0007,101.3219,0,271.352,334.786,339.097,1150.082,0,0
Operator,Shields,47,20.95659333,106.39583,0.00237645,0.05056028,0.993505,0.993461,-0.74033,0.0005,101.322,0,271.347,334.821,339.14,1150.079,0,0
