General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.9532284,149.498465,0.00029112,0.04201504,1.000097,1.000128,-1.545536,0.0017,70.0865,0,267.529,325.148,328.453,1058.943,0,0
Standard used,ASTM E 1354,1,20.94889682,141.547965,0.00010207,0.04237596,1.000091,1.000104,-1.545536,0.0003,70.0919,0,267.509,325.132,328.446,1058.917,0,0
Date of test,26/06/2024,2,20.94456525,133.597465,-8.699E-05,0.04273688,1.000086,1.00008,-1.545536,-0.0011,70.0972,0,267.489,325.116,328.439,1058.891,0,0
Time of test,14:12,3,20.9472214,126.892163,-9.942E-05,0.04365493,1.000084,1.000086,-1.545536,0.0013,70.1005,0,267.498,325.175,328.523,1058.892,0,0
Heat flux (kW/m²),50,4,20.95032599,129.809985,0.0001416,0.04583563,1.000069,1.000079,-1.545536,-0.0002,70.1042,0,267.489,325.228,328.559,1058.891,0,0
Nominal duct flow rate (l/s),24,5,20.95112939,136.787558,0.00029336,0.04540975,1.00007,1.000078,-1.545536,0.001,70.0966,0,267.498,325.179,328.477,1058.874,0,0
Sampling interval (s),1,6,20.94926372,131.007491,0.00015483,0.04326628,1.000086,1.000076,-1.545536,0.0006,70.0943,0,267.486,325.111,328.362,1058.842,0,0
Separation (mm),25,7,20.94481202,130.623724,-7.8E-06,0.04228396,1.00005,1.000046,-1.545536,0.0014,70.0774,0,267.484,325.067,328.369,1058.797,0,0
Orientation,Horizontal,8,20.94425369,135.398087,-0.0001032,0.04271375,1.000043,1.000053,-1.545536,0.0015,70.0867,0,267.472,325.129,328.456,1065.007,0,0
Edge frame?,Yes,9,20.94786316,134.071414,-4.738E-05,0.04475377,1.000034,1.000043,-1.545536,0.0024,70.0871,0,267.487,325.173,328.499,1064.049,0,0
Grid?,No,10,20.95057088,134.334302,0.00020442,0.04596939,1.000039,1.000054,-1.545536,-0.0014,70.0863,0,267.492,325.21,328.53,1063.461,0,0
Non-scrubbed?,Yes,11,20.95107369,136.125883,0.00025712,0.0443447,1.000012,1.00001,-1.545536,-0.0042,70.0821,0,267.5,325.218,328.529,1059.818,0,0
Substrate used? {Y/N},No,12,20.94895333,138.527077,0.00010276,0.04282575,1.000015,1.000012,-1.545536,-0.0016,70.0513,0,267.494,325.227,328.518,1058.87,0,0
Substrate,none,13,20.94439034,127.190613,-6.621E-05,0.04226504,1.000013,1.000002,-1.545536,-0.0014,70.0561,0,267.49,325.21,328.517,1058.897,0,0
Additional specimen preparation details,kaowool blankets. no retainer frame. al foil pan. Stored in dry area,14,20.94462189,132.53587,-0.00011856,0.04288904,0.999993,0.999968,-1.545536,-0.0006,70.0279,0,267.486,325.245,328.563,1058.904,0,0
