Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g)
Peaks,,0,1.32173551015488,0.000583169617300293,0.0100969281447162,20.0355806666667,2266.46840120664,-3.74552992479336E-07,3.15079212470993E-05,0,26.3758200270936,0.00802470052096165,24.9477117687898,25.2093916527563,0.000202297818328999,0.0228843685892533,0,0,-7.50438669476115E-06,0.00063127949778524,0.00109295246006223,0,0,38.187
peak HRR (kW/m²),183.10637897154,1,-0.886048478411187,-0.0128745789846929,0.621136345391945,0.608382499999996,68.8215497737552,8.173661780504E-05,0.00286646581556214,0.000660867755077441,26.2705650731553,0.0150528113947354,24.8464450091421,25.1041797270227,0.000377888482650413,0.0427475659106802,0.000290093150489706,0.0328159672499668,4.97271278817744E-05,0.00174390763903623,8.54882933098935E-05,0.000589220376686061,0.660867755077441,29.793475
peak EHC (MJ/kg),79.8058176910485,2,-0.820464756058724,0,0,-1.75627066666667,-198.673152337858,0,0,0.000660867755077441,25.7112959202518,0.00279432706746566,24.3149457241805,24.5684311554402,6.86522321828131E-05,0.0077660896134404,0.000513363507906319,0.0580727950120271,0.000105582265967553,0.001588939040889,0.000113523126004929,0.000688726086343472,0.33043387753872,31.28272
peak MLR (g/s),0.450907666666667,3,0.230055844674751,0,0,-0.339469249999999,-38.4014988687781,0,0,0.000775895677414816,26.2236255236429,-0.00643012840793176,24.797892072683,25.057393759288,-0.00016112225944033,-0.0182264999366889,0.000547689623997726,0.0619558398187472,9.31164669733602E-05,0.00120959692281927,0.000626513977622878,0.00105874463815738,0.258631892471605,31.671124
peak SEA (m²/kg),2421.37272300897,4,3.31156949239501,0,0,-0.472259,-53.422963800905,0,0,0.0025467083459497,26.1472480242042,0.004578854074686,24.7249267550755,24.9833024654672,0.000114394896293117,0.0129405991281807,0.000604887072144284,0.0684261393828376,7.13035016677029E-05,0.000933438968897117,0.00224797349983547,0.00249598837688655,0.636677086487424,32.132944
peak COY (kg/kg),44.2572668466001,5,4.65621491757417,0,0,-0.118511333333332,-13.4062594268475,0,0,0.00653060055093429,26.0694294709982,0.0146147923121676,24.6500864482776,24.9043716127444,0.000363972218785301,0.0411733279168893,0.000844070629683494,0.0954831029053726,6.50607080397521E-05,0.00102468205581964,0.00298870838532357,0.00511432931946607,1.30612011018686,32.521636
peak CO2Y (kg/kg),632.094411815447,6,2.60414739594748,0.63346692019777,9.68253659342074,0.0363407499999978,4.1109445701355,0.00209041889723313,0.047723855940062,0.0101607817076951,26.1354186415648,0.0140964554298686,24.7074508793743,24.9616397155958,0.000351870641707334,0.0398043712338613,0.00120199205992981,0.135971952480748,7.59673905396204E-05,0.0017343207177537,0.00198761599954579,0.00760249151190074,1.69346361794918,32.419708
,,7,1.37316422202431,0,0,-0.198795500000003,-22.4881787330321,0,0,0.012149437516681,25.8542544639541,0.00888247886322619,24.4385009893876,24.6901748792146,0.000219309956493982,0.0248088186079165,0.00148758235903047,0.168278547401637,0.000101576199258451,0.00289675853896792,0.00150353916987177,0.00934806909660952,1.73563393095443,32.5431
Time To Peaks,,8,1.18774441201588,0,0,-0.0854850833333304,-9.67025829562561,0,0,0.0134298918337011,26.3401738214909,0.00944178722576449,24.8971406675311,25.1554091426764,0.000237512020702201,0.0268678756450454,0.00171599334762856,0.194116894528118,0.000120817312306885,0.00284128718246973,0.00140721966762377,0.0108034485153573,1.67873647921264,32.740745
t peak HRR (s),40,9,2.45167620904697,0.437582759178545,8.08329165982087,0.0495285000000016,5.60277149321285,0.00109062896158813,0.038069233876237,0.0152496021442325,25.7256173515721,0.0162935102356056,24.3183647054534,24.571335776288,0.000400353310973451,0.0452888360829695,0.00203492601346639,0.230195250392125,5.40172165240192E-05,0.00188551205003926,0.00191482932270589,0.0124644730105221,1.69440023824806,32.704386
