General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.93839596,127.627316,0.00118856,0.04406469,0.989013,0.98907,-0.529069,0.0002,100.4522,0,269.046,307.795,309.074,846.121,0,0
Standard used,ISO 5660-1,1,20.94513868,117.971986,0.00144762,0.04491544,0.988922,0.989299,-0.529069,0.0002,100.4545,0,269.05,307.814,309.086,842.843,0,0
Date of test,30/01/2019,2,20.95188141,108.316655,0.00170668,0.04576619,0.98883,0.989528,-0.529069,0.0002,100.4569,0,269.054,307.834,309.098,839.564,0,0
Time of test,11:31,3,20.95207294,111.211444,0.00155023,0.04415918,0.989802,0.989918,-0.529069,0,100.4567,0,269.063,307.829,309.124,838.977,0,0
Heat flux (kW/m²),20,4,20.94866258,112.486573,0.00128814,0.04334452,0.990574,0.990411,-0.529069,0,100.4577,0,269.042,307.868,309.14,838.932,0,0
Nominal duct flow rate (l/s),24,5,20.94524702,117.653149,0.00109619,0.04339882,0.989801,0.990905,-0.529069,0.0001,100.4611,0,269.052,307.874,309.135,838.918,0,0
Sampling interval (s),5,6,20.94780433,115.33396,0.00106049,0.0447163,0.990973,0.991341,-0.529069,0,100.4592,0,269.063,307.865,309.112,838.865,0,0
Separation (mm),25,7,20.95156109,115.225311,0.00117482,0.04698921,0.991192,0.991699,-0.529069,0,100.4578,0,269.046,307.842,309.086,838.795,0,0
Orientation,Vertical,8,20.95302493,112.420655,0.00140465,0.04655132,0.991267,0.992027,-0.529069,0.0002,100.4576,0,269.055,307.821,309.063,838.782,0,0
Edge frame?,Yes,9,20.9517194,114.604961,0.00134456,0.04431883,0.992689,0.992467,-0.529069,0.0002,100.4568,0,269.047,307.829,309.061,838.787,0,0
Grid?,No,10,20.94748788,111.01081,0.00131623,0.04330758,0.992062,0.992734,-0.529069,0,100.4552,0,269.053,307.838,309.067,838.788,0,0
Non-scrubbed?,Yes,11,20.94540684,111.718811,0.0013585,0.04347291,0.993254,0.993134,-0.529069,0.0001,100.4536,0,269.025,307.846,309.074,839.118,0,0
Substrate used? {Y/N},No,12,20.94729876,110.962893,0.00157923,0.04520918,0.993236,0.993477,-0.529069,0.0002,100.4541,0,269.05,307.834,309.069,840.642,0,0
Substrate,none,13,20.95013202,111.376048,0.00191653,0.04718905,0.993513,0.993789,-0.529069,0.0003,100.4562,0,269.056,307.85,309.101,839.242,0,0
Additional specimen preparation details,,14,20.9510063,112.62916,0.00210434,0.0462829,0.994469,0.99417,-0.529069,0.0002,100.4555,0,269.067,307.857,309.112,838.922,0,0
,,15,20.94937732,110.892113,0.00195649,0.0445856,0.994582,0.994423,-0.529069,0.0001,100.4547,0,269.058,307.863,309.13,838.979,0,0
Specimen,,16,20.94345524,115.161095,0.00176426,0.04335294,0.994645,0.994896,-0.529069,0,100.4546,0,269.067,307.877,309.125,839.023,0,0
Sample description,Smoldering Balsa No1,17,20.94186014,114.628285,0.001691,0.04377648,0.996686,0.995346,-0.529069,-0.0001,100.4544,0,269.059,307.874,309.145,839.05,0,0
Material name/ID,Smoldering Balsa No1,18,20.94562328,111.813353,0.00176857,0.04601771,0.996202,0.995688,-0.529069,-0.0002,100.4549,0,269.06,307.87,309.184,839.036,0,0
Specimen number,,19,20.94853114,111.444785,0.0020245,0.04701249,0.996468,0.996024,-0.529069,0.0001,100.4558,0,269.061,307.922,309.217,839.041,0,0
E (MJ/kg),13.1,20,20.94902758,113.270569,0.00211335,0.04631914,0.996775,0.996409,-0.529069,0.0001,100.4554,0,269.053,307.949,309.203,839.055,0,0
Initial mass (g),20.69,21,20.94522078,113.582432,0.00182304,0.04398491,0.997791,0.996705,-0.529069,0.0002,100.4537,0,269.045,307.933,309.218,839.04,0,0
Thickness (mm),12.5,22,20.94005884,109.020006,0.00162108,0.04327447,0.997312,0.997161,-0.529069,0.0001,100.4533,0,269.052,307.929,309.244,839.028,0,0
