Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g)
Peaks,,0,-1.66557625658295,-1.66073294924058E-41,2.73705843898132E-40,8.86578068733216E+38,1.00291636734527E+41,1.12891332344174E-43,4.4048926407846E-43,0,25.7701717402432,0.0100040400781386,24.0230893750277,24.2563600894083,0.000242661598484201,0.0274504070683485,0,0,0.000100086979406418,0.000390528121044397,-0.000635831342010343,0,0,0
peak HRR (kW/m²),357.384185057086,1,-0.0097264277021303,-2.97177506950571E-43,3.47605593198263E-39,2.8932748568058E+38,3.2729353583776E+40,2.28663551152889E-43,-6.20712691450333E-43,0,25.484307749601,0.0419256315146622,23.758048584525,23.9881544189473,0.0010057185228856,0.113769063674842,0.000624190060684901,0.0706097353715951,6.6158650321858E-05,-0.00017958924234735,0.00015168080388925,7.58404019446249E-05,0,-5.53707017183304E+38
peak EHC (MJ/kg),0,2,2.27829548500552,5.73597022622184E-40,6.72107436435455E-38,3.5111988544464E+37,3.97194440548235E+39,1.02876209101953E-42,-3.96157181277125E-42,0.00113914774250276,25.3985691760204,0.0986983598512731,23.6786211744126,23.9102540754798,0.00235990286087708,0.266957337203289,0.00230700075256624,0.26097293581066,3.61218827548564E-05,-0.000139098664108096,0.00137484119316864,0.000839101400473568,0.56957387125138,-6.93E+38
peak MLR (g/s),-1.25929772876524E+22,3,1.45333873527592,0,0,-1.1607748568058E+37,-1.31309372941833E+39,0,0,0.00300496485264348,25.5900377813489,0.145222066882728,23.8579208609284,24.0960820014571,0.00349928283202729,0.395846474211232,0.00523659359901842,0.592374841517921,4.74861765102204E-05,0.000153064675658674,0.000981754158599885,0.00201739907635783,1.00165495088116,-6.93E+38
peak SEA (m²/kg),0,4,-0.910167099363563,0,0,-1.25929772876524E+22,-1.42454494204213E+24,0,0,0.00373163422028144,25.9062272145497,0.17753182766426,24.1565959188224,24.3956459479708,0.00433100361219345,0.489932535316001,0.00915173682112879,1.03526434628154,9.56698083759335E-05,0.00141274670317803,-7.51171290864303E-05,0.00250827615565777,0.93290855507036,-6.93E+38
peak COY (kg/kg),0,5,-1.62377087390826,0,0,-1.25929772876524E+22,-1.42454494204213E+24,0,0,0.00373163422028144,25.4109781716947,0.259985438982836,23.6977444448812,23.9399949937939,0.0062240501077084,0.704078066482851,0.0144292636810797,1.63226964718096,0.000175310883418801,0.00159883692677008,-0.00040174304286085,0.00250827615565777,0.746326844056288,-6.93E+38
peak CO2Y (kg/kg),0,6,-0.857827591665252,0,0,-1.25929772876524E+22,-1.42454494204213E+24,0,0,0.00373163422028144,25.2315481755065,1.48778012679734,23.5472717453777,23.8096725108978,0.0354235575872667,4.00718977231524,0.0352530675285673,3.98790356658001,0.000180937038209255,0.00102470519527187,-7.66871633271421E-05,0.00250827615565777,0.621939036713573,-6.93E+38
,,7,1.11657111612413,0,0,-1.25929772876524E+22,-1.42454494204213E+24,0,0,0.0042899197783435,24.4578853393135,2.58669987905867,22.8648640129689,23.1545363608961,0.0598938364043894,6.77532086022504,0.0829117645243954,9.37915888285015,0.000134850247143299,0.000617470528682864,0.000899017004169289,0.00295778465774242,0.6128456826205,-6.93E+38
Time To Peaks,,8,3.73182599014513,0,0,-1.25929772876524E+22,-1.42454494204213E+24,0,0,0.00671411833147813,24.5279732028371,2.95583135278686,22.9972655880866,23.3315899460389,0.0689642450728684,7.8013851892385,0.147340805263024,16.6675119075819,0.000104969017524018,0.000562681837187769,0.00228462262877671,0.00454960447421542,0.839264791434766,-6.93E+38
t peak HRR (s),25,9,1.86888216538967,0,0,-1.25929772876524E+22,-1.42454494204213E+24,0,0,0.00951447240924553,23.3108627866583,3.1178844672616,21.9362376137427,22.2958177703208,0.0695157839109783,7.86377646051791,0.216580819754948,24.5000927324601,7.89502403584556E-05,0.0010465084944512,0.00133944725198018,0.00636163941459386,1.05716360102728,-6.93E+38
t peak EHC (s),6,10,-0.303831819283425,0,0,-1.25929772876524E+22,-1.42454494204213E+24,0,0,0.0104489134919404,23.0012002041512,3.52711045055936,21.7277403196014,22.1210980658716,0.0780235561659842,8.82619413642355,0.290350489793429,32.8450780309309,7.62820829273451E-05,0.00195169003050259,0.000307077593029899,0.0071849018370989,1.04489134919404,-6.93E+38
t peak MLR (s),6,11,-1.21613636797245,0,0,-1.25929772876524E+22,-1.42454494204213E+24,0,0,0.0104489134919404,23.3247704839442,3.91219952569231,22.1176652466529,22.5608044467396,0.0882623684557716,9.98443082078864,0.373493452104307,42.2503905095369,0.000102925952681531,0.00205588522823358,-0.00015460891680968,0.00733844063361385,0.949901226540033,-6.93E+38
t peak SEA (s),6,12,-0.703647235475275,0,0,-1.25929772876524E+22,-1.42454494204213E+24,0,0,0.0104489134919404,23.0841290155779,3.42265815783539,21.9703281133882,22.4500070527179,0.0768386997824467,8.69216060887406,0.456043986223416,51.5886862243683,6.4747496538452E-05,0.00166792006347715,4.50059479479649E-05,0.00736094360758783,0.87074279099503,-6.93E+38
t peak COY (s),6,13,0.287399901190452,0,0,-1.25929772876524E+22,-1.42454494204213E+24,0,0,0.0105926134425356,22.9616171933045,3.18662303110515,21.9247220528818,22.4312412932728,0.0714799101214198,8.08596268341853,0.530203291175349,59.9777478705146,2.98381130498094E-05,0.00495395325748301,0.00106367823420359,0.00791528569866361,0.814816418656584,-6.93E+38
