Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,0.0,,-8.51,
5.0,250.0,0.0,11.11,0.0
10.0,500.0,7.6,12.79,0.04
15.0,750.0,117.5,20.79,0.63
20.0,1000.0,302.4,22.78,2.14
25.0,1250.0,404.3,20.14,4.16
30.0,1500.0,448.6,18.06,6.4
35.0,1750.0,424.9,15.57,8.53
40.0,2000.0,342.0,14.07,10.24
45.0,2250.0,268.6,11.58,11.58
50.0,2500.0,223.7,10.41,12.7
55.0,2750.0,192.8,11.04,13.66
60.0,3000.0,171.4,9.98,14.52
65.0,3250.0,168.2,9.41,15.36
70.0,3500.0,168.1,8.11,16.2
75.0,3750.0,161.9,9.94,17.01
80.0,4000.0,157.1,11.49,17.8
85.0,4250.0,150.0,9.66,18.55
90.0,4500.0,145.5,8.2,19.27
95.0,4750.0,142.3,7.32,19.99
100.0,5000.0,141.0,9.4,20.69
105.0,5250.0,139.3,8.89,21.39
110.0,5500.0,141.6,7.5,22.09
115.0,5750.0,135.8,9.49,22.77
120.0,6000.0,143.4,11.08,23.49
125.0,6250.0,196.4,14.74,24.47
130.0,6500.0,295.5,15.62,25.95
135.0,6750.0,357.5,14.37,27.74
140.0,7000.0,362.8,14.57,29.55
145.0,7250.0,355.4,14.65,31.33
150.0,7500.0,343.6,15.53,33.05
155.0,7750.0,335.1,14.75,34.72
160.0,8000.0,325.1,13.01,36.35
165.0,8250.0,313.9,12.9,37.92
170.0,8500.0,304.5,12.51,39.44
175.0,8750.0,309.7,14.54,40.99
180.0,9000.0,303.1,13.82,42.5
185.0,9250.0,304.5,12.14,44.03
190.0,9500.0,305.8,10.78,45.55
195.0,9750.0,299.0,10.71,47.05
200.0,10000.0,289.4,12.44,48.5
205.0,10250.0,281.6,12.6,49.91
210.0,10500.0,277.7,12.19,51.29
215.0,10750.0,275.2,8.85,52.67
220.0,11000.0,266.6,9.61,54.0
225.0,11250.0,267.3,10.48,55.34
230.0,11500.0,254.9,9.74,56.61
235.0,11750.0,254.7,9.55,57.89
240.0,12000.0,247.1,7.24,59.12
245.0,12250.0,238.8,9.01,60.32
250.0,12500.0,229.1,10.07,61.46
255.0,12750.0,223.6,9.95,62.58
260.0,13000.0,211.8,9.15,63.64
265.0,13250.0,200.4,6.99,64.64
270.0,13500.0,193.0,6.1,65.61
275.0,13750.0,186.5,6.43,66.54
280.0,14000.0,180.4,8.23,67.44
285.0,14250.0,179.4,8.58,68.34
290.0,14500.0,170.1,7.89,69.19
295.0,14750.0,171.4,4.89,70.05
300.0,15000.0,163.0,5.71,70.86
305.0,15250.0,157.2,5.9,71.65
310.0,15500.0,153.9,6.55,72.42
315.0,15750.0,144.5,5.82,73.14
320.0,16000.0,137.6,4.9,73.83
325.0,16250.0,129.6,6.26,74.48
330.0,16500.0,123.3,5.41,75.09
335.0,16750.0,118.3,4.55,75.68
340.0,17000.0,108.0,2.92,76.22
345.0,17250.0,104.3,3.16,76.74
350.0,17500.0,96.8,3.32,77.23
355.0,17750.0,92.1,4.1,77.69
360.0,18000.0,88.7,2.03,78.13
365.0,18250.0,80.9,0.97,78.54
370.0,18500.0,75.3,1.65,78.91
375.0,18750.0,71.7,0.87,79.27
380.0,19000.0,68.4,3.32,79.62
385.0,19250.0,64.4,1.78,79.94
390.0,19500.0,59.4,2.24,80.23
395.0,19750.0,55.2,2.46,80.51
400.0,20000.0,51.3,1.96,80.77
405.0,20250.0,48.5,1.91,81.01
410.0,20500.0,46.7,0.79,81.24
415.0,20750.0,42.7,2.08,81.46
420.0,21000.0,39.9,1.89,81.66
425.0,21250.0,39.8,0.76,81.85
430.0,21500.0,37.6,0.29,82.04
435.0,21750.0,35.6,0.52,82.22
440.0,22000.0,35.3,1.84,82.4
445.0,22250.0,34.6,3.11,82.57
450.0,22500.0,34.1,0.89,82.74
455.0,22750.0,33.5,0.71,82.91
460.0,23000.0,30.5,-0.89,83.06
465.0,23250.0,29.8,0.22,83.21
470.0,23500.0,28.8,1.71,83.35
475.0,23750.0,27.7,1.91,83.49
480.0,24000.0,27.4,2.41,83.63
485.0,24250.0,24.9,0.43,83.75
490.0,24500.0,21.5,0.11,83.86
495.0,24750.0,20.4,0.08,83.96
500.0,25000.0,19.7,0.51,84.06
505.0,25250.0,19.8,-0.36,84.16
510.0,25500.0,19.3,-0.9,84.26
515.0,25750.0,18.4,-1.73,84.35
520.0,26000.0,19.4,-1.11,84.45
525.0,26250.0,18.9,0.95,84.54
530.0,26500.0,18.9,2.63,84.64
535.0,26750.0,18.5,3.49,84.73
540.0,27000.0,17.8,0.53,84.82
545.0,27250.0,18.6,-1.14,84.91
550.0,27500.0,16.9,-0.7,84.99
555.0,27750.0,16.8,1.21,85.08
560.0,28000.0,17.1,2.61,85.16
565.0,28250.0,16.9,1.94,85.25
570.0,28500.0,16.4,-0.99,85.33
575.0,28750.0,15.9,0.3,85.41
580.0,29000.0,15.7,-0.09,85.49
585.0,29250.0,16.5,1.12,85.57
590.0,29500.0,16.1,2.52,85.65
595.0,29750.0,15.1,0.1,85.73
600.0,30000.0,14.4,1.56,85.8
605.0,30250.0,14.4,6.8,85.87
610.0,30500.0,15.1,-8.8,85.95
615.0,30750.0,15.5,0.01,86.02
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
