Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,0.0,,1.43,
5.0,250.0,,-10.79,
10.0,500.0,,-0.46,
15.0,750.0,0.0,3.7,0.0
20.0,1000.0,65.5,7.74,0.33
25.0,1250.0,255.2,9.71,1.6
30.0,1500.0,356.5,15.82,3.39
35.0,1750.0,398.1,18.11,5.38
40.0,2000.0,434.8,21.96,7.55
45.0,2250.0,452.4,20.52,9.81
50.0,2500.0,472.5,19.85,12.18
55.0,2750.0,481.8,19.58,14.58
60.0,3000.0,490.1,20.77,17.03
65.0,3250.0,512.1,21.4,19.6
70.0,3500.0,519.3,20.88,22.19
75.0,3750.0,516.7,21.84,24.78
80.0,4000.0,525.8,19.71,27.4
85.0,4250.0,552.4,21.63,30.17
90.0,4500.0,553.8,22.86,32.94
95.0,4750.0,565.1,24.98,35.76
100.0,5000.0,566.1,24.86,38.59
105.0,5250.0,581.8,23.44,41.5
110.0,5500.0,598.5,23.94,44.49
115.0,5750.0,612.0,24.85,47.55
120.0,6000.0,609.5,25.39,50.6
125.0,6250.0,618.7,25.29,53.69
130.0,6500.0,639.8,26.8,56.89
135.0,6750.0,653.2,28.07,60.16
140.0,7000.0,657.1,29.81,63.44
145.0,7250.0,674.2,27.16,66.81
150.0,7500.0,693.9,26.21,70.28
155.0,7750.0,697.3,27.66,73.77
160.0,8000.0,720.0,29.43,77.37
165.0,8250.0,736.9,32.58,81.05
170.0,8500.0,751.9,32.24,84.81
175.0,8750.0,773.5,31.96,88.68
180.0,9000.0,792.6,32.58,92.64
185.0,9250.0,796.8,34.86,96.63
190.0,9500.0,832.8,34.83,100.79
195.0,9750.0,861.2,36.13,105.1
200.0,10000.0,892.0,37.18,109.56
205.0,10250.0,932.1,36.68,114.22
210.0,10500.0,940.8,38.14,118.92
215.0,10750.0,947.1,37.7,123.66
220.0,11000.0,902.1,37.26,128.17
225.0,11250.0,882.7,35.74,132.58
230.0,11500.0,800.0,30.95,136.58
235.0,11750.0,663.9,26.51,139.9
240.0,12000.0,590.6,23.92,142.85
245.0,12250.0,543.1,19.15,145.57
250.0,12500.0,510.4,17.56,148.12
255.0,12750.0,474.3,15.92,150.49
260.0,13000.0,430.6,16.13,152.65
265.0,13250.0,400.2,16.75,154.65
270.0,13500.0,358.8,15.99,156.44
275.0,13750.0,325.2,14.11,158.07
280.0,14000.0,297.0,11.13,159.55
285.0,14250.0,271.3,10.94,160.91
290.0,14500.0,253.8,8.23,162.18
295.0,14750.0,229.4,8.6,163.32
300.0,15000.0,213.9,9.28,164.39
305.0,15250.0,198.4,7.36,165.39
310.0,15500.0,182.3,8.17,166.3
315.0,15750.0,166.6,5.65,167.13
320.0,16000.0,154.4,5.7,167.9
325.0,16250.0,146.5,6.49,168.64
330.0,16500.0,137.6,5.6,169.32
335.0,16750.0,130.8,7.03,169.98
340.0,17000.0,124.1,4.9,170.6
345.0,17250.0,115.8,5.51,171.18
350.0,17500.0,110.5,3.93,171.73
355.0,17750.0,108.3,3.42,172.27
360.0,18000.0,101.8,5.09,172.78
365.0,18250.0,95.5,4.91,173.26
370.0,18500.0,94.1,3.84,173.73
375.0,18750.0,91.5,3.39,174.19
380.0,19000.0,88.1,3.4,174.63
385.0,19250.0,85.6,4.33,175.05
390.0,19500.0,84.6,4.23,175.48
395.0,19750.0,83.5,1.81,175.89
400.0,20000.0,80.5,1.78,176.3
405.0,20250.0,76.1,2.8,176.68
410.0,20500.0,69.2,4.24,177.02
415.0,20750.0,60.8,3.27,177.33
420.0,21000.0,53.7,2.11,177.6
425.0,21250.0,47.7,0.43,177.83
430.0,21500.0,43.1,1.46,178.05
435.0,21750.0,38.4,1.43,178.24
440.0,22000.0,34.5,1.38,178.41
445.0,22250.0,31.1,1.52,178.57
450.0,22500.0,28.3,1.65,178.71
455.0,22750.0,25.5,2.84,178.84
460.0,23000.0,23.0,1.23,178.95
465.0,23250.0,19.8,0.51,179.05
470.0,23500.0,17.3,0.06,179.14
475.0,23750.0,15.0,0.49,179.22
480.0,24000.0,14.9,0.94,179.29
485.0,24250.0,11.9,0.86,179.35
490.0,24500.0,9.6,0.87,179.4
495.0,24750.0,7.8,0.06,179.44
500.0,25000.0,5.6,0.45,179.46
505.0,25250.0,4.2,0.91,179.48
510.0,25500.0,2.9,-0.26,179.5
515.0,25750.0,2.8,1.32,179.51
520.0,26000.0,0.4,-0.23,179.52
525.0,26250.0,0.0,0.58,179.52
530.0,26500.0,0.0,0.82,179.52
535.0,26750.0,0.4,-0.28,179.52
540.0,27000.0,0.0,1.64,179.52
545.0,27250.0,0.0,5.05,179.52
550.0,27500.0,0.4,-9.33,179.52
555.0,27750.0,0.0,0.39,179.52
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
