Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,0.0,,-8.17,
5.0,250.0,,10.53,
10.0,500.0,,1.13,
15.0,750.0,,0.43,
20.0,1000.0,,-1.37,
25.0,1250.0,,0.13,
30.0,1500.0,,1.53,
35.0,1750.0,,1.78,
40.0,2000.0,,0.33,
45.0,2250.0,,2.84,
50.0,2500.0,0.0,5.27,0.0
55.0,2750.0,36.1,12.9,0.18
60.0,3000.0,121.5,13.81,0.79
65.0,3250.0,188.9,11.47,1.73
70.0,3500.0,208.1,12.26,2.77
75.0,3750.0,208.1,9.42,3.81
80.0,4000.0,204.8,10.38,4.84
85.0,4250.0,196.8,9.58,5.82
90.0,4500.0,189.2,7.81,6.77
95.0,4750.0,179.8,8.58,7.67
100.0,5000.0,173.5,9.22,8.53
105.0,5250.0,167.7,11.48,9.37
110.0,5500.0,166.6,9.46,10.21
115.0,5750.0,159.2,8.92,11.0
120.0,6000.0,158.4,6.43,11.79
125.0,6250.0,151.6,5.09,12.55
130.0,6500.0,146.0,6.27,13.28
135.0,6750.0,139.8,5.27,13.98
140.0,7000.0,131.1,6.88,14.64
145.0,7250.0,124.1,8.63,15.26
150.0,7500.0,115.4,6.79,15.83
155.0,7750.0,115.3,6.9,16.41
160.0,8000.0,110.1,4.84,16.96
165.0,8250.0,105.8,5.06,17.49
170.0,8500.0,102.0,6.71,18.0
175.0,8750.0,101.4,4.7,18.51
180.0,9000.0,100.6,5.31,19.01
185.0,9250.0,100.7,3.12,19.51
190.0,9500.0,97.4,3.84,20.0
195.0,9750.0,95.6,4.89,20.48
200.0,10000.0,96.6,4.96,20.96
205.0,10250.0,95.6,4.25,21.44
210.0,10500.0,90.8,3.21,21.89
215.0,10750.0,87.9,3.17,22.33
220.0,11000.0,87.3,3.55,22.77
225.0,11250.0,89.3,3.95,23.22
230.0,11500.0,88.0,4.64,23.66
235.0,11750.0,86.7,5.64,24.09
240.0,12000.0,87.1,4.75,24.53
245.0,12250.0,89.2,5.17,24.97
250.0,12500.0,92.0,3.24,25.43
255.0,12750.0,90.3,4.18,25.88
260.0,13000.0,85.6,4.26,26.31
265.0,13250.0,85.0,1.52,26.74
270.0,13500.0,83.1,2.06,27.15
275.0,13750.0,80.2,2.09,27.55
280.0,14000.0,81.2,4.4,27.96
