Time (s),HRRPUA (kW/m2),Uc HRRPUA (kW/m2)
0.0,-0.007334360704722848,-1.8769896466082794
1.0,0.6422725269236016,2.4390999557337794
2.0,0.6980666422754949,2.06209342332334
3.0,0.5943514966748797,2.3148149213611724
4.0,-0.1473199474326583,-2.0040730917578022
5.0,-0.7571528196513164,-1.6991965629213899
6.0,-0.46374446700205035,-2.13598610247001
7.0,-0.031140211585865496,-2.4156118653897036
8.0,0.3299859174050791,2.3455998421337454
9.0,0.8415375670174111,1.8980007979570404
10.0,-0.13378639926144315,-1.931525809707407
11.0,-0.654002998538056,-2.080371365088072
12.0,-0.3950707621030301,-2.8260717861459828
13.0,-0.18429547487676473,-2.690369543370506
14.0,0.4763049320651972,1.4721242911728478
15.0,0.19004682060656755,1.4938932294274572
16.0,-0.6099124428983909,-1.9813673241558132
17.0,-0.7288687319772963,-2.472338820217855
18.0,0.17615961722203327,2.931922534120783
19.0,1.020472707707719,2.339297880075291
20.0,1.3873141529855133,1.7503641406295345
21.0,0.989925274667637,2.3689348461186235
22.0,0.7553437060284192,2.74728362058788
23.0,1.4133204919930882,3.189958782096005
24.0,2.060201618791746,2.778565958820934
25.0,2.4771918225947482,2.2789464410382485
26.0,2.479592063874823,1.919795006304928
27.0,2.050437620642582,2.0100119367624982
28.0,2.329577581963819,1.9272877312520487
29.0,3.701945268879509,3.462758628439909
30.0,6.419392849428728,4.705486362843377
31.0,10.442778080423622,7.879266139694608
32.0,14.353041835994572,12.365109966282455
33.0,17.80438917938627,15.948123232181013
34.0,21.985134689394002,19.00126544529137
35.0,26.817603258609637,21.588516392787504
36.0,31.843401426731624,25.634702162529635
37.0,36.17832067234697,29.47222743244631
38.0,40.24365548133645,33.28450846182615
39.0,44.3449337545724,36.582698679813
40.0,51.40834233470123,42.049859683435166
41.0,59.15986357314527,47.200407938220124
42.0,66.07156866877833,51.405531784660155
43.0,72.99849799869597,55.480385851900486
44.0,77.95490079252147,58.74845528641537
45.0,83.73000748889295,63.845940119108455
46.0,90.36362691571875,68.83468474342757
47.0,96.76609310357135,72.41145604612377
48.0,100.59058617666614,72.48003223609446
49.0,106.40192680237602,74.72038461946089
50.0,112.4737475650856,78.3470696384931
51.0,116.70935652371624,78.91905412746152
52.0,122.5023921755332,79.82090708855769
53.0,128.00445799560163,81.3864758071718
54.0,133.79935830121406,83.87027687068391
55.0,137.76287500215562,86.18726606361473
56.0,142.2430518680796,89.70862943302446
57.0,145.39003553940057,91.29277722094402
