Time (s),HRRPUA (kW/m2),Uc HRRPUA (kW/m2)
0.0,0.06294858402224168,2.5710896601579076
1.0,0.30161004054548973,1.9697626001793158
2.0,0.3506950709704543,1.4865636439350776
3.0,-0.0660396724851014,-1.8866325966310964
4.0,-0.06542231024633705,-2.5218087737412818
5.0,0.13014520745718644,2.172654289955093
6.0,1.057004365778492,1.6276562133704466
7.0,1.4828709752843414,1.9279140322701167
8.0,0.9222741912827601,2.5734759455271776
9.0,0.1735490984738361,1.8670495856242324
10.0,-0.13838419401307034,-2.130113681253263
11.0,-0.023234773605573134,-2.18960292710855
12.0,0.6417819578090825,2.481174355223267
13.0,0.6469182114567216,2.224462130717422
14.0,0.2584557134561404,1.8669608363679686
15.0,-0.10711167324198395,-1.7380480502434852
16.0,0.010480960931748606,2.4105131782709415
17.0,-0.03343503237930556,-2.3594578126620815
18.0,0.6469210889848859,2.8898935946220456
19.0,1.263289476344489,3.1593797545031927
20.0,0.7396194310276528,2.8987550433513607
21.0,0.24363272637363784,2.7613270452549314
22.0,0.5033492205412461,2.5066826124827815
23.0,1.0545804576199356,2.5204321487954062
24.0,0.857542621263522,3.5819624905188503
25.0,-0.5943073369330503,-5.355228621076479
26.0,-1.5790960479226723,-5.212387713670155
27.0,0.1950715820075845,3.907490263191214
28.0,2.967767160425336,13.529635885165426
29.0,5.671287545560523,25.247408463255987
30.0,10.38677981078526,33.36719858398442
31.0,22.08594685964076,40.96256628056216
32.0,40.21797463049819,48.090281353747685
33.0,62.63582218790148,58.59890142727911
34.0,83.15925218157132,68.89214441845041
35.0,105.47625915516153,76.05127922530124
36.0,125.1286788085815,82.27654794407464
37.0,136.86043463625543,88.4534787966469
38.0,146.94760878813906,91.07006065915519
39.0,155.63397657132242,86.3782423018148
40.0,164.7251402882328,73.99252553940374
41.0,175.3514316957111,55.24768962803881
42.0,183.0199487386248,36.55007109652458
43.0,188.75659359261073,22.032560932814054
44.0,190.14428786437196,19.582450679561497
45.0,190.65974245574023,28.31845255017883
46.0,189.95590388090133,40.060042234548305
47.0,187.27143533539703,45.34463455052453
48.0,183.70798041599338,49.049943537832
49.0,176.3937185767086,49.64138480279011
50.0,173.38976300672965,48.44863176782177
51.0,171.23562323600697,47.310524254543154
52.0,165.4520498789756,47.206539652516966
53.0,160.0943246705764,43.25706142013184
54.0,155.75312095899255,40.27529901644168
55.0,150.80563177410943,36.17003028086448
56.0,146.84840682840456,33.40130989061575
57.0,143.17902328755852,32.32497435659083
58.0,140.49294059407092,31.216393210084927
59.0,138.3635744706363,29.84289345740759
60.0,135.15317118447905,28.473018711308843
61.0,132.38297205509443,26.610482087205103
