Time Stamp,Test Time (s),0: O2 (Volts),1: CO2 (Volts),2: CO (Volts),3: Io (Volts),4: I (Volts),5: Pe (Volts),6: CJC0 (Volts),7: TCraw1 (Volts),8: TCraw2 (Volts),9: SampMass (Volts),10: BurnerFlow (Volts),11: BurnerFlowSet (Volts),12: TCraw3 (Volts),13: TCraw4 (Volts),14: TCraw5 (Volts),15: Hfspare (Volts),16: TCraw7 (Volts),17: HeatFlux (Volts),18: CanopyFlow (Volts),19: MarkSig (Volts),System State
8/6/2019 2:38:19 PM,0.00000000,0.00953208,0.00094734,0.00096793,0.00247358,0.00557214,0.02006645,0.00006623,0.00037413,0.00033529,0.01125827,0.00121442,0.00451690,0.00043110,0.00869102,0.01864299,0.00002204,0.00002585,0.00002695,0.10332113,0.00746247,
8/6/2019 2:38:20 PM,1.00000000,0.00986908,0.00116487,0.00114365,0.00236971,0.00527690,0.01849754,0.00006641,0.00032771,0.00036659,0.01245146,0.00125528,0.00520563,0.00044947,0.00170877,0.00099239,0.00002096,0.00002232,0.00002612,0.08825743,0.00753543,
8/6/2019 2:38:21 PM,2.00000000,0.00948678,0.00116754,0.00109474,0.00247340,0.00557524,0.01899643,0.00006934,0.00040579,0.00032579,0.01156380,0.00123180,0.00444362,0.00046887,0.00151470,0.00090888,0.00002184,0.00002520,0.00002636,0.09520834,0.00747702,
8/6/2019 2:38:22 PM,3.00000000,0.00920867,0.00119542,0.00129068,0.00228048,0.00547041,0.01729854,0.00006875,0.00037152,0.00034054,0.01191269,0.00144943,0.00452773,0.00046780,0.00204306,0.00145034,0.00002296,0.00002584,0.00002452,0.11747635,0.00751858,
8/6/2019 2:38:23 PM,4.00000000,0.01008381,0.00124513,0.00114592,0.00237872,0.00563875,0.01902809,0.00006704,0.00033378,0.00032687,0.01162893,0.00136459,0.00445113,0.00041320,0.00127179,0.00081231,0.00002324,0.00002708,0.00002579,0.09241742,0.00749233,
8/6/2019 2:38:24 PM,5.00000000,0.00962953,0.00128093,0.00111211,0.00245556,0.00549493,0.01856615,0.00006895,0.00036599,0.00035601,0.01219589,0.00137173,0.00468703,0.00046599,0.00167570,0.00106138,0.00001974,0.00002328,0.00002562,0.09795497,0.00756498,
8/6/2019 2:38:25 PM,6.00000000,0.00993601,0.00122176,0.00127223,0.00239975,0.00673612,0.01968809,0.00006543,0.00039642,0.00033763,0.01202416,0.00158089,0.00436081,0.00043881,0.00183559,0.00124737,0.00002100,0.00002765,0.00002561,0.11245773,0.00758246,
8/6/2019 2:38:26 PM,7.00000000,0.00991401,0.00125312,0.00133074,0.00212348,0.00668928,0.01876444,0.00006907,0.00036353,0.00037091,0.01193242,0.00146496,0.00449254,0.00044313,0.00158716,0.00107391,0.00002283,0.00002533,0.00002589,0.10595217,0.00746343,
8/6/2019 2:38:27 PM,8.00000000,0.00980041,0.00120567,0.00109713,0.00244273,0.00575858,0.01939897,0.00006527,0.00035822,0.00036521,0.01252161,0.00123307,0.00481279,0.00050238,0.00133786,0.00076606,0.00002276,0.00002667,0.00002383,0.10691097,0.00751231,
8/6/2019 2:38:28 PM,9.00000000,0.00943413,0.00115585,0.00111172,0.00223408,0.00594418,0.01914081,0.00006431,0.00036042,0.00035803,0.01323962,0.00114278,0.00462824,0.00043867,0.00253263,0.00180512,0.00002348,0.00002618,0.00002722,0.09093152,0.00751450,
8/6/2019 2:38:29 PM,10.00000000,0.01030399,0.00124930,0.00103914,0.00241911,0.00536615,0.01812431,0.00006304,0.00036679,0.00037967,0.01133340,0.00135689,0.00457801,0.00049354,0.00147493,0.00076410,0.00002093,0.00002490,0.00002874,0.09213269,0.00750053,
8/6/2019 2:38:30 PM,11.00000000,0.00961540,0.00107317,0.00113159,0.00248069,0.00481021,0.01841832,0.00006847,0.00037917,0.00036266,0.01246640,0.00139012,0.00485513,0.00043968,0.00135736,0.00082323,0.00002154,0.00002607,0.00002715,0.09883373,0.00750156,
8/6/2019 2:38:31 PM,12.00000000,0.01009952,0.00118121,0.00126091,0.00229558,0.00560163,0.01783347,0.00005940,0.00038401,0.00033816,0.01188238,0.00134234,0.00448197,0.00050226,0.00165222,0.00097002,0.00002254,0.00002685,0.00002545,0.09555713,0.00752998,
8/6/2019 2:38:32 PM,13.00000000,0.00978799,0.00116450,0.00130541,0.00255436,0.00573695,0.01963569,0.00006276,0.00038130,0.00035725,0.01131839,0.00146140,0.00470418,0.00047490,0.00154023,0.00103360,0.00002202,0.00002830,0.00002740,0.09697926,0.00751439,
8/6/2019 2:38:33 PM,14.00000000,0.00933987,0.00118264,0.00127398,0.00227390,0.00501554,0.02017053,0.00006709,0.00034270,0.00035738,0.01142270,0.00124612,0.00444154,0.00039759,0.00168119,0.00112679,0.00002139,0.00002472,0.00002765,0.10412164,0.00758225,
8/6/2019 2:38:34 PM,15.00000000,0.01000902,0.00125156,0.00121824,0.00239018,0.00726404,0.01806759,0.00006816,0.00039908,0.00040005,0.01336818,0.00134585,0.00443530,0.00049577,0.00159642,0.00106630,0.00002392,0.00002755,0.00002525,0.08886730,0.00743812,
8/6/2019 2:38:35 PM,16.00000000,0.00991180,0.00117875,0.00114411,0.00240772,0.00640903,0.01945587,0.00006550,0.00037806,0.00037502,0.01257037,0.00141243,0.00447162,0.00044247,0.00182336,0.00116031,0.00002170,0.00002651,0.00002688,0.10620511,0.00742242,
8/6/2019 2:38:36 PM,17.00000000,0.01020586,0.00117311,0.00109707,0.00214806,0.00518826,0.01939879,0.00006273,0.00038189,0.00035868,0.01249628,0.00137136,0.00406088,0.00046380,0.00159688,0.00101677,0.00002200,0.00002712,0.00002516,0.08104046,0.00746724,
8/6/2019 2:38:37 PM,18.00000000,0.01004949,0.00135686,0.00125577,0.00247022,0.00562128,0.01808043,0.00006958,0.00037503,0.00031144,0.01072086,0.00143450,0.00471364,0.00045070,0.00148484,0.00103784,0.00002264,0.00002548,0.00002683,0.11865875,0.00752858,
