NTP Epoch Time (s),Test Time (s),0: O2 (Vol fr),1: CO2 (Vol fr),2: CO (Vol fr),3: Io (%),4: I (%),5: Pe (Pa),6: CJC0 (°C),7: TCraw1 (V),8: TCraw2 (V),9: SampMass (g),10: BurnerFlow (SLPM),11: BurnerFlowSet (SLPM),12: TCraw3 (V),13: TCraw4 (V),14: TCraw5 (V),15: Hfspare (V),16: TCraw7 (V),17: HeatFlux (kW/m^2),18: CanopyFlow (V),19: MarkSig (V),20: Pamb (kPa),21: Tamb (°C),22: RHamb (%),23: Tsmk (°C),24: Tcone (°C),25: Te (°C),26: H2Oa (Vol fr),27: Rhoe (kg/m3),28: MFRe (kg/s),29: VFRe (L/s),30: Ksm (1/m),31: HRRmethane (kW),32: Phi (none),33: RHR (kW),34: RHRA (kW/m2),35: newCf (none),36: EvMark (none),System State
1565030860.80509806,10.00000000,0.20941006,0.00041768,0.00000203,101.38982081,102.43983963,129.84234219,20.31697382,0.00142931,0.00134320,-157.26179519,0.24388870,8.39968437,0.00654655,0.00763219,0.00747126,0.00006485,0.00066271,0.22932385,1.35058509,2.54791567,99.75000000,20.09000000,52.91900000,55.28636169,180.44538879,53.20518112,0.01248616,1.08178268,0.02523033,23.32291775,-0.09215560,0.14508944,0.00051812,0.03900369,3.90036857,NaN,0.00000000,
1565030861.80517149,11.00000000,0.20944331,0.00041789,0.00000231,101.44358038,102.25858484,128.79078082,20.31727231,0.00145913,0.00131981,-157.37258164,0.24427901,8.40424719,0.00647742,0.00818495,0.00802814,0.00006702,0.00066475,0.24690757,1.34819731,2.54805842,99.75000000,20.09000000,52.91600000,56.00674438,178.71597290,52.63964844,0.01248545,1.08366053,0.02514975,23.20814787,-0.07157393,0.14532164,0.00031676,0.02370264,2.37026430,NaN,0.00000000,
1565030862.80419826,12.00000000,0.20944829,0.00041381,0.00000251,101.42172209,102.44592922,128.71097481,20.31664937,0.00141812,0.00135161,-157.51633569,0.24440261,8.40530015,0.00640613,0.00795706,0.00782085,0.00006336,0.00066362,0.21837889,1.30467373,2.54792216,99.75000000,20.09000000,52.91100000,55.01564407,176.93231201,53.40806961,0.01248427,1.08111058,0.02511236,23.22830148,-0.08987343,0.14539516,0.00029158,0.02176210,2.17620951,NaN,0.00000000,
1565030863.80531263,13.00000000,0.20945195,0.00041605,0.00000200,101.37298402,102.25751020,130.07471847,20.31852144,0.00139417,0.00135664,-157.42260805,0.24474087,8.40398070,0.00631616,0.00727744,0.00710344,0.00006657,0.00066573,0.24296020,1.33281457,2.54794974,99.75000000,20.09000000,52.90800000,54.43891907,174.68420410,53.53149796,0.01248357,1.08070211,0.02524028,23.35544631,-0.07770676,0.14559640,0.00026728,0.02006898,2.00689774,NaN,0.00000000,
1565030864.80494785,14.00000000,0.20945206,0.00041621,0.00000208,101.37446093,102.26968938,132.02527088,20.31812237,0.00148690,0.00136144,-157.38542367,0.24422047,8.40474117,0.00637158,0.00779542,0.00763151,0.00006663,0.00066566,0.21443152,1.31149319,2.54804382,99.75000000,20.09000000,52.90600000,56.67804337,176.06961060,53.64721298,0.01248309,1.08031944,0.02542432,23.53407645,-0.07864171,0.14528681,0.00026637,0.02014088,2.01408769,NaN,0.00000000,
1565030865.80534840,15.00000000,0.20943589,0.00041552,0.00000172,101.38568546,102.31768966,129.36820068,20.31869016,0.00142422,0.00131563,-157.31220494,0.24399279,8.40429269,0.00637187,0.00804556,0.00788704,0.00006543,0.00066819,0.24941953,1.29204052,2.54803571,99.75000000,20.09000000,52.89800000,55.16498947,176.07746887,52.53976822,0.01248121,1.08399286,0.02520993,23.25654953,-0.08184853,0.14515136,0.00036531,0.02746064,2.74606446,NaN,0.00000000,
1565030866.80537271,16.00000000,0.20943711,0.00041683,0.00000223,101.40665760,102.21201740,129.67568848,20.31825864,0.00146289,0.00140449,-157.40324917,0.24426600,8.40273925,0.00645308,0.00762521,0.00746156,0.00006621,0.00066651,0.23398892,1.28746122,2.54806491,99.75000000,20.09000000,52.89500000,56.09857559,178.10824585,54.68797684,0.01248050,1.07688983,0.02515705,23.36083522,-0.07075592,0.14531390,0.00035565,0.02664284,2.66428437,NaN,0.00000000,
1565030867.80441952,17.00000000,0.20942908,0.00041768,0.00000208,101.36264564,102.17619629,129.82825879,20.31887509,0.00145903,0.00136543,-157.44790876,0.24452620,8.40463067,0.00651719,0.00801276,0.00791478,0.00006638,0.00066822,0.26018507,1.36053691,2.54785890,99.75000000,20.09000000,52.89100000,56.00595474,179.71270752,53.74442673,0.01247956,1.07999817,0.02520814,23.34091240,-0.07150358,0.14546869,0.00040325,0.03029871,3.02987139,NaN,0.00000000,
1565030868.80547094,18.00000000,0.20944616,0.00041683,0.00000212,101.38036858,102.30873439,129.62170208,20.31873234,0.00140816,0.00133516,-157.40746596,0.24457174,8.40225177,0.00644237,0.00700941,0.00679966,0.00006310,0.00066180,0.23219466,1.33852450,2.54803895,99.75000000,20.09000000,52.88800000,54.77703094,177.84091187,53.01229477,0.01247885,1.08242243,0.02521634,23.29620564,-0.08153471,0.14549578,0.00030115,0.02259868,2.25986799,NaN,0.00000000,
1565030869.80456209,19.00000000,0.20944575,0.00041879,0.00000206,101.36589485,102.16867386,131.84453380,20.31957915,0.00145309,0.00135148,-157.39807403,0.24519623,8.40542364,0.00644708,0.00738775,0.00727987,0.00006576,0.00066161,0.22447936,1.31648776,2.54794811,99.75000000,20.09000000,52.88800000,55.86326599,177.95944214,53.40779114,0.01247885,1.08111150,0.02541622,23.50934578,-0.07055833,0.14586729,0.00030120,0.02278525,2.27852526,NaN,0.00000000,
