Time Stamp,Test Time (s),0: O2 (Volts),1: CO2 (Volts),2: CO (Volts),3: Io (Volts),4: I (Volts),5: Pe (Volts),6: CJC0 (Volts),7: TCraw1 (Volts),8: TCraw2 (Volts),9: SampMass (Volts),10: BurnerFlow (Volts),11: BurnerFlowSet (Volts),12: TCraw3 (Volts),13: TCraw4 (Volts),14: TCraw5 (Volts),15: Hfspare (Volts),16: TCraw7 (Volts),17: HeatFlux (Volts),18: CanopyFlow (Volts),19: MarkSig (Volts),System State
8/6/2019 2:38:19 PM,0.00000000,4.33851402,1.01227198,0.99354602,0.65245738,0.51428362,0.10067392,0.20642501,0.00146705,0.00138308,-0.57248964,-0.00088659,2.04782041,0.00667630,0.00629141,0.00214896,0.00004470,0.00079859,0.00005661,3.85226030,2.54779563,
8/6/2019 2:38:20 PM,1.00000000,4.33874923,1.01175127,0.99355899,0.65266988,0.51356177,0.09908584,0.20643523,0.00145546,0.00136948,-0.57351159,-0.00096283,2.04825839,0.00662796,0.00849330,0.00833156,0.00004194,0.00080063,0.00005921,3.84513100,2.54766100,
8/6/2019 2:38:21 PM,2.00000000,4.33866650,1.01168963,0.99339678,0.65259526,0.51380671,0.10053117,0.20643445,0.00148444,0.00134437,-0.57474604,-0.00113153,2.04783501,0.00659733,0.00798804,0.00779246,0.00004671,0.00079677,0.00005470,3.86866660,2.54758638,
8/6/2019 2:38:22 PM,3.00000000,4.33860810,1.01166043,0.99367903,0.65248658,0.51395919,0.10037869,0.20643523,0.00145176,0.00141672,-0.57321798,-0.00106340,2.04806860,0.00656479,0.00831382,0.00812687,0.00004503,0.00079719,0.00005739,3.84483253,2.54762855,
8/6/2019 2:38:23 PM,4.00000000,4.33842156,1.01178209,0.99352817,0.65268935,0.51402084,0.10176237,0.20643571,0.00142042,0.00143794,-0.57365920,-0.00091092,2.04801507,0.00662728,0.00839580,0.00820733,0.00004454,0.00079495,0.00005742,3.82166840,2.54763504,
8/6/2019 2:38:24 PM,5.00000000,4.33935266,1.01186320,0.99369363,0.65295213,0.51461129,0.10171371,0.20642939,0.00146448,0.00140478,-0.57344670,-0.00096445,2.04826812,0.00665417,0.00872369,0.00854074,0.00004597,0.00079612,0.00005573,3.83255457,2.54773886,
8/6/2019 2:38:25 PM,6.00000000,4.33898930,1.01177723,0.99355250,0.65304784,0.51439879,0.10168613,0.20642637,0.00143265,0.00144388,-0.57357485,-0.00116235,2.04796316,0.00664395,0.00828111,0.00808573,0.00004499,0.00079233,0.00005560,3.83387986,2.54776968,
8/6/2019 2:38:26 PM,7.00000000,4.33932346,1.01167503,0.99356224,0.65311435,0.51397542,0.10141037,0.20642974,0.00146692,0.00140452,-0.57289193,-0.00099527,2.04780419,0.00666323,0.00806779,0.00795903,0.00004493,0.00080105,0.00006057,3.87518597,2.54777455,
8/6/2019 2:38:27 PM,8.00000000,4.33929913,1.01187618,0.99363037,0.65312408,0.51536397,0.10178995,0.20642718,0.00140598,0.00140839,-0.57441188,-0.00084279,2.04790476,0.00664019,0.00820026,0.00799265,0.00004568,0.00079846,0.00005619,3.83562528,2.54767559,
8/6/2019 2:38:28 PM,9.00000000,4.33843129,1.01182589,0.99369039,0.65329765,0.51473620,0.09946867,0.20643172,0.00145939,0.00143671,-0.57373382,-0.00099203,2.04768091,0.00658516,0.00805806,0.00787922,0.00004376,0.00079096,0.00005431,3.87948626,2.54776319,
8/6/2019 2:38:29 PM,10.00000000,4.33895524,1.01187293,0.99346653,0.65331062,0.51497303,0.10143632,0.20643146,0.00154877,0.00142094,-0.57312876,-0.00100825,2.04749923,0.00660132,0.00839694,0.00821191,0.00004655,0.00079171,0.00005641,3.88931966,2.54782159,
8/6/2019 2:38:30 PM,11.00000000,4.33837938,1.01171883,0.99342273,0.65344526,0.51452694,0.10177048,0.20644175,0.00146750,0.00141062,-0.57312390,-0.00099527,2.04801831,0.00652994,0.00783020,0.00764997,0.00004525,0.00079259,0.00005619,3.88543302,2.54782645,
8/6/2019 2:38:31 PM,12.00000000,4.33862108,1.01183076,0.99363199,0.65348257,0.51451559,0.10124815,0.20642569,0.00142020,0.00144781,-0.57340128,-0.00096932,2.04802156,0.00657144,0.00861205,0.00838873,0.00004266,0.00079589,0.00005924,3.85210295,2.54781996,
8/6/2019 2:38:32 PM,13.00000000,4.33852375,1.01182427,0.99354277,0.65322790,0.51446368,0.10017754,0.20643438,0.00151029,0.00142892,-0.57344184,-0.00095796,2.04769226,0.00654373,0.00860124,0.00842101,0.00004217,0.00079752,0.00005651,3.82176735,2.54772264,
8/6/2019 2:38:33 PM,14.00000000,4.33882871,1.01178858,0.99354439,0.65343715,0.51425442,0.10012563,0.20643782,0.00147749,0.00140952,-0.57363001,-0.00084441,2.04753491,0.00657209,0.00852406,0.00832910,0.00004334,0.00080053,0.00005856,3.83401287,2.54773724,
8/6/2019 2:38:34 PM,15.00000000,4.33879789,1.01179669,0.99366930,0.65378267,0.51525042,0.10215006,0.20644123,0.00139437,0.00141011,-0.57376627,-0.00093525,2.04800371,0.00656751,0.00853590,0.00839052,0.00004392,0.00079690,0.00005771,3.85471135,2.54781185,
8/6/2019 2:38:35 PM,16.00000000,4.33906230,1.01180967,0.99362388,0.65357990,0.51534775,0.09972334,0.20644421,0.00144164,0.00138746,-0.57542571,-0.00106503,2.04718129,0.00655512,0.00743187,0.00726475,0.00004658,0.00079671,0.00005567,3.88565687,2.54767073,
8/6/2019 2:38:36 PM,17.00000000,4.33892280,1.01167665,0.99352979,0.65349555,0.51417818,0.09966819,0.20643503,0.00147211,0.00140420,-0.57209708,-0.00101798,2.04743110,0.00651800,0.00778704,0.00752720,0.00004626,0.00079894,0.00005781,3.84889761,2.54768695,
8/6/2019 2:38:37 PM,18.00000000,4.33892929,1.01167828,0.99356062,0.65338038,0.51444584,0.10020836,0.20644691,0.00149287,0.00136121,-0.57348401,-0.00088335,2.04810104,0.00647826,0.00797344,0.00782199,0.00004577,0.00079726,0.00005580,3.85548349,2.54776157,
8/6/2019 2:38:38 PM,19.00000000,4.33919369,1.01166368,0.99351357,0.65378429,0.51481082,0.10054577,0.20644752,0.00148388,0.00133993,-0.57252046,-0.00118344,2.04750085,0.00651168,0.00787666,0.00764299,0.00004146,0.00079920,0.00005632,3.85115887,2.54786538,
8/6/2019 2:38:39 PM,20.00000000,4.33943864,1.01173992,0.99350384,0.65388162,0.51441988,0.10048575,0.20644019,0.00149654,0.00135112,-0.57254966,-0.00110396,2.04785772,0.00647274,0.00841323,0.00822664,0.00004493,0.00079593,0.00005450,3.83731230,2.54781185,
8/6/2019 2:38:40 PM,21.00000000,4.33890982,1.01182102,0.99342760,0.65348419,0.51405003,0.10237879,0.20644674,0.00145147,0.00140693,-0.57397390,-0.00085090,2.04777661,0.00656320,0.00779071,0.00760766,0.00004639,0.00079495,0.00005531,3.86213425,2.54777617,
8/6/2019 2:38:41 PM,22.00000000,4.33893740,1.01163448,0.99348437,0.65374698,0.51388133,0.10186619,0.20644051,0.00145634,0.00140644,-0.57317256,-0.00115424,2.04745705,0.00659211,0.00816334,0.00798493,0.00004266,0.00079349,0.00005800,3.86793664,2.54786538,
8/6/2019 2:38:42 PM,23.00000000,4.33917747,1.01163772,0.99348275,0.65364154,0.51469889,0.10093346,0.20643623,0.00149988,0.00141747,-0.57385224,-0.00094336,2.04826812,0.00678194,0.00863830,0.00849385,0.00004532,0.00079476,0.00005622,3.87982853,2.54788972,
8/6/2019 2:38:43 PM,24.00000000,4.33948892,1.01182265,0.99361901,0.65367236,0.51548238,0.09910531,0.20644116,0.00146851,0.00138662,-0.57446379,-0.00088172,2.04769713,0.00676971,0.00784266,0.00764254,0.00004347,0.00079625,0.00005372,3.86506383,2.54781348,
8/6/2019 2:38:44 PM,25.00000000,4.33910448,1.01181454,0.99369687,0.65373887,0.51497303,0.10057334,0.20643980,0.00145540,0.00141075,-0.57337857,-0.00079737,2.04812862,0.00678415,0.00809602,0.00787231,0.00004483,0.00079735,0.00005813,3.86955715,2.54782321,
8/6/2019 2:38:45 PM,26.00000000,4.33899093,1.01176263,0.99349411,0.65344688,0.51489192,0.10154338,0.20644353,0.00144901,0.00136549,-0.57275243,-0.00101636,2.04794207,0.00670151,0.00849765,0.00834049,0.00004743,0.00079998,0.00005483,3.87030009,2.54775832,
8/6/2019 2:38:46 PM,27.00000000,4.33894064,1.01177560,0.99360928,0.65354583,0.51467942,0.10218899,0.20645090,0.00150601,0.00140225,-0.57290491,-0.00091254,2.04758844,0.00663954,0.00851981,0.00840528,0.00004253,0.00080118,0.00005755,3.82951306,2.54775184,
