,File Name,Less Than 5 Pages,Greater Than 66 Pages,Page Count
,0528_001.pdf,No,No,21
,0529_001.pdf,No,No,7
,0530_001.pdf,No,No,10
,0531_001.pdf,No,No,24
,0532_001.pdf,No,No,33
,0533_001.pdf,No,No,42
,0534_001.pdf,No,No,22
,0535_001.pdf,No,No,33
,0536_001.pdf,No,No,21
,0537_001.pdf,No,No,30
,0538_001.pdf,No,No,15
,0539_001.pdf,No,No,39
,0540_001.pdf,No,No,30
,0541_001.pdf,No,No,45
,0542_001.pdf,No,Yes,67
,0543_001.pdf,No,No,21
,0544_001.pdf,No,No,31
,0546_001.pdf,No,No,39
,0547_001.pdf,No,No,24
,0549_001.pdf,No,No,20
,0550_001.pdf,No,No,17
,0551_001.pdf,No,No,22
,0552_001.pdf,No,No,17
,0553_001.pdf,No,No,22
,0554_001.pdf,No,No,13
,0555_001.pdf,No,No,21
,0556_001.pdf,No,No,22
,0557_001.pdf,No,No,30
,0558_001.pdf,No,No,24
,0559_001.pdf,No,No,23
,0560_001.pdf,No,No,17
,0561_001.pdf,No,No,8
,0562_001.pdf,No,No,13
,0563_001.pdf,No,No,15
,0564_001.pdf,No,No,15
,0565_001.pdf,No,No,15
,0566_001.pdf,No,No,15
,0567_001.pdf,No,No,20
,0568_001.pdf,No,No,16
,0569_001.pdf,No,No,48
,0570_001.pdf,No,No,51
,0571_001.pdf,No,No,63
,0572_001.pdf,No,No,39
,0573_001.pdf,No,No,30
,0574_001.pdf,Yes,No,4
,0575_001.pdf,No,No,43
,0576_001.pdf,No,No,30
,0577_001.pdf,No,No,24
,0578_001.pdf,No,No,13
,0581_001.pdf,No,No,20
,0582_001.pdf,No,No,39
,0583_001.pdf,No,No,39
,0584_001.pdf,No,No,10
Totals,53,1,1,1372
