,File Name,Less Than 5 Pages,Greater Than 66 Pages,Page Count
,0944_001.pdf,No,No,40
,0945_001.pdf,No,No,37
,0946_001.pdf,No,No,35
,0947_001.pdf,No,No,41
,0948_001.pdf,No,No,35
,0949_001.pdf,No,No,45
,0950_001.pdf,No,No,19
,0951_001.pdf,No,No,15
,0952_001.pdf,No,No,5
,0953_001.pdf,No,No,22
,0954_001.pdf,No,No,29
,0955_001.pdf,No,No,35
,0956_001.pdf,No,No,23
,0957_001.pdf,No,No,33
,0958_001.pdf,No,No,33
,0959_001.pdf,No,No,43
,0960_001.pdf,No,No,23
,0961_001.pdf,No,No,29
,0962_001.pdf,No,No,21
,0963_001.pdf,No,No,25
,0964_001.pdf,No,No,23
,0965_001.pdf,No,No,25
,0966_001.pdf,No,No,21
,0967_001.pdf,No,No,17
,0968_001.pdf,No,No,19
,0969_001.pdf,No,No,15
,0970_001.pdf,No,No,17
,0971_001.pdf,No,No,27
,0972_001.pdf,No,No,6
,0974_001.pdf,No,No,14
,0975_001.pdf,No,No,11
,0976_001.pdf,No,No,36
,0977_001.pdf,No,No,20
,0978_001.pdf,No,No,15
,0979_001.pdf,No,No,14
,0980_001.pdf,No,No,40
,0981_001.pdf,No,No,59
,0982_001.pdf,No,No,36
,0983_001.pdf,No,No,23
,0984_001.pdf,No,No,42
,0985_001.pdf,No,No,36
,0986_001.pdf,No,No,35
,0987_001.pdf,No,No,39
,0988_001.pdf,No,No,61
,0989_001.pdf,Yes,No,1
,0990_001.pdf,No,No,21
Totals,46,1,0,1261
