,File Name,Less Than 5 Pages,Greater Than 66 Pages,Page Count
,0721_001.pdf,No,No,27
,0722_001.pdf,No,No,14
,0723_001.pdf,No,No,21
,0724_001.pdf,No,No,22
,0725_001.pdf,No,No,27
,0726_001.pdf,No,No,17
,0727_001.pdf,No,No,33
,0728_001.pdf,No,No,6
,0729_001.pdf,Yes,No,1
,0730_001.pdf,No,No,21
,0731_001.pdf,No,No,18
,0732_001.pdf,No,No,6
,0733_001.pdf,No,No,9
,0734_001.pdf,No,No,8
,0735_001.pdf,No,No,20
,0736_001.pdf,No,No,8
,0737_001.pdf,No,No,19
,0738_001.pdf,No,No,31
,0739_001.pdf,No,No,21
,0740_001.pdf,No,No,29
,0741_001.pdf,No,No,20
,0742_001.pdf,No,No,28
,0743_001.pdf,No,No,11
,0744_001.pdf,No,No,14
,0745_001.pdf,No,No,26
,0746_001.pdf,No,No,27
,0747_001.pdf,No,No,25
,0748_001.pdf,No,No,30
,0749_001.pdf,No,No,42
,0750_001.pdf,No,No,38
,0751_001.pdf,No,No,47
,0752_001.pdf,No,No,24
,0753_001.pdf,No,No,44
,0754_001.pdf,No,No,20
,0755_001.pdf,No,No,48
,0756_001.pdf,No,No,41
,0757_001.pdf,No,No,45
,0758_001.pdf,No,No,22
,0759_001.pdf,No,No,65
,0760_001.pdf,No,No,55
,0761_001.pdf,No,Yes,68
,0762_001.pdf,No,No,53
,0763_001.pdf,No,Yes,73
,0764_001.pdf,No,Yes,74
,0765_001.pdf,No,No,55
,0766_001.pdf,No,Yes,70
,0767_001.pdf,No,No,19
,0768_001.pdf,No,No,59
,0769_001.pdf,No,No,17
,0770_001.pdf,No,No,60
,0771_001.pdf,No,No,48
,0772_001.pdf,No,No,60
,0773_001.pdf,No,No,49
,0774_001.pdf,No,No,31
,0776_001.pdf,No,No,46
Totals,55,1,4,1812
