,File Name,Less Than 5 Pages,Greater Than 66 Pages,Page Count
,0486_001.pdf,No,No,14
,0487_001.pdf,No,No,29
,0488_001.pdf,No,No,32
,0489_001.pdf,No,No,33
,0490_001.pdf,No,No,29
,0491_001.pdf,No,No,27
,0492_001.pdf,No,No,21
,0493_001.pdf,No,No,23
,0494_001.pdf,No,No,21
,0495_001.pdf,No,No,18
,0496_001.pdf,No,No,20
,0497_001.pdf,No,No,17
,0499_001.pdf,No,No,29
,0500_001.pdf,No,No,25
,0501_001.pdf,No,No,23
,0502_001.pdf,No,No,39
,0503_001.pdf,No,No,14
,0504_001.pdf,No,No,22
,0505_001.pdf,No,No,21
,0506_001.pdf,No,No,22
,0507_001.pdf,No,No,15
,0508_001.pdf,No,No,22
,0509_001.pdf,No,No,21
,0510_001.pdf,No,No,18
,0511_001.pdf,No,No,22
,0512_001.pdf,No,No,55
,0513_001.pdf,No,No,53
,0514_001.pdf,No,Yes,68
,0515_001.pdf,No,No,56
,0516_001.pdf,No,No,42
,0517_001.pdf,No,No,66
,0518_001.pdf,No,No,39
,0519_001.pdf,No,No,20
,0520_001.pdf,No,No,13
,0521_001.pdf,No,No,39
,0522_001.pdf,No,No,42
Totals,36,0,1,1070
