Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,1.2,0.0,0.0
5.0,,,,,,,,,,,,
10.0,,,,,,,,,,,,
15.0,,,,,,,,,0.0,2.8,0.0,0.0
20.0,,,,,,,,,0.0,3.5,0.0,0.0
25.0,,,,,,,,,0.0,2.3,0.0,0.0
30.0,,,,,,,,,0.0,3.2,0.0,0.0
35.0,,,,,,,,,0.0,34.5,0.0,0.0
40.0,,,,,,,,,0.0,72.9,0.0,0.0
45.0,,,,,,,,,0.0,99.8,0.0,0.0
50.0,,,,,,,,,0.0,60.2,0.0,0.0
55.0,,,,,,,,,0.0,11.5,0.0,0.0
60.0,,,,,,,,,0.0,-4.6,0.0,0.0
65.0,,,,,,,,,0.001,-3.7,103.69,5.487
70.0,,,,,,,,,0.001,0.2,94.53,5.985
75.0,,,,,,,,,0.001,0.7,91.45,4.764
80.0,,,,,,,,,0.001,-0.7,92.44,3.086
90.0,,,,,,,,,0.001,0.0,91.87,4.171
95.0,,,,,,,,,0.012,0.0,2.2,0.063
100.0,,,,,,,,,0.023,0.9,1.15,0.045
105.0,,,,,,,,,0.017,2.8,1.46,0.067
110.0,,,,,,,,,0.001,0.0,91.87,6.216
115.0,,,,,,,,,0.001,0.0,91.55,3.857
120.0,,,,,,,,,0.001,0.2,91.31,2.96
125.0,,,,,,,,,0.001,1.2,90.91,3.064
130.0,,,,,,,,,0.001,2.6,90.83,3.425
135.0,,,,,,,,,0.008,0.5,3.14,0.202
140.0,,,,,,,,,0.023,0.5,1.15,0.065
