Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,,,,
5.0,,,,,,,,,0.0,1.4,0.0,0.0
10.0,,,,,,,,,0.0,-0.2,0.0,0.0
15.0,,,,,,,,,0.0,1.6,0.0,0.0
20.0,,,,,,,,,0.0,2.3,0.0,0.0
25.0,,,,,,,,,0.0,206.7,0.0,0.0
30.0,,,,,,,,,0.0,315.7,0.0,0.0
35.0,,,,,,,,,0.0,247.2,0.0,0.0
40.0,,,,,,,,,0.0,144.5,0.0,0.0
45.0,,,,,,,,,0.0,144.5,0.0,0.0
50.0,,,,,,,,,0.028,136.3,4.81,0.471
55.0,,,,,,,,,0.08,124.5,1.63,0.145
60.0,,,,,,,,,0.102,130.4,1.26,0.092
65.0,,,,,,,,,0.093,123.3,1.39,0.086
70.0,,,,,,,,,0.083,119.0,1.55,0.088
75.0,,,,,,,,,0.08,122.0,1.63,0.076
80.0,,,,,,,,,0.06,114.2,2.09,0.103
85.0,,,,,,,,,0.041,98.6,2.9,0.15
90.0,,,,,,,,,0.049,91.7,2.28,0.126
95.0,,,,,,,,,0.059,85.4,1.82,0.096
100.0,,,,,,,,,0.044,71.1,2.22,0.142
105.0,,,,,,,,,0.034,67.7,2.73,0.196
110.0,,,,,,,,,0.036,59.2,2.46,0.209
115.0,,,,,,,,,0.027,53.7,2.93,0.255
120.0,,,,,,,,,0.02,46.1,3.86,0.384
125.0,,,,,,,,,0.016,49.3,4.66,0.426
130.0,,,,,,,,,0.008,48.0,9.03,0.886
135.0,,,,,,,,,0.016,50.7,4.89,0.447
140.0,,,,,,,,,0.035,50.0,2.19,0.21
