Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-0.6,0.0,0.0
3.0,,,,,,,,,0.0,-0.6,0.0,0.0
6.0,,,,,,,,,0.0,0.0,0.0,0.0
9.0,,,,,,,,,0.0,1.5,0.0,0.0
12.0,,,,,,,,,0.0,-0.6,0.0,0.0
15.0,,,,,,,,,0.116,0.9,0.22,0.004
18.0,,,,,,,,,0.118,2.3,0.21,0.003
21.0,,,,,,,,,0.12,3.8,0.21,0.004
24.0,,,,,,,,,0.121,1.2,0.2,0.006
27.0,,,,,,,,,0.122,4.4,0.2,0.007
30.0,,,,,,,,,0.123,0.9,0.2,0.006
33.0,,,,,,,,,0.126,6.4,0.2,0.011
36.0,,,,,,,,,0.127,4.9,0.2,0.012
39.0,,,,,,,,,0.13,8.0,0.19,0.011
42.0,,,,,,,,,0.131,7.4,0.32,0.014
45.0,,,,,,,,,0.131,19.2,0.75,0.033
48.0,,,,,,,,,0.131,81.6,1.07,0.047
51.0,,,,,,,,,0.13,162.9,1.22,0.052
54.0,,,,,,,,,0.127,219.0,1.31,0.053
57.0,,,,,,,,,0.125,229.1,1.36,0.056
60.0,,,,,,,,,0.122,225.8,1.36,0.06
63.0,,,,,,,,,0.121,216.3,1.32,0.061
66.0,,,,,,,,,0.119,195.7,1.3,0.058
69.0,,,,,,,,,0.117,183.2,1.36,0.061
72.0,,,,,,,,,0.114,195.9,1.55,0.065
75.0,,,,,,,,,0.112,227.7,1.92,0.066
78.0,,,,,,,,,0.109,274.9,2.28,0.069
81.0,,,,,,,,,0.106,332.0,2.55,0.065
84.0,,,,,,,,,0.103,375.5,2.8,0.061
87.0,,,,,,,,,0.098,408.9,3.1,0.058
90.0,,,,,,,,,0.093,428.5,3.34,0.051
93.0,,,,,,,,,0.089,437.9,3.48,0.049
96.0,,,,,,,,,0.084,430.4,3.59,0.043
99.0,,,,,,,,,0.08,421.6,3.79,0.039
102.0,,,,,,,,,0.076,409.6,3.9,0.041
105.0,,,,,,,,,0.072,402.2,4.01,0.042
108.0,,,,,,,,,0.068,390.3,4.17,0.042
111.0,,,,,,,,,0.063,365.8,4.08,0.039
114.0,,,,,,,,,0.059,335.5,4.06,0.04
117.0,,,,,,,,,0.053,305.1,4.43,0.044
120.0,,,,,,,,,0.047,292.5,4.92,0.054
123.0,,,,,,,,,0.041,297.3,5.01,0.057
126.0,,,,,,,,,0.036,273.3,4.86,0.06
129.0,,,,,,,,,0.031,228.9,4.89,0.063
132.0,,,,,,,,,0.026,180.7,4.83,0.05
135.0,,,,,,,,,0.022,124.4,4.69,0.061
138.0,,,,,,,,,0.018,84.2,4.52,0.054
141.0,,,,,,,,,0.014,53.7,4.67,0.049
144.0,,,,,,,,,0.01,30.0,5.2,0.064
147.0,,,,,,,,,0.007,15.2,6.25,0.095
150.0,,,,,,,,,0.004,8.8,0.0,0.0
153.0,,,,,,,,,0.001,4.5,0.0,0.0
156.0,,,,,,,,,0.001,4.3,0.0,0.0
159.0,,,,,,,,,0.001,3.7,0.0,0.0
162.0,,,,,,,,,0.001,1.1,0.0,0.0
165.0,,,,,,,,,0.001,2.0,0.0,0.0
168.0,,,,,,,,,0.001,0.3,0.0,0.0
171.0,,,,,,,,,0.001,0.0,0.0,0.0
174.0,,,,,,,,,0.001,-1.1,0.0,0.0
177.0,,,,,,,,,0.001,-0.3,0.0,0.0
180.0,,,,,,,,,0.001,2.3,0.0,0.0
183.0,,,,,,,,,0.001,1.1,0.0,0.0
186.0,,,,,,,,,0.001,1.7,0.0,0.0
