Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,5.27,,0.0266,,,,,,0.0,0.0,0.0,0.0,0.00239,8e-05,0.0
5.0,5.06,,0.0268,,,,,,0.0,0.0,0.0,0.0,0.18772,0.00617,0.0
10.0,5.08,,0.0266,,,,,,237.4,0.0,0.223,0.0,1.22503,0.01872,0.0003
15.0,5.03,,0.0267,,,,,,403.1,0.98,2.629,0.001,0.48124,0.02037,0.0
20.0,4.81,,0.0263,,,,,,1130.2,13.75,1.588,0.001,0.28542,0.01762,0.0
25.0,4.52,,0.0254,,,,,,2163.3,139.57,0.818,0.004,0.4008,0.03134,0.0
30.0,4.49,,0.0265,,,,,,8479.4,69.65,2.978,0.058,4.86126,0.56576,0.0
35.0,4.44,,0.0265,,,,,,1991.1,15.99,2.266,0.074,2.76043,0.26903,0.0102
40.0,4.49,,0.0266,,,,,,119.0,6.33,0.815,0.029,0.35297,0.07079,0.0004
45.0,4.47,,0.0265,,,,,,24.0,6.31,0.731,0.034,0.68118,0.05247,0.003
50.0,4.45,,0.0266,,,,,,0.0,4.86,0.878,0.043,0.4997,0.05958,0.0003
55.0,4.45,,0.0266,,,,,,0.0,6.32,1.186,0.06,0.93858,0.07469,0.0005
60.0,4.42,,0.0266,,,,,,0.0,4.86,1.113,0.052,0.62178,0.0594,0.0
65.0,4.42,,0.0266,,,,,,0.0,6.32,0.441,0.032,0.11585,0.03526,0.0016
70.0,4.38,,0.0265,,,,,,0.0,5.34,0.603,0.039,0.37415,0.04043,0.0
75.0,4.4,,0.0266,,,,,,0.0,5.35,0.799,0.064,0.65984,0.06361,0.0
80.0,4.36,,0.0266,,,,,,0.0,6.33,0.9,0.078,0.57382,0.07352,0.0
85.0,4.36,,0.0267,,,,,,0.0,5.37,0.804,0.065,0.35263,0.06504,0.0039
90.0,4.35,,0.0265,,,,,,0.0,6.32,0.416,0.062,0.50084,0.04684,0.0
95.0,4.35,,0.0267,,,,,,0.0,6.36,0.061,0.044,0.4403,0.03205,0.0043
100.0,4.32,,0.0265,,,,,,0.0,5.34,0.199,0.038,0.0947,0.02727,0.0
105.0,4.29,,0.0265,,,,,,0.0,5.82,0.194,0.066,0.25434,0.03959,0.0
110.0,4.31,,0.0268,,,,,,0.0,5.39,0.932,0.078,0.07091,0.04602,0.0005
115.0,4.27,,0.0265,,,,,,0.0,6.31,0.484,0.062,0.39071,0.03572,0.0
120.0,4.25,,0.0265,,,,,,0.0,5.81,0.567,0.058,0.0,0.03288,0.0
125.0,4.25,,0.0265,,,,,,0.0,6.79,0.575,0.049,0.0,0.02687,0.004
130.0,4.22,,0.0266,,,,,,0.0,6.32,0.56,0.041,0.05514,0.02178,0.0033
135.0,4.2,,0.0265,,,,,,0.0,6.8,0.593,0.043,0.0,0.02311,0.0032
140.0,4.17,,0.0266,,,,,,0.0,6.33,1.055,0.091,0.0,0.04738,0.0
145.0,4.2,,0.0265,,,,,,0.0,6.8,3.176,0.164,0.0,0.08576,0.0026
150.0,4.17,,0.0266,,,,,,0.0,6.32,1.261,0.08,0.0,0.04121,0.0
155.0,4.15,,0.0266,,,,,,0.0,6.33,1.185,0.077,0.61612,0.03941,0.0
160.0,4.14,,0.0267,,,,,,0.0,6.35,1.479,0.071,0.0,0.03597,0.0
165.0,4.13,,0.0265,,,,,,0.0,6.32,0.966,0.046,0.0,0.02322,0.0
170.0,4.11,,0.0266,,,,,,0.0,5.35,0.708,0.046,0.0,0.02238,0.0033
175.0,4.08,,0.0265,,,,,,0.0,5.34,0.939,0.078,0.0,0.03826,0.0
180.0,4.1,,0.0266,,,,,,0.0,4.87,0.944,0.081,0.5465,0.03946,0.0064
185.0,4.07,,0.0266,,,,,,0.0,4.88,0.57,0.065,0.59101,0.03112,0.0
190.0,4.05,,0.0265,,,,,,0.0,4.84,0.603,0.133,0.0,0.06422,0.0106
195.0,4.05,,0.0265,,,,,,0.0,5.33,1.608,0.19,0.0,0.08864,0.0012
200.0,4.04,,0.0266,,,,,,0.0,4.87,0.449,0.079,0.28511,0.042,0.0
205.0,4.03,,0.0265,,,,,,0.0,5.34,0.124,0.042,0.30926,0.02336,0.004
210.0,4.01,,0.0264,,,,,,0.0,5.31,0.092,0.032,0.14393,0.01743,0.0011
215.0,3.98,,0.0267,,,,,,0.0,5.37,0.261,0.041,0.0,0.02252,0.0033
220.0,3.96,,0.0266,,,,,,0.0,4.37,0.952,0.104,0.0,0.85625,0.0
225.0,3.96,,0.0267,,,,,,0.0,5.38,4.836,0.477,0.80223,0.256,0.0
