Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLRPUA (g/s-m2),HRRPUA (kW/m2)
0.0,,,,,,,,,,0.0
3.0,,,,,,,,,,-1.356
6.0,,,,,,,,,,0.6979
9.0,,,,,,,,,,1.8231
12.0,,,,,,,,,,1.3342
15.0,,,,,,,,,,-4.8061
18.0,,,,,,,,,,0.481
21.0,,,,,,,,,,2.542
24.0,,,,,,,,,,1.3489
27.0,,,,,,,,,,-4.8192
30.0,,,,,,,,,,5.9152
33.0,,,,,,,,,,-2.0621
36.0,,,,,,,,,,-0.0387
39.0,,,,,,,,,,-0.0007
42.0,,,,,,,,,,0.9068
45.0,,,,,,,,,,2.7046
48.0,,,,,,,,,,-2.9958
51.0,,,,,,,,,,1.5749
54.0,,,,,,,,,,-0.9057
57.0,,,,,,,,,,1.1305
60.0,,,,,,,,,,0.8995
63.0,,,,,,,,,,1.1092
66.0,,,,,,,,,,-2.3088
69.0,,,,,,,,,,-0.6801
72.0,,,,,,,,,,-0.1951
75.0,,,,,,,,,,-2.245
78.0,,,,,,,,,,-1.7688
81.0,,,,,,,,,,0.7497
84.0,,,,,,,,,,0.4987
87.0,,,,,,,,,,-0.8985
90.0,,,,,,,,,,0.4662
93.0,,,,,,,,,,-0.4454
96.0,,,,,,,,,,-1.1298
99.0,,,,,,,,,,1.154
102.0,,,,,,,,,,-1.1309
105.0,,,,,,,,,,1.3721
108.0,,,,,,,,,,-1.8176
111.0,,,,,,,,,,-2.9377
114.0,,,,,,,,,,0.9727
117.0,,,,,,,,,,1.859
120.0,,,,,,,,,,-3.8697
123.0,,,,,,,,,,4.3417
126.0,,,,,,,,,,1.3573
129.0,,,,,,,,,,-2.3296
132.0,,,,,,,,,,-1.3782
135.0,,,,,,,,,,0.9422
138.0,,,,,,,,,,0.4715
141.0,,,,,,,,,,-1.1408
144.0,,,,,,,,,,-1.3516
147.0,,,,,,,,,,-0.875
150.0,,,,,,,,,,3.6807
153.0,,,,,,,,,,0.891
156.0,,,,,,,,,,-0.2844
159.0,,,,,,,,,,0.4186
162.0,,,,,,,,,,0.887
165.0,,,,,,,,,,1.1084
168.0,,,,,,,,,,-0.4921
171.0,,,,,,,,,,3.8361
174.0,,,,,,,,,,1.9885
177.0,,,,,,,,,3.3401593866639767,3.3111
