Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,0.5,0.0,0.0
6.0,,,,,,,,,0.0,0.1,0.0,0.0
12.0,,,,,,,,,0.0,0.0,0.0,0.0
18.0,,,,,,,,,0.0,0.1,0.0,0.0
24.0,,,,,,,,,0.0,1.1,0.0,0.0
30.0,,,,,,,,,0.0,-0.3,0.0,0.0
36.0,,,,,,,,,0.085,1.7,0.85,0.135
42.0,,,,,,,,,0.129,100.1,1.18,0.143
48.0,,,,,,,,,0.168,191.5,0.86,0.062
54.0,,,,,,,,,0.153,143.7,1.04,0.07
60.0,,,,,,,,,0.106,168.7,1.75,0.189
66.0,,,,,,,,,0.064,223.0,3.1,0.405
72.0,,,,,,,,,0.031,230.7,5.34,0.619
78.0,,,,,,,,,0.015,182.7,10.03,0.753
84.0,,,,,,,,,0.013,135.8,9.34,0.43
90.0,,,,,,,,,0.011,87.4,8.24,0.414
96.0,,,,,,,,,0.009,43.7,6.86,0.418
102.0,,,,,,,,,0.007,22.7,7.29,0.513
108.0,,,,,,,,,0.009,18.5,5.87,0.38
114.0,,,,,,,,,0.012,22.8,4.32,0.266
120.0,,,,,,,,,0.01,22.4,5.24,0.354
126.0,,,,,,,,,0.008,27.0,6.23,0.347
132.0,,,,,,,,,0.012,23.3,4.27,0.27
138.0,,,,,,,,,0.013,24.4,3.87,0.244
