Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,-0.004,,,,,,,0.0,0.0,0.0
3.0,,-0.008,,,,,,,0.0,0.0,0.0
6.0,,0.004,,,,,,,0.084,0.23,0.0
9.0,,0.196,,,,,,,0.083,0.73,0.018
12.0,,1.327,,,,,,,0.081,2.83,0.072
15.0,,3.748,,,,,,,0.081,5.54,0.102
18.0,,6.117999999999999,,,,,,,0.081,6.51,0.083
21.0,,6.311,,,,,,,0.079,5.27,0.053
24.0,,4.787,,,,,,,0.079,3.91,0.038
27.0,,3.322,,,,,,,0.078,3.23,0.031
30.0,,2.549,,,,,,,0.077,2.91,0.027
33.0,,2.2,,,,,,,0.076,2.74,0.023
36.0,,2.046,,,,,,,0.076,2.68,0.023
39.0,,1.9480000000000002,,,,,,,0.075,2.59,0.023
42.0,,1.8530000000000002,,,,,,,0.074,2.49,0.023
45.0,,1.7890000000000001,,,,,,,0.073,2.5,0.025
48.0,,1.739,,,,,,,0.072,2.47,0.023
51.0,,1.701,,,,,,,0.071,2.45,0.021
54.0,,1.6600000000000001,,,,,,,0.071,2.43,0.02
57.0,,1.624,,,,,,,0.07,2.38,0.016
60.0,,1.578,,,,,,,0.07,2.31,0.014
63.0,,1.5380000000000003,,,,,,,0.069,2.27,0.01
66.0,,1.4809999999999999,,,,,,,0.069,2.21,0.006
69.0,,1.453,,,,,,,0.069,2.19,0.003
72.0,,1.4069999999999998,,,,,,,0.068,2.13,0.0
75.0,,1.368,,,,,,,0.067,2.09,-0.006
78.0,,1.3290000000000002,,,,,,,0.066,2.11,-0.006
81.0,,1.307,,,,,,,0.065,2.09,-0.003
84.0,,1.271,,,,,,,0.064,2.1,-0.005
87.0,,1.2550000000000001,,,,,,,0.063,2.1,-0.005
90.0,,1.219,,,,,,,0.062,2.07,-0.004
93.0,,1.145,,,,,,,0.061,2.02,0.0
96.0,,1.098,,,,,,,0.06,2.04,0.0
99.0,,1.066,,,,,,,0.059,2.02,0.005
102.0,,1.06,,,,,,,0.058,2.05,0.009
105.0,,1.0470000000000002,,,,,,,0.057,2.04,0.013
108.0,,1.016,,,,,,,0.057,2.01,0.011
111.0,,0.991,,,,,,,0.056,2.02,0.009
114.0,,0.988,,,,,,,0.055,2.09,0.012
117.0,,1.011,,,,,,,0.055,2.13,0.011
120.0,,1.023,,,,,,,0.055,2.07,0.005
123.0,,0.971,,,,,,,0.055,2.02,0.0
126.0,,0.9470000000000001,,,,,,,0.055,2.01,0.0
129.0,,0.9520000000000001,,,,,,,0.054,2.01,-0.006
132.0,,0.9400000000000001,,,,,,,0.053,2.02,-0.011
135.0,,0.9570000000000001,,,,,,,0.053,2.01,-0.013
138.0,,0.924,,,,,,,0.053,2.02,-0.013
141.0,,0.934,,,,,,,0.052,2.04,-0.011
144.0,,0.9420000000000001,,,,,,,0.051,2.07,-0.01
147.0,,0.9640000000000001,,,,,,,0.051,2.16,-0.007
150.0,,0.9790000000000001,,,,,,,0.05,2.23,0.0
153.0,,1.003,,,,,,,0.049,2.3,0.006
156.0,,0.998,,,,,,,0.049,2.32,0.01
159.0,,1.042,,,,,,,0.048,2.46,0.018
162.0,,1.086,,,,,,,0.048,2.49,0.019
165.0,,1.086,,,,,,,0.047,2.51,0.018
168.0,,1.077,,,,,,,0.047,2.58,0.014
171.0,,1.109,,,,,,,0.046,2.66,0.012
174.0,,1.112,,,,,,,0.045,2.71,0.006
177.0,,1.124,,,,,,,0.045,2.74,0.0
180.0,,1.1340000000000001,,,,,,,0.044,2.77,0.0
183.0,,1.133,,,,,,,0.044,2.81,0.0
186.0,,1.118,,,,,,,0.043,2.78,-0.007
189.0,,1.128,,,,,,,0.043,2.86,-0.009
192.0,,1.1540000000000001,,,,,,,0.043,2.8,-0.012
195.0,,1.0959999999999999,,,,,,,0.042,2.72,-0.014
198.0,,1.072,,,,,,,0.042,2.73,-0.012
201.0,,1.081,,,,,,,0.041,2.77,-0.011
204.0,,1.055,,,,,,,0.041,2.69,-0.01
207.0,,1.035,,,,,,,0.041,2.66,-0.007
210.0,,1.024,,,,,,,0.041,2.65,0.0
213.0,,1.066,,,,,,,0.04,2.78,0.006
216.0,,1.107,,,,,,,0.04,2.84,0.015
219.0,,1.092,,,,,,,0.04,2.79,0.02
222.0,,1.0690000000000002,,,,,,,0.039,2.76,0.024
225.0,,1.06,,,,,,,0.039,2.81,0.026
228.0,,1.083,,,,,,,0.038,2.88,0.028
231.0,,1.09,,,,,,,0.038,2.9,0.029
234.0,,1.1400000000000001,,,,,,,0.037,3.13,0.033
237.0,,1.21,,,,,,,0.037,3.18,0.026
240.0,,1.2,,,,,,,0.036,3.1,0.022
243.0,,1.2140000000000002,,,,,,,0.036,3.27,0.017
246.0,,1.2550000000000001,,,,,,,0.036,3.23,0.005
249.0,,1.238,,,,,,,0.036,3.27,0.0
252.0,,1.266,,,,,,,0.035,3.33,-0.005
255.0,,1.278,,,,,,,0.035,3.46,-0.009
258.0,,1.3219999999999998,,,,,,,0.034,3.6,-0.01
