Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLRPUA (g/s-m2),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,,,,,,,,0.0,0.0,0.0,21.64,0.0,99.99,0.0,0.0007
5.0,,,,,,,,,0.0,0.0,0.0,99.99,0.0,99.99,0.0,0.0
10.0,,,,,,,,,0.0,0.0,61.8,99.99,0.0,99.99,2.488,0.0
15.0,,,,,,,,,872.24,27.63,278.9,0.75,0.0058,0.54,0.1057,0.0
20.0,,,,,,,,,1209.28,25.53,376.2,0.73,0.0068,0.4913,0.0893,0.0
25.0,,,,,,,,,1638.53,20.79,392.3,0.77,0.0278,0.5006,0.0779,0.0
30.0,,,,,,,,,2081.33,15.81,350.4,0.85,0.0342,0.5409,0.059,0.0
35.0,,,,,,,,,2330.11,11.96,295.7,0.96,0.0588,0.5693,0.0432,0.0
40.0,,,,,,,,,2357.97,9.06,238.8,1.1,0.0714,0.6112,0.0305,0.0
45.0,,,,,,,,,2073.28,7.41,191.7,1.17,0.0745,0.6476,0.0226,0.0
50.0,,,,,,,,,1890.11,5.79,153.7,1.36,0.072,0.7399,0.0223,0.0
55.0,,,,,,,,,1845.92,4.69,130.5,1.57,0.0595,0.7551,0.0237,0.0
60.0,,,,,,,,,1250.95,5.29,111.8,1.3,0.0746,0.6564,0.0178,0.0
65.0,,,,,,,,,1129.28,4.5,101.0,1.52,0.0357,0.875,0.0218,0.0001
70.0,,,,,,,,,1189.51,3.43,91.8,1.96,0.0,1.0661,0.0282,0.0
75.0,,,,,,,,,994.8,3.84,91.9,1.74,0.0131,0.9077,0.0266,0.0001
80.0,,,,,,,,,800.24,4.35,86.7,1.52,0.0271,0.787,0.0197,0.0
85.0,,,,,,,,,779.36,4.41,87.5,1.44,0.0105,0.9012,0.0178,0.0001
90.0,,,,,,,,,728.44,4.35,85.1,1.48,0.0135,0.8751,0.02,0.0001
95.0,,,,,,,,,677.67,4.33,82.7,1.47,0.0091,0.9137,0.0177,0.0
100.0,,,,,,,,,786.07,4.28,86.1,1.54,0.009,0.9151,0.021,0.0001
105.0,,,,,,,,,745.95,4.58,87.8,1.46,0.0103,0.8962,0.0174,0.0001
110.0,,,,,,,,,643.07,5.67,91.0,1.22,0.0168,0.7908,0.0143,0.0001
115.0,,,,,,,,,640.16,5.93,94.2,1.19,0.0224,0.7214,0.0146,0.0
120.0,,,,,,,,,846.5,5.11,99.2,1.41,0.0058,0.9384,0.0151,0.0
125.0,,,,,,,,,1016.19,4.68,103.1,1.64,0.0,1.0179,0.0146,0.0
130.0,,,,,,,,,978.65,5.01,105.4,1.6,0.0,1.0514,0.0148,0.0001
135.0,,,,,,,,,912.58,6.05,115.0,1.38,0.0064,0.9237,0.0117,0.0
140.0,,,,,,,,,831.45,6.89,120.6,1.25,0.0106,0.8574,0.0103,0.0
145.0,,,,,,,,,893.63,6.9,128.5,1.29,0.0096,0.8767,0.0116,0.0
150.0,,,,,,,,,981.76,6.88,133.6,1.34,0.0075,0.9028,0.017,0.0
155.0,,,,,,,,,1089.17,6.94,137.0,1.35,0.0043,0.9476,0.0134,0.0
160.0,,,,,,,,,1004.52,7.99,146.3,1.23,0.0079,0.8881,0.0127,0.0
165.0,,,,,,,,,1030.94,8.69,153.9,1.16,0.0113,0.8391,0.0146,0.0
170.0,,,,,,,,,1108.82,8.45,161.1,1.23,0.007,0.9033,0.0142,0.0001
175.0,,,,,,,,,1107.06,9.07,168.8,1.15,0.0102,0.8658,0.0138,0.0
180.0,,,,,,,,,1081.63,9.72,171.8,1.09,0.0014,0.98,0.0153,0.0
185.0,,,,,,,,,1009.4,10.73,179.2,1.13,0.0,1.0307,0.0152,0.0
190.0,,,,,,,,,963.49,13.02,187.0,1.05,0.0055,0.9046,0.0437,0.0
195.0,,,,,,,,,1192.86,15.87,235.3,0.88,0.0117,0.7826,0.0435,0.0
200.0,,,,,,,,,1244.57,17.44,257.3,0.83,0.012,0.7536,0.0442,0.0
205.0,,,,,,,,,1377.38,18.15,273.3,0.85,0.0178,0.7046,0.0567,0.0
210.0,,,,,,,,,1407.7,19.64,291.6,0.76,0.0183,0.67,0.0617,0.0
215.0,,,,,,,,,1406.04,20.41,305.3,0.73,0.0225,0.667,0.0623,0.0
220.0,,,,,,,,,1516.45,19.39,302.2,0.77,0.0208,0.7093,0.0621,0.0
225.0,,,,,,,,,1518.41,18.77,304.6,0.79,0.0232,0.731,0.0607,0.0
230.0,,,,,,,,,1475.42,19.45,304.0,0.78,0.0243,0.7065,0.0692,0.0
235.0,,,,,,,,,1355.03,20.5,304.2,0.75,0.0268,0.6922,0.0804,0.0
240.0,,,,,,,,,1329.54,20.87,314.5,0.76,0.0281,0.6682,0.0836,0.0
245.0,,,,,,,,,1390.33,20.31,319.0,0.77,0.027,0.7103,0.0758,0.0
250.0,,,,,,,,,1288.1,20.7,324.1,0.77,0.0288,0.7021,0.0721,0.0
255.0,,,,,,,,,1320.19,21.76,324.8,0.76,0.0287,0.6896,0.0668,0.0
260.0,,,,,,,,,1275.39,22.4,333.3,0.75,0.0267,0.7003,0.0858,0.0
265.0,,,,,,,,,1334.04,22.96,342.3,0.78,0.0276,0.6999,0.0821,0.0
270.0,,,,,,,,,1397.85,22.66,355.6,0.82,0.0306,0.6681,0.0937,0.0
275.0,,,,,,,,,1436.45,21.17,366.3,0.84,0.0357,0.6629,0.1059,0.0
280.0,,,,,,,,,1515.49,18.56,369.7,0.88,0.0393,0.6713,0.0827,0.0
285.0,,,,,,,,,1620.24,15.74,349.2,0.95,0.0413,0.7146,0.0701,0.0
290.0,,,,,,,,,1557.66,13.95,312.0,0.98,0.0455,0.727,0.0659,0.0
295.0,,,,,,,,,1658.55,12.02,284.7,1.02,0.0331,0.8067,0.0584,0.0
300.0,,,,,,,,,1647.22,10.69,249.8,1.08,0.022,0.8874,0.0526,0.0
305.0,,,,,,,,,1358.7,10.86,223.3,1.05,0.0283,0.8186,0.0537,0.0
310.0,,,,,,,,,1422.07,10.36,216.3,1.09,0.022,0.8666,0.0434,0.0
315.0,,,,,,,,,1549.0,8.94,211.8,1.24,0.0084,0.9425,0.0513,0.0
