Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLRPUA (g/s-m2),HRRPUA (kW/m2)
0.0,,,,,,,,,,0.0
3.0,,,,,,,,,,0.3886
6.0,,,,,,,,,12.397388059701491,2.658
9.0,,,,,,,,,7.553793103448276,2.1906
12.0,,,,,,,,,13.591125954198471,2.8487
15.0,,,,,,,,,17.892584514721918,3.2815
18.0,,,,,,,,,1.1992574257425743,0.0969
21.0,,,,,,,,,46.23883495145631,2.3813
24.0,,,,,,,,,19.70976253298153,1.494
27.0,,,,,,,,,34.902681231380335,3.5147
30.0,,,,,,,,,25.17080745341615,4.863
33.0,,,,,,,,,5.344334433443345,0.9716
36.0,,,,,,,,,14.404711487559554,5.4421
39.0,,,,,,,,,7.313853806959504,30.2874
42.0,,,,,,,,,6.770540363185879,110.3984
45.0,,,,,,,,,5.565105329889385,200.5881
48.0,,,,,,,,,4.802501015548864,251.8177
51.0,,,,,,,,,4.555476310614295,281.6815
54.0,,,,,,,,,4.425200492371966,296.588
57.0,,,,,,,,,4.40031787210993,308.6999
60.0,,,,,,,,,4.406248504201911,322.1915
63.0,,,,,,,,,4.381985764571152,332.5099
66.0,,,,,,,,,4.38190288048607,343.1455
69.0,,,,,,,,,4.352247424119142,349.2857
72.0,,,,,,,,,4.357748724255887,356.4438
75.0,,,,,,,,,4.35403696917956,363.1232
78.0,,,,,,,,,4.329584060341909,365.7572
81.0,,,,,,,,,4.332037430071142,368.8301
84.0,,,,,,,,,4.34768107398003,374.6362
87.0,,,,,,,,,4.348741021985854,380.7201
90.0,,,,,,,,,4.353555834739544,387.7673
93.0,,,,,,,,,4.35555122179105,395.3107
96.0,,,,,,,,,4.327033131546995,397.708
99.0,,,,,,,,,4.308685457481736,396.7304
102.0,,,,,,,,,4.309990160908331,395.995
105.0,,,,,,,,,4.358182594519059,404.1918
108.0,,,,,,,,,4.321670953183564,405.6329
111.0,,,,,,,,,4.3500152922937385,412.4641
114.0,,,,,,,,,4.321910707667573,413.9807
117.0,,,,,,,,,2.1750933674203483,417.2325
120.0,,,,,,,,,0.0271214146596938,427.5219
123.0,,,,,,,,,0.0431807207383763,420.2222
126.0,,,,,,,,,0.0700464510376701,421.9703
129.0,,,,,,,,,0.1194660019275645,425.6504
132.0,,,,,,,,,0.2052509563696076,434.0099
135.0,,,,,,,,,0.3314040962984745,433.5495
138.0,,,,,,,,,0.5036271853871056,429.776
141.0,,,,,,,,,0.7225991099925505,433.1986
144.0,,,,,,,,,0.9690521319849338,442.2877
147.0,,,,,,,,,1.1982022728926875,437.9101
150.0,,,,,,,,,1.4245529522141729,432.2833
153.0,,,,,,,,,1.6449369240137024,440.3381
156.0,,,,,,,,,1.7950092926840138,447.0774
159.0,,,,,,,,,1.896365984492268,451.3791
162.0,,,,,,,,,1.941819499280852,444.8524
165.0,,,,,,,,,2.0188500199894643,451.4508
168.0,,,,,,,,,2.092057419934621,469.5512
171.0,,,,,,,,,2.120252690983178,470.3823
174.0,,,,,,,,,2.204438448848172,464.7428
177.0,,,,,,,,,2.3387496818687907,458.5514
180.0,,,,,,,,,2.534325523868941,463.0897
183.0,,,,,,,,,2.7286872867803997,472.1494
186.0,,,,,,,,,2.8843698311032244,476.5876
189.0,,,,,,,,,3.004343304428211,478.3924
192.0,,,,,,,,,3.081641079062204,485.152
195.0,,,,,,,,,3.034338557588616,483.6854
198.0,,,,,,,,,2.926986245554292,482.0199
