Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,0.0,,,,,,,0.0,0.0,0.0
5.0,,-0.0044,,,,,,,0.975,0.02,0.001
10.0,,-0.00616,,,,,,,0.975,0.02,0.001
15.0,,-0.0044,,,,,,,0.975,0.02,0.0
20.0,,-0.0044,,,,,,,0.975,0.02,0.001
25.0,,-0.0017600000000000003,,,,,,,0.975,0.02,0.0
30.0,,0.0017600000000000003,,,,,,,0.975,0.02,0.001
35.0,,0.00792,,,,,,,0.975,0.02,0.001
40.0,,0.01056,,,,,,,0.975,0.02,0.001
45.0,,0.02464,,,,,,,0.975,0.02,0.0
50.0,,0.64856,,,,,,,0.014,5.04,0.573
55.0,,0.9143200000000001,,,,,,,0.031,3.07,0.272
60.0,,0.54912,,,,,,,0.04,2.09,0.111
65.0,,0.41624,,,,,,,0.029,2.64,0.095
70.0,,0.27544,,,,,,,0.015,4.29,0.123
75.0,,0.032560000000000006,,,,,,,0.007,5.56,0.226
80.0,,0.0017600000000000003,,,,,,,0.002,103.13,3.924
85.0,,0.01672,,,,,,,0.007,4.03,0.119
90.0,,0.014080000000000002,,,,,,,0.013,1.94,0.077
95.0,,0.01232,,,,,,,0.001,86.54,3.631
100.0,,0.02288,,,,,,,0.001,82.07,2.116
105.0,,0.014960000000000001,,,,,,,0.0,84.29,2.409
110.0,,0.02024,,,,,,,0.011,2.1,0.0
115.0,,0.01232,,,,,,,0.013,1.91,0.053
120.0,,0.01672,,,,,,,0.005,87.52,2.217
125.0,,0.01672,,,,,,,0.005,83.5,3.486
130.0,,0.018480000000000003,,,,,,,0.005,82.71,2.205
135.0,,0.01672,,,,,,,0.004,85.21,5.064
140.0,,0.014080000000000002,,,,,,,0.004,82.68,3.554
145.0,,-0.0044,,,,,,,0.004,83.83,3.717
150.0,,0.01056,,,,,,,0.004,84.22,2.394
155.0,,0.00792,,,,,,,0.009,2.51,0.108
160.0,,0.00792,,,,,,,0.01,2.49,0.103
165.0,,0.0044,,,,,,,0.008,3.01,0.15
170.0,,0.018480000000000003,,,,,,,0.008,2.92,0.076
175.0,,0.0,,,,,,,0.008,3.01,0.125
180.0,,0.00792,,,,,,,0.008,2.91,0.054
185.0,,0.0044,,,,,,,0.011,2.27,0.079
190.0,,0.01672,,,,,,,0.022,1.1,0.024
195.0,,0.02024,,,,,,,0.012,1.99,0.063
200.0,,0.014080000000000002,,,,,,,0.012,1.96,0.122
205.0,,-0.0017600000000000003,,,,,,,0.012,1.92,0.087
210.0,,0.00616,,,,,,,0.015,1.57,0.077
215.0,,0.0017600000000000003,,,,,,,0.013,1.83,0.083
220.0,,0.00616,,,,,,,0.013,1.89,0.081
225.0,,0.00616,,,,,,,0.013,1.84,0.048
