Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-1.2,0.0,0.0
5.0,,,,,,,,,0.0,-2.4,0.0,0.0
10.0,,,,,,,,,0.0,-0.2,0.0,0.0
15.0,,,,,,,,,0.0,0.5,0.0,0.0
20.0,,,,,,,,,0.0,0.5,0.0,0.0
25.0,,,,,,,,,0.0,-0.2,0.0,0.0
30.0,,,,,,,,,0.029,1.2,0.86,0.028
35.0,,,,,,,,,0.029,3.2,0.89,0.047
40.0,,,,,,,,,0.003,-1.5,86.56,3.134
45.0,,,,,,,,,0.021,1.2,1.24,0.042
50.0,,,,,,,,,0.021,1.5,1.31,0.029
55.0,,,,,,,,,0.021,0.0,1.28,0.042
60.0,,,,,,,,,0.021,-0.2,1.28,0.022
65.0,,,,,,,,,0.034,0.7,0.77,0.017
70.0,,,,,,,,,0.046,-2.4,0.54,0.018
75.0,,,,,,,,,0.011,-2.9,2.28,0.07
80.0,,,,,,,,,0.011,-1.5,2.34,0.046
85.0,,,,,,,,,0.011,-1.2,2.3,0.049
90.0,,,,,,,,,0.001,0.2,88.16,4.096
95.0,,,,,,,,,0.014,-0.2,1.78,0.0
100.0,,,,,,,,,0.002,-1.7,85.94,1.678
105.0,,,,,,,,,0.01,0.7,2.53,0.036
110.0,,,,,,,,,0.005,0.0,90.56,1.671
115.0,,,,,,,,,0.005,-2.4,87.57,2.848
120.0,,,,,,,,,0.005,-1.9,81.79,0.0
125.0,,,,,,,,,0.01,0.5,2.3,0.058
130.0,,,,,,,,,0.011,-1.4,2.25,0.061
135.0,,,,,,,,,0.011,-0.5,2.29,0.043
140.0,,,,,,,,,0.011,0.7,2.39,0.046
145.0,,,,,,,,,0.025,-1.0,1.03,0.022
150.0,,,,,,,,,0.067,-0.7,0.38,0.016
