Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,0.019,,,,,,,0.0,0.0,0.0
3.0,,0.024,,,,,,,0.0,0.0,0.0
6.0,,0.013999999999999999,,,,,,,0.0,0.0,0.0
9.0,,0.017,,,,,,,0.0,0.0,0.0
12.0,,0.002,,,,,,,0.0,0.0,0.0
15.0,,0.006999999999999999,,,,,,,0.0,0.0,0.0
18.0,,0.0,,,,,,,0.0,0.0,0.0
21.0,,-0.012,,,,,,,0.0,0.0,0.0
24.0,,0.019,,,,,,,0.0,0.0,0.0
27.0,,0.013999999999999999,,,,,,,0.0,0.0,0.0
30.0,,0.0,,,,,,,0.0,0.0,0.0
33.0,,0.012,,,,,,,0.106,0.15,0.011
36.0,,0.026000000000000002,,,,,,,0.104,0.16,0.016
39.0,,0.028999999999999998,,,,,,,0.101,0.17,0.022
42.0,,0.040999999999999995,,,,,,,0.098,0.19,0.03
45.0,,0.07200000000000001,,,,,,,0.096,0.21,0.037
48.0,,0.449,,,,,,,0.094,0.21,0.03
51.0,,1.268,,,,,,,0.092,1.72,0.013
54.0,,1.915,,,,,,,0.09,2.35,0.007
57.0,,2.237,,,,,,,0.088,2.7,0.005
60.0,,2.334,,,,,,,0.087,2.79,0.006
63.0,,2.3440000000000003,,,,,,,0.086,2.84,0.006
66.0,,2.233,,,,,,,0.084,2.77,0.006
69.0,,2.015,,,,,,,0.083,2.53,0.009
72.0,,1.7480000000000002,,,,,,,0.083,2.23,0.009
75.0,,1.527,,,,,,,0.082,2.01,0.008
78.0,,1.35,,,,,,,0.081,1.83,0.008
81.0,,1.209,,,,,,,0.08,1.71,0.006
84.0,,1.109,,,,,,,0.079,1.6,0.005
87.0,,0.9940000000000001,,,,,,,0.078,1.51,0.004
90.0,,0.9309999999999999,,,,,,,0.077,1.44,0.003
93.0,,0.861,,,,,,,0.076,1.36,0.006
96.0,,0.826,,,,,,,0.075,1.34,0.01
99.0,,0.8140000000000001,,,,,,,0.073,1.35,0.019
102.0,,0.777,,,,,,,0.07,1.34,0.023
105.0,,0.75,,,,,,,0.068,1.32,0.031
108.0,,0.7170000000000001,,,,,,,0.067,1.28,0.039
111.0,,0.6940000000000001,,,,,,,0.065,1.27,0.04
114.0,,0.685,,,,,,,0.063,1.31,0.043
117.0,,0.6829999999999999,,,,,,,0.062,1.33,0.043
120.0,,0.672,,,,,,,0.061,1.33,0.048
123.0,,0.6709999999999999,,,,,,,0.061,1.31,0.049
126.0,,0.649,,,,,,,0.06,1.3,0.05
129.0,,0.65,,,,,,,0.059,1.29,0.052
132.0,,0.623,,,,,,,0.058,1.27,0.055
135.0,,0.612,,,,,,,0.058,1.25,0.057
138.0,,0.603,,,,,,,0.057,1.25,0.054
141.0,,0.619,,,,,,,0.056,1.29,0.048
144.0,,0.5920000000000001,,,,,,,0.056,1.28,0.047
147.0,,0.588,,,,,,,0.055,1.28,0.05
150.0,,0.5579999999999999,,,,,,,0.054,1.28,0.053
153.0,,0.546,,,,,,,0.054,1.25,0.065
156.0,,0.538,,,,,,,0.053,1.28,0.064
159.0,,0.562,,,,,,,0.053,1.32,0.063
162.0,,0.557,,,,,,,0.053,1.3,0.064
165.0,,0.58,,,,,,,0.052,1.36,0.055
168.0,,0.594,,,,,,,0.052,1.39,0.056
171.0,,0.609,,,,,,,0.052,1.41,0.056
174.0,,0.598,,,,,,,0.051,1.43,0.059
177.0,,0.605,,,,,,,0.05,1.44,0.062
180.0,,0.5770000000000001,,,,,,,0.05,1.42,0.066
183.0,,0.604,,,,,,,0.05,1.44,0.071
186.0,,0.606,,,,,,,0.049,1.45,0.07
189.0,,0.5910000000000001,,,,,,,0.049,1.44,0.068
192.0,,0.5750000000000001,,,,,,,0.049,1.41,0.062
195.0,,0.5720000000000001,,,,,,,0.049,1.37,0.06
198.0,,0.556,,,,,,,0.049,1.34,0.06
201.0,,0.529,,,,,,,0.049,1.34,0.058
204.0,,0.54,,,,,,,0.048,1.33,0.06
207.0,,0.5579999999999999,,,,,,,0.048,1.37,0.056
210.0,,0.564,,,,,,,0.048,1.37,0.051
213.0,,0.545,,,,,,,0.048,1.38,0.048
216.0,,0.5670000000000001,,,,,,,0.047,1.42,0.049
219.0,,0.5579999999999999,,,,,,,0.047,1.45,0.048
222.0,,0.555,,,,,,,0.047,1.47,0.051
225.0,,0.544,,,,,,,0.046,1.48,0.055
228.0,,0.5479999999999999,,,,,,,0.046,1.5,0.056
231.0,,0.549,,,,,,,0.046,1.52,0.058
234.0,,0.541,,,,,,,0.046,1.52,0.06
237.0,,0.544,,,,,,,0.046,1.53,0.061
240.0,,0.563,,,,,,,0.046,1.53,0.064
243.0,,0.554,,,,,,,0.046,1.52,0.067
246.0,,0.54,,,,,,,0.046,1.5,0.068
249.0,,0.541,,,,,,,0.046,1.51,0.068
252.0,,0.559,,,,,,,0.046,1.54,0.07
255.0,,0.5650000000000001,,,,,,,0.045,1.55,0.072
258.0,,0.56,,,,,,,0.045,1.56,0.072
261.0,,0.5670000000000001,,,,,,,0.045,1.55,0.072
264.0,,0.5710000000000001,,,,,,,0.045,1.55,0.068
267.0,,0.562,,,,,,,0.045,1.54,0.06
270.0,,0.549,,,,,,,0.044,1.55,0.058
273.0,,0.554,,,,,,,0.044,1.55,0.06
276.0,,0.555,,,,,,,0.043,1.56,0.06
279.0,,0.544,,,,,,,0.044,1.52,0.062
282.0,,0.5579999999999999,,,,,,,0.044,1.52,0.06
285.0,,0.5650000000000001,,,,,,,0.044,1.52,0.057
288.0,,0.584,,,,,,,0.044,1.53,0.053
291.0,,0.585,,,,,,,0.044,1.56,0.05
294.0,,0.583,,,,,,,0.044,1.56,0.047
297.0,,0.5770000000000001,,,,,,,0.044,1.56,0.046
300.0,,0.583,,,,,,,0.043,1.57,0.049
303.0,,0.5970000000000001,,,,,,,0.044,1.58,0.052
306.0,,0.608,,,,,,,0.044,1.58,0.055
309.0,,0.59,,,,,,,0.044,1.58,0.058
312.0,,0.59,,,,,,,0.044,1.59,0.06
315.0,,0.598,,,,,,,0.044,1.6,0.062
318.0,,0.606,,,,,,,0.043,1.65,0.063
321.0,,0.598,,,,,,,0.043,1.66,0.06
324.0,,0.604,,,,,,,0.043,1.65,0.06
327.0,,0.61,,,,,,,0.044,1.67,0.058
330.0,,0.611,,,,,,,0.044,1.72,0.056
333.0,,0.639,,,,,,,0.044,1.77,0.055
336.0,,0.653,,,,,,,0.044,1.77,0.053
339.0,,0.632,,,,,,,0.044,1.77,0.05
342.0,,0.626,,,,,,,0.043,1.74,0.05
345.0,,0.626,,,,,,,0.043,1.79,0.052
348.0,,0.635,,,,,,,0.043,1.79,0.05
351.0,,0.634,,,,,,,0.042,1.8,0.047
354.0,,0.627,,,,,,,0.042,1.8,0.044
357.0,,0.638,,,,,,,0.042,1.81,0.045
360.0,,0.638,,,,,,,0.042,1.8,0.047
363.0,,0.62,,,,,,,0.042,1.79,0.051
366.0,,0.62,,,,,,,0.042,1.76,0.052
369.0,,0.6,,,,,,,0.041,1.75,0.053
372.0,,0.5870000000000001,,,,,,,0.041,1.74,0.056
375.0,,0.596,,,,,,,0.04,1.76,0.061
378.0,,0.58,,,,,,,0.04,1.78,0.067
381.0,,0.6,,,,,,,0.04,1.78,0.066
384.0,,0.588,,,,,,,0.039,1.78,0.067
387.0,,0.593,,,,,,,0.039,1.82,0.065
390.0,,0.593,,,,,,,0.038,1.84,0.066
393.0,,0.5870000000000001,,,,,,,0.038,1.87,0.06
396.0,,0.5870000000000001,,,,,,,0.037,1.92,0.063
399.0,,0.5910000000000001,,,,,,,0.037,1.95,0.062
402.0,,0.5770000000000001,,,,,,,0.036,1.95,0.061
405.0,,0.561,,,,,,,0.036,1.95,0.055
408.0,,0.552,,,,,,,0.036,1.98,0.052
411.0,,0.5479999999999999,,,,,,,0.035,1.96,0.051
414.0,,0.536,,,,,,,0.035,1.98,0.048
417.0,,0.551,,,,,,,0.034,2.01,0.047
420.0,,0.5660000000000001,,,,,,,0.034,2.08,0.047
423.0,,0.562,,,,,,,0.033,2.11,0.054
426.0,,0.554,,,,,,,0.032,2.11,0.059
429.0,,0.547,,,,,,,0.032,2.12,0.062
432.0,,0.547,,,,,,,0.031,2.13,0.065
435.0,,0.543,,,,,,,0.03,2.2,0.073
438.0,,0.546,,,,,,,0.03,2.24,0.085
441.0,,0.527,,,,,,,0.029,2.24,0.096
444.0,,0.493,,,,,,,0.028,2.22,0.099
447.0,,0.489,,,,,,,0.028,2.22,0.099
450.0,,0.49100000000000005,,,,,,,0.027,2.26,0.096
453.0,,0.494,,,,,,,0.027,2.3,0.092
