Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,,,,
5.0,,,,,,,,,,,,
10.0,,,,,,,,,0.0,0.0,0.0,0.0
15.0,,,,,,,,,0.0,-0.2,0.0,0.0
20.0,,,,,,,,,28.824,23.9,0.0,0.0
25.0,,,,,,,,,33.312,166.4,0.0,0.001
30.0,,,,,,,,,0.133,174.0,1.13,0.083
35.0,,,,,,,,,0.106,161.7,1.54,0.063
40.0,,,,,,,,,0.081,167.9,2.01,0.064
45.0,,,,,,,,,0.091,112.3,1.45,0.049
50.0,,,,,,,,,0.086,79.7,1.27,0.067
55.0,,,,,,,,,0.038,61.4,2.21,0.19
60.0,,,,,,,,,0.029,73.2,3.24,0.322
65.0,,,,,,,,,0.074,73.8,1.26,0.126
70.0,,,,,,,,,0.088,69.4,1.01,0.096
75.0,,,,,,,,,0.053,63.8,1.64,0.133
80.0,,,,,,,,,0.026,65.8,3.03,0.255
85.0,,,,,,,,,0.023,31.4,2.73,0.257
90.0,,,,,,,,,0.025,26.8,2.34,0.24
95.0,,,,,,,,,0.022,29.2,2.67,0.257
100.0,,,,,,,,,0.042,29.6,1.34,0.139
105.0,,,,,,,,,0.073,25.1,0.75,0.077
110.0,,,,,,,,,0.053,28.6,1.07,0.102
115.0,,,,,,,,,0.021,25.7,2.72,0.262
120.0,,,,,,,,,0.015,26.5,3.85,0.341
125.0,,,,,,,,,0.031,25.1,1.8,0.179
130.0,,,,,,,,,0.144,24.3,0.38,0.037
135.0,,,,,,,,,0.168,26.1,0.33,0.03
140.0,,,,,,,,,,,,
145.0,,,,,,,,,0.168,26.8,0.33,0.031
150.0,,,,,,,,,0.168,25.2,0.33,0.028
155.0,,,,,,,,,0.005,23.6,199.33,16.872
160.0,,,,,,,,,0.013,25.4,4.29,0.348
165.0,,,,,,,,,0.017,22.3,3.18,0.245
170.0,,,,,,,,,0.02,23.9,2.73,0.206
175.0,,,,,,,,,0.017,23.4,3.28,0.291
180.0,,,,,,,,,0.008,21.4,6.67,0.47
185.0,,,,,,,,,0.002,23.6,197.09,13.351
190.0,,,,,,,,,0.007,23.8,7.99,0.617
195.0,,,,,,,,,0.019,22.8,2.9,0.202
200.0,,,,,,,,,0.025,23.2,2.15,0.144
205.0,,,,,,,,,0.018,22.9,3.0,0.175
210.0,,,,,,,,,0.002,22.5,197.36,0.0
215.0,,,,,,,,,0.002,23.9,194.06,12.18
220.0,,,,,,,,,0.002,23.2,196.29,12.955
225.0,,,,,,,,,0.014,22.3,3.98,0.278
