Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLR (g/s),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,0.009000000000000001,,,,,,,0.0,0.0,22.82,0.0,4.1002,0.1617,0.0009
5.0,,0.011000000000000001,,,,,,,0.0,0.0,22.58,0.0,44.8499,0.1727,0.0
10.0,,0.001,,,,,,,91.48,0.0517,2.37,0.0,3.3429,0.0078,0.0
15.0,,0.11,,,,,,,52.61,0.1645,3.27,0.0,1.5541,0.0248,0.0
20.0,,3.055,,,,,,,758.04,0.2891,2.55,0.0002,0.9692,0.0469,0.0
25.0,,7.147,,,,,,,1077.96,0.36060000000000003,2.2,0.0013,0.7596,0.0507,0.0
30.0,,9.352,,,,,,,1261.97,0.3945,2.07,0.0068,0.712,0.0546,0.0
35.0,,10.693,,,,,,,1362.69,0.4254,2.17,0.0058,0.7347,0.0617,0.0
40.0,,11.347000000000001,,,,,,,1311.47,0.4539,2.27,0.0139,0.707,0.0575,0.0
45.0,,12.417000000000002,,,,,,,1280.21,0.47350000000000003,2.15,0.0129,0.6731,0.0632,0.0
50.0,,13.272,,,,,,,1349.17,0.4819,2.33,0.021,0.6711,0.0564,0.0
55.0,,13.742,,,,,,,1317.85,0.48490000000000005,2.22,0.0218,0.6454,0.0524,0.0
60.0,,14.450999999999999,,,,,,,1341.14,0.4721,2.23,0.0288,0.6396,0.058,0.0
65.0,,14.173,,,,,,,1451.74,0.4466,2.22,0.0308,0.6377,0.0596,0.0
70.1,,13.288,,,,,,,1513.27,0.42,2.05,0.0422,0.5823,0.0596,0.0
75.0,,12.995000000000001,,,,,,,1627.72,0.38060000000000005,1.89,0.0498,0.5566,0.0624,0.0
80.0,,12.009,,,,,,,1858.37,0.33,1.91,0.0587,0.5479,0.0654,0.0
85.0,,10.385,,,,,,,1985.28,0.2779,1.68,0.0746,0.5175,0.0782,0.0
90.0,,8.856,,,,,,,2206.82,0.22690000000000002,1.61,0.0831,0.4808,0.0649,0.0
95.0,,7.156000000000001,,,,,,,2667.86,0.1716,1.46,0.1305,0.4172,0.0751,0.0
100.0,,5.53,,,,,,,4132.74,0.09910000000000001,1.45,0.1766,0.3676,0.1091,0.0
105.0,,3.669,,,,,,,8443.16,0.0367,1.51,0.284,0.645,0.1675,0.0
110.0,,1.772,,,,,,,9999.99,0.0061,5.63,0.0,3.3234,0.7206,0.0
115.0,,0.5660000000000001,,,,,,,9999.99,0.0018,17.41,0.0,8.2353,2.276,0.0002
120.0,,0.308,,,,,,,1531.97,0.0077,3.8,0.0,1.807,0.4815,0.0
125.0,,0.23600000000000002,,,,,,,1073.98,0.0051,5.51,0.0,2.3587,0.6521,0.0
130.0,,0.18,,,,,,,444.07,0.0028000000000000004,9.48,0.0,3.8534,1.0547,0.0
135.0,,0.155,,,,,,,0.0,-0.005,26.46,0.0,8.5118,2.7282,0.0009
140.0,,0.121,,,,,,,0.0,-0.0034000000000000002,24.85,0.0,9.0908,2.5209,0.0004
145.0,,0.10400000000000001,,,,,,,429.34,0.0014000000000000002,17.59,0.0,3.1817,1.6886,0.0005
150.0,,0.094,,,,,,,409.17,0.0034999999999999996,6.15,0.2423,0.0,0.6337,0.0002
155.0,,0.08900000000000001,,,,,,,367.84,0.0026000000000000003,7.99,0.1352,0.5801,0.7854,0.0003
160.0,,0.07400000000000001,,,,,,,1032.85,0.0017000000000000001,11.94,0.0,2.5469,1.1368,0.0004
165.0,,0.066,,,,,,,0.0,-0.005600000000000001,19.66,0.0,6.2182,1.8066,0.0
170.0,,0.061,,,,,,,0.0,-0.004,19.0,0.0,6.3017,1.7097,0.0006
175.0,,0.057999999999999996,,,,,,,592.97,0.005200000000000001,3.6,0.0,1.6595,0.3113,0.0
180.0,,0.047,,,,,,,437.67,0.0009,21.53,0.0,8.5762,1.7796,0.0
185.0,,0.034,,,,,,,4498.86,0.0003,67.59,0.0,21.1341,5.4042,0.0126
190.0,,0.033,,,,,,,1129.97,0.001,19.54,0.0,5.8634,1.4798,0.0072
195.0,,0.033,,,,,,,1458.74,0.0022,8.6,0.0,2.8899,0.6142,0.0032
200.0,,0.027999999999999997,,,,,,,0.0,-0.0001,19.38,0.0,5.878,1.2953,0.0039
205.0,,0.035,,,,,,,936.09,0.0023,8.7,0.0,2.9159,0.5367,0.0022
210.0,,0.031000000000000003,,,,,,,0.0,-0.0029,20.94,0.0,5.7209,1.2076,0.0044
215.0,,0.023,,,,,,,9497.39,0.0003,76.26,0.0,14.8224,4.1663,0.0027
220.0,,0.031000000000000003,,,,,,,2996.49,0.0008,26.75,0.0,3.9087,1.3753,0.0001
225.0,,0.015,,,,,,,961.1,0.0028000000000000004,7.73,0.0,1.3723,0.3808,0.0
230.0,,0.023,,,,,,,9498.36,0.0003,83.45,0.0,9.5321,3.7563,0.0009
235.0,,0.026000000000000002,,,,,,,333.29,0.0015,15.04,0.0,2.4553,0.6638,0.002
240.0,,0.026000000000000002,,,,,,,246.12,0.0016,14.38,0.0,3.8581,0.5954,0.0011
245.0,,0.024,,,,,,,0.0,-0.0013000000000000002,24.45,0.0,8.2678,0.9474,0.0052
250.0,,0.025,,,,,,,369.69,0.0025,10.0,0.0,2.5734,0.3737,0.0
255.0,,0.026000000000000002,,,,,,,0.0,-0.0002,24.02,0.0,5.6037,0.8921,0.0017
260.0,,0.02,,,,,,,0.0,-0.0036,24.25,0.0,5.3988,0.8714,0.0018
265.0,,0.019,,,,,,,770.83,0.0016,16.32,0.0062,0.9306,0.5499,0.0
270.0,,0.033,,,,,,,196.79,0.0048,5.31,0.0106,0.639,0.1753,0.0008
