Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,-0.00616,,,,,,,0.0,0.0,0.0
5.0,,-0.0017600000000000003,,,,,,,0.0,0.0,0.0
10.0,,-0.01056,,,,,,,0.0,0.0,0.0
15.0,,0.0,,,,,,,0.0,0.0,0.0
20.0,,0.01232,,,,,,,0.0,0.0,0.0
25.0,,0.27280000000000004,,,,,,,0.0,0.0,0.0
30.0,,1.2936,,,,,,,0.0,0.0,0.0
35.0,,1.48544,,,,,,,0.0,0.0,0.0
40.0,,0.8905600000000001,,,,,,,0.0,0.0,0.0
45.0,,0.62568,,,,,,,0.0,0.0,0.0
50.0,,0.4576,,,,,,,0.0,0.0,0.0
55.0,,0.34672000000000003,,,,,,,0.0,0.0,0.0
60.0,,0.24728000000000003,,,,,,,0.001,232.83,11.589
65.0,,0.23320000000000002,,,,,,,0.013,4.62,0.289
70.0,,0.24728000000000003,,,,,,,0.012,4.89,0.285
75.0,,0.29128000000000004,,,,,,,0.009,6.74,0.34
80.0,,0.36256000000000005,,,,,,,0.004,246.82,9.978
85.0,,0.42504,,,,,,,0.015,5.12,0.167
90.0,,0.46728000000000003,,,,,,,0.045,1.76,0.046
95.0,,0.48224,,,,,,,0.048,1.64,0.055
100.0,,0.43296000000000007,,,,,,,0.015,5.39,0.195
105.0,,0.4136,,,,,,,0.0,275.3,10.703
110.0,,0.36960000000000004,,,,,,,0.009,7.79,0.308
115.0,,0.33088,,,,,,,0.026,2.64,0.123
120.0,,0.34496000000000004,,,,,,,0.039,1.74,0.089
125.0,,0.3256,,,,,,,0.028,2.35,0.117
130.0,,0.31152,,,,,,,0.017,3.76,0.213
135.0,,0.2684,,,,,,,0.016,3.92,0.224
140.0,,0.25608000000000003,,,,,,,0.01,6.28,0.463
145.0,,0.27280000000000004,,,,,,,0.01,6.0,0.393
150.0,,0.25256,,,,,,,0.012,4.67,0.321
155.0,,0.24816000000000002,,,,,,,0.006,9.03,0.564
160.0,,0.22792,,,,,,,0.002,193.11,14.527
165.0,,0.22440000000000002,,,,,,,0.004,191.68,13.558
170.0,,0.19976,,,,,,,0.017,3.07,0.262
175.0,,0.19976,,,,,,,0.03,1.62,0.148
180.0,,0.18568,,,,,,,0.021,2.37,0.223
185.0,,0.19360000000000002,,,,,,,0.002,177.69,16.864
190.0,,0.19624000000000003,,,,,,,0.002,177.81,16.582
195.0,,0.19448000000000001,,,,,,,0.002,182.4,14.446
200.0,,0.20416,,,,,,,0.016,3.19,0.291
205.0,,0.21912,,,,,,,0.028,1.82,0.156
210.0,,0.20240000000000002,,,,,,,0.014,3.76,0.281
215.0,,0.19272,,,,,,,0.002,180.16,15.095
220.0,,0.19008000000000003,,,,,,,0.003,182.46,15.802
225.0,,0.19272,,,,,,,0.007,6.82,0.475
230.0,,0.20152,,,,,,,0.013,3.9,0.304
235.0,,0.22264000000000003,,,,,,,0.012,4.31,0.358
240.0,,0.21296,,,,,,,0.015,3.46,0.233
245.0,,0.21824000000000002,,,,,,,0.021,2.5,0.191
250.0,,0.2068,,,,,,,0.011,4.84,0.324
255.0,,0.21912,,,,,,,0.011,4.87,0.364
260.0,,0.20064,,,,,,,0.011,4.88,0.425
265.0,,0.20240000000000002,,,,,,,0.011,4.64,0.317
270.0,,0.2112,,,,,,,0.013,4.16,0.306
275.0,,0.22352,,,,,,,0.005,192.02,13.142
280.0,,0.21912,,,,,,,0.01,5.35,0.4
285.0,,0.21208000000000002,,,,,,,0.027,1.95,0.142
290.0,,0.198,,,,,,,0.029,1.84,0.13
295.0,,0.22,,,,,,,0.014,3.82,0.247
300.0,,0.22352,,,,,,,0.005,193.39,14.33
305.0,,0.22528000000000004,,,,,,,0.003,192.8,14.645
310.0,,0.19888000000000003,,,,,,,0.001,189.89,13.474
315.0,,0.19888000000000003,,,,,,,0.004,190.41,10.732
320.0,,0.20504000000000003,,,,,,,0.01,5.47,0.359
325.0,,0.198,,,,,,,0.015,3.56,0.214
330.0,,0.198,,,,,,,0.026,2.06,0.126
335.0,,0.19712,,,,,,,0.025,2.14,0.128
340.0,,0.20152,,,,,,,0.007,7.93,0.499
345.0,,0.2112,,,,,,,0.001,191.99,12.132
350.0,,0.2068,,,,,,,0.004,194.87,12.387
355.0,,0.19976,,,,,,,0.002,196.56,12.43
360.0,,0.23144,,,,,,,0.001,197.46,10.921
365.0,,0.20504000000000003,,,,,,,0.004,194.47,11.996
