Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,0.2,0.0,0.0
5.0,,,,,,,,,0.0,1.4,0.0,0.0
10.0,,,,,,,,,0.0,0.2,0.0,0.0
15.0,,,,,,,,,0.0,0.2,0.0,0.0
20.0,,,,,,,,,0.0,0.7,0.0,0.0
25.0,,,,,,,,,0.0,5.8,0.0,0.0
30.0,,,,,,,,,0.06,131.8,2.2,0.123
35.0,,,,,,,,,0.107,220.1,1.58,0.094
40.0,,,,,,,,,0.126,190.3,1.42,0.055
45.0,,,,,,,,,0.097,166.0,1.71,0.052
50.0,,,,,,,,,0.072,122.5,1.95,0.07
55.0,,,,,,,,,0.085,95.9,1.43,0.082
60.0,,,,,,,,,0.088,102.2,1.33,0.113
65.0,,,,,,,,,0.081,105.7,1.43,0.122
70.0,,,,,,,,,0.076,77.9,1.3,0.112
75.0,,,,,,,,,0.038,60.4,2.25,0.171
80.0,,,,,,,,,0.038,62.3,2.23,0.141
85.0,,,,,,,,,0.078,56.3,1.03,0.063
90.0,,,,,,,,,0.06,52.4,1.28,0.077
95.0,,,,,,,,,0.023,43.7,3.11,0.183
100.0,,,,,,,,,0.012,34.1,4.99,0.366
105.0,,,,,,,,,0.009,28.2,6.14,0.419
110.0,,,,,,,,,0.019,26.6,2.77,0.234
115.0,,,,,,,,,0.036,21.1,1.31,0.103
120.0,,,,,,,,,0.028,17.1,1.58,0.132
125.0,,,,,,,,,0.008,20.9,5.55,0.55
130.0,,,,,,,,,0.003,20.1,157.55,15.216
135.0,,,,,,,,,0.006,19.4,7.82,0.767
140.0,,,,,,,,,0.018,21.0,2.47,0.217
145.0,,,,,,,,,0.029,20.2,1.54,0.137
150.0,,,,,,,,,0.018,19.2,2.51,0.253
155.0,,,,,,,,,0.007,20.0,6.35,0.611
160.0,,,,,,,,,0.007,20.4,6.18,0.612
165.0,,,,,,,,,0.018,22.1,2.5,0.223
170.0,,,,,,,,,0.033,22.0,1.41,0.135
175.0,,,,,,,,,0.026,20.8,1.8,0.165
180.0,,,,,,,,,0.012,21.3,4.17,0.379
185.0,,,,,,,,,0.015,23.6,3.38,0.308
195.0,,,,,,,,,0.028,22.8,1.78,0.155
200.0,,,,,,,,,0.033,22.5,1.47,0.137
205.0,,,,,,,,,0.025,23.8,1.97,0.181
210.0,,,,,,,,,0.012,24.1,4.28,0.408
215.0,,,,,,,,,0.004,26.2,184.48,15.77
220.0,,,,,,,,,0.002,22.3,185.21,18.931
225.0,,,,,,,,,0.012,22.8,4.46,0.397
230.0,,,,,,,,,0.036,25.8,1.44,0.131
235.0,,,,,,,,,0.041,24.3,1.26,0.115
240.0,,,,,,,,,0.019,24.4,2.7,0.27
