Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,0.9,0.0,0.0
5.0,,,,,,,,,0.0,-1.6,0.0,0.0
10.0,,,,,,,,,0.0,0.5,0.0,0.0
15.0,,,,,,,,,0.0,0.01,0.0,0.0
20.0,,,,,,,,,0.0,9.3,0.0,0.0
25.0,,,,,,,,,0.0,205.3,0.0,0.0
30.0,,,,,,,,,0.0,210.9,0.0,0.0
35.0,,,,,,,,,0.0,82.8,0.0,0.0
40.0,,,,,,,,,0.0,52.8,0.0,0.011
45.0,,,,,,,,,0.103,39.5,0.76,0.011
50.0,,,,,,,,,65.1,36.3,0.011,0.01
55.0,,,,,,,,,0.411,39.0,0.17,0.461
60.0,,,,,,,,,0.411,53.0,0.19,0.412
65.0,,,,,,,,,0.411,65.0,0.21,14.007
70.0,,,,,,,,,64.7,66.0,0.008,0.163
75.0,,,,,,,,,64.9,60.0,0.008,0.159
80.0,,,,,,,,,0.007,56.9,12.29,0.223
85.0,,,,,,,,,0.009,50.8,9.1,0.121
90.0,,,,,,,,,0.005,46.3,282.31,0.179
95.0,,,,,,,,,0.499,41.7,3.05,0.354
100.0,,,,,,,,,0.008,36.3,2.3,0.384
105.0,,,,,,,,,0.022,33.9,3.0,0.422
110.0,,,,,,,,,0.021,30.7,0.17,0.267
115.0,,,,,,,,,1170.4,31.3,2.0,0.194
120.0,,,,,,,,,0.03,31.9,2.93,0.211
125.0,,,,,,,,,0.021,30.5,5.13,0.303
130.0,,,,,,,,,0.012,30.9,5.87,0.486
135.0,,,,,,,,,0.01,32.3,6.51,0.391
140.0,,,,,,,,,0.009,29.6,4.07,0.144
145.0,,,,,,,,,0.015,29.7,2.87,0.133
150.0,,,,,,,,,0.021,31.5,3.31,0.213
155.0,,,,,,,,,0.018,31.3,4.62,0.316
160.0,,,,,,,,,0.013,29.0,7.58,0.502
165.0,,,,,,,,,0.0,30.3,5.35,0.433
170.0,,,,,,,,,0.011,28.8,2.42,0.503
180.0,,,,,,,,,0.025,29.4,2.19,0.201
185.0,,,,,,,,,0.027,27.3,3.15,0.125
190.0,,,,,,,,,0.019,27.3,4.74,
195.0,,,,,,,,,0.013,26.3,7.22,
200.0,,,,,,,,,0.008,29.3,7.29,
205.0,,,,,,,,,0.008,29.2,7.34,
210.0,,,,,,,,,0.008,27.2,2.82,
215.0,,,,,,,,,0.021,27.8,1.86,
220.0,,,,,,,,,0.033,28.3,,
