Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,0.044000000000000004,,,,,,,0.0,0.0,0.0
3.0,,0.049,,,,,,,0.073,0.12,-0.003
6.0,,0.018000000000000002,,,,,,,0.072,0.12,-0.003
9.0,,0.048,,,,,,,0.071,0.11,-0.004
12.0,,0.008,,,,,,,0.069,0.1,-0.003
15.0,,0.048,,,,,,,0.065,0.1,0.0
18.0,,0.057999999999999996,,,,,,,0.063,0.1,0.0
21.0,,0.138,,,,,,,0.061,0.25,0.008
24.0,,0.654,,,,,,,0.06,1.25,0.036
27.0,,1.838,,,,,,,0.059,2.18,0.062
30.0,,2.738,,,,,,,0.059,2.31,0.07
33.0,,3.0010000000000003,,,,,,,0.059,2.19,0.068
36.0,,2.84,,,,,,,0.059,2.02,0.057
39.0,,2.59,,,,,,,0.059,1.85,0.047
42.0,,2.2630000000000003,,,,,,,0.059,1.67,0.035
45.0,,1.9440000000000002,,,,,,,0.058,1.53,0.027
48.0,,1.68,,,,,,,0.057,1.39,0.022
51.0,,1.462,,,,,,,0.057,1.28,0.018
54.0,,1.3030000000000002,,,,,,,0.055,1.2,0.015
57.0,,1.143,,,,,,,0.055,1.13,0.013
60.0,,1.0390000000000001,,,,,,,0.054,1.07,0.011
63.0,,0.9490000000000001,,,,,,,0.054,1.02,0.01
66.0,,0.907,,,,,,,0.053,0.99,0.009
69.0,,0.87,,,,,,,0.051,0.96,0.008
72.0,,0.798,,,,,,,0.049,0.93,0.009
75.0,,0.756,,,,,,,0.048,0.93,0.009
78.0,,0.747,,,,,,,0.046,0.91,0.011
81.0,,0.716,,,,,,,0.044,0.89,0.009
84.0,,0.68,,,,,,,0.043,0.88,0.01
87.0,,0.638,,,,,,,0.042,0.85,0.011
90.0,,0.623,,,,,,,0.042,0.83,0.011
93.0,,0.6020000000000001,,,,,,,0.041,0.81,0.013
96.0,,0.58,,,,,,,0.041,0.8,0.014
99.0,,0.5770000000000001,,,,,,,0.04,0.77,0.015
102.0,,0.529,,,,,,,0.039,0.77,0.02
105.0,,0.538,,,,,,,0.038,0.78,0.02
108.0,,0.517,,,,,,,0.037,0.77,0.022
111.0,,0.49100000000000005,,,,,,,0.036,0.74,0.024
114.0,,0.43200000000000005,,,,,,,0.034,0.73,0.025
117.0,,0.43100000000000005,,,,,,,0.033,0.75,0.026
120.0,,0.39,,,,,,,0.032,0.71,0.029
123.0,,0.353,,,,,,,0.031,0.65,0.034
126.0,,0.34700000000000003,,,,,,,0.031,0.64,0.034
129.0,,0.336,,,,,,,0.03,0.61,0.036
132.0,,0.309,,,,,,,0.03,0.58,0.037
135.0,,0.302,,,,,,,0.03,0.5,0.041
138.0,,0.256,,,,,,,0.028,0.44,0.045
141.0,,0.193,,,,,,,0.027,0.43,0.048
144.0,,0.17600000000000002,,,,,,,0.026,0.45,0.05
147.0,,0.171,,,,,,,0.025,0.47,0.051
150.0,,0.17500000000000002,,,,,,,0.024,0.5,0.056
153.0,,0.20800000000000002,,,,,,,0.023,0.52,0.058
156.0,,0.172,,,,,,,0.023,0.54,0.06
159.0,,0.19899999999999998,,,,,,,0.024,0.56,0.06
162.0,,0.189,,,,,,,0.024,0.56,0.06
