Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,0.5,0.0,0.0
5.0,,,,,,,,,0.015,2.2,1.68,0.028
15.0,,,,,,,,,0.046,3.4,0.55,0.011
20.0,,,,,,,,,0.015,3.6,1.78,0.065
25.0,,,,,,,,,0.015,6.7,1.75,0.095
30.0,,,,,,,,,0.031,3.1,0.8,0.042
35.0,,,,,,,,,0.025,4.6,1.03,0.02
40.0,,,,,,,,,0.003,2.4,89.52,3.634
45.0,,,,,,,,,0.003,1.0,83.86,2.375
50.0,,,,,,,,,0.003,4.4,81.85,1.639
55.0,,,,,,,,,0.003,3.4,82.14,0.0
60.0,,,,,,,,,0.005,2.4,84.19,4.081
65.0,,,,,,,,,0.022,3.6,1.07,0.04
70.0,,,,,,,,,0.033,3.8,0.73,0.0
75.0,,,,,,,,,0.01,3.6,2.37,0.068
80.0,,,,,,,,,0.01,3.4,2.38,0.067
85.0,,,,,,,,,0.01,4.1,2.42,0.104
90.0,,,,,,,,,0.008,7.7,3.58,0.072
95.0,,,,,,,,,0.008,7.7,3.99,0.073
100.0,,,,,,,,,0.008,5.1,3.76,0.103
105.0,,,,,,,,,0.008,7.5,3.95,0.067
110.0,,,,,,,,,0.027,2.4,1.06,0.031
115.0,,,,,,,,,0.053,7.3,0.49,0.012
120.0,,,,,,,,,0.035,4.1,0.73,0.0
125.0,,,,,,,,,0.035,2.4,0.71,0.018
130.0,,,,,,,,,0.035,1.7,0.69,0.025
135.0,,,,,,,,,0.021,3.1,1.14,0.03
