Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,1.9,0.0,0.0
5.0,,,,,,,,,0.0,2.1,0.0,0.0
10.0,,,,,,,,,,,,
15.0,,,,,,,,,,,,
20.0,,,,,,,,,0.0,4.5,0.0,0.0
25.0,,,,,,,,,0.0,5.0,0.0,0.0
30.0,,,,,,,,,0.0,2.4,0.0,0.0
35.0,,,,,,,,,0.0,6.4,0.0,0.0
40.0,,,,,,,,,0.0,7.1,0.0,0.0
45.0,,,,,,,,,0.0,7.9,0.0,0.0
50.0,,,,,,,,,0.0,1.9,0.0,0.0
55.0,,,,,,,,,0.0,2.4,0.0,0.0
60.0,,,,,,,,,0.0,1.9,0.0,0.0
65.0,,,,,,,,,0.0,3.8,0.0,0.0
70.0,,,,,,,,,0.0,5.5,103.21,2.97
75.0,,,,,,,,,0.004,3.1,97.6,5.322
80.0,,,,,,,,,0.001,2.9,94.13,4.032
85.0,,,,,,,,,0.001,0.7,92.51,3.989
90.0,,,,,,,,,0.003,1.2,92.65,4.316
95.0,,,,,,,,,0.008,2.1,3.4,0.16
100.0,,,,,,,,,0.008,3.3,3.36,0.121
105.0,,,,,,,,,0.008,1.2,3.33,0.141
110.0,,,,,,,,,0.002,2.1,90.78,3.874
115.0,,,,,,,,,0.008,1.9,3.33,0.156
120.0,,,,,,,,,0.018,0.2,1.46,0.079
125.0,,,,,,,,,0.01,1.9,2.6,0.062
130.0,,,,,,,,,0.01,2.9,2.61,0.108
135.0,,,,,,,,,0.01,1.2,2.61,0.132
