Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,-0.0017600000000000003,,,,,,,0.0,0.0,0.0
5.0,,0.00616,,,,,,,0.0,0.0,0.0
10.0,,0.01056,,,,,,,0.0,0.0,0.0
15.0,,-0.0044,,,,,,,0.0,0.0,0.0
20.0,,0.01672,,,,,,,0.0,0.0,0.0
25.0,,-0.0017600000000000003,,,,,,,0.0,0.0,0.0
30.0,,0.02112,,,,,,,0.0,0.0,0.0
35.0,,0.00616,,,,,,,0.0,0.0,0.0
40.0,,-0.0017600000000000003,,,,,,,0.0,0.0,0.0
45.0,,-0.00616,,,,,,,0.0,0.0,0.0
50.0,,0.01232,,,,,,,0.075,0.33,0.011
55.0,,0.09504000000000001,,,,,,,0.042,0.6,0.016
60.0,,0.82368,,,,,,,0.031,0.82,0.013
65.0,,0.51568,,,,,,,0.033,2.37,0.121
75.0,,0.3124,,,,,,,0.019,4.08,0.19
80.0,,0.24464000000000002,,,,,,,0.017,4.06,0.164
85.0,,0.029920000000000002,,,,,,,0.017,3.41,0.14
90.0,,-0.0132,,,,,,,0.003,139.93,4.372
95.0,,-0.00616,,,,,,,0.003,107.72,3.697
100.0,,-0.00616,,,,,,,0.008,3.2,0.103
105.0,,0.014960000000000001,,,,,,,0.017,1.55,0.055
110.0,,0.0088,,,,,,,0.02,1.26,0.058
115.0,,0.00616,,,,,,,0.037,0.66,0.034
120.0,,-0.01232,,,,,,,0.022,1.1,0.038
125.0,,0.00616,,,,,,,0.022,1.12,0.039
130.0,,0.00616,,,,,,,0.022,1.11,0.02
