Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,4.0,0.0,0.0
6.0,,,,,,,,,0.009,1.2,2.79,0.0
12.0,,,,,,,,,0.009,0.5,2.69,0.0
18.0,,,,,,,,,0.009,0.0,2.82,0.052
24.0,,,,,,,,,0.009,2.3,11.02,0.31
30.0,,,,,,,,,0.009,186.2,17.86,0.398
36.0,,,,,,,,,0.009,154.0,14.06,0.253
42.0,,,,,,,,,0.009,80.2,10.89,0.124
48.0,,,,,,,,,0.009,46.7,8.77,0.128
54.0,,,,,,,,,0.009,38.1,8.25,0.188
60.0,,,,,,,,,0.009,38.1,8.24,0.191
66.0,,,,,,,,,0.009,45.6,8.63,0.182
72.0,,,,,,,,,0.009,52.3,8.88,0.178
78.0,,,,,,,,,0.013,51.3,5.52,0.102
84.0,,,,,,,,,0.019,48.5,3.99,0.107
90.0,,,,,,,,,0.023,48.9,3.17,0.07
96.0,,,,,,,,,0.022,47.7,3.18,0.078
102.0,,,,,,,,,0.02,42.1,3.43,0.072
108.0,,,,,,,,,0.019,42.6,3.57,0.079
114.0,,,,,,,,,0.018,40.4,3.67,0.096
120.0,,,,,,,,,0.015,37.3,4.27,0.123
126.0,,,,,,,,,0.016,38.2,3.78,0.097
132.0,,,,,,,,,0.019,35.4,3.35,0.077
138.0,,,,,,,,,0.015,33.5,4.12,0.133
144.0,,,,,,,,,0.013,34.1,4.6,0.153
150.0,,,,,,,,,0.013,31.1,4.47,0.13
156.0,,,,,,,,,0.012,30.2,4.69,0.138
162.0,,,,,,,,,0.014,29.2,4.26,0.138
168.0,,,,,,,,,0.016,29.9,3.67,0.131
174.0,,,,,,,,,0.015,29.6,3.76,0.133
180.0,,,,,,,,,0.013,26.2,4.51,0.164
186.0,,,,,,,,,0.013,29.8,4.41,0.173
192.0,,,,,,,,,0.013,26.6,4.45,0.153
198.0,,,,,,,,,0.013,27.6,4.16,0.135
204.0,,,,,,,,,0.013,28.0,4.29,0.158
210.0,,,,,,,,,0.011,28.1,4.85,0.181
216.0,,,,,,,,,0.014,27.6,3.96,0.142
222.0,,,,,,,,,0.015,24.2,3.71,0.149
228.0,,,,,,,,,0.015,25.9,3.73,0.133
234.0,,,,,,,,,0.013,26.6,4.35,0.149
240.0,,,,,,,,,0.008,27.1,6.69,0.23
246.0,,,,,,,,,0.01,25.2,5.63,0.208
252.0,,,,,,,,,0.015,27.3,3.76,0.147
258.0,,,,,,,,,0.014,26.2,3.97,0.16
264.0,,,,,,,,,0.013,25.5,4.41,0.162
270.0,,,,,,,,,0.014,26.3,3.89,0.148
276.0,,,,,,,,,0.016,25.9,3.39,0.138
282.0,,,,,,,,,0.015,27.1,3.74,0.149
288.0,,,,,,,,,0.009,25.6,5.89,0.245
294.0,,,,,,,,,0.01,24.6,5.59,0.203
300.0,,,,,,,,,0.014,25.8,3.87,0.15
306.0,,,,,,,,,0.014,23.4,3.86,0.146
312.0,,,,,,,,,0.013,24.8,4.25,0.169
318.0,,,,,,,,,0.012,23.7,4.62,0.199
324.0,,,,,,,,,0.013,24.2,4.21,0.168
330.0,,,,,,,,,0.012,24.2,4.55,0.199
336.0,,,,,,,,,0.012,24.9,4.73,0.216
342.0,,,,,,,,,0.015,24.6,3.71,0.152
348.0,,,,,,,,,0.016,24.3,3.5,0.155
354.0,,,,,,,,,0.015,23.2,3.78,0.148
360.0,,,,,,,,,0.013,23.1,4.32,0.167
366.0,,,,,,,,,0.01,23.7,5.26,0.213
372.0,,,,,,,,,0.011,22.8,5.0,0.219
378.0,,,,,,,,,0.012,22.5,4.43,0.196
384.0,,,,,,,,,0.011,24.7,4.81,0.206
390.0,,,,,,,,,0.009,21.4,5.95,0.272
396.0,,,,,,,,,0.011,23.5,5.1,0.234
402.0,,,,,,,,,0.013,23.7,4.21,0.215
408.0,,,,,,,,,0.013,23.1,4.28,0.158
414.0,,,,,,,,,0.012,22.0,4.46,0.183
420.0,,,,,,,,,0.011,23.2,5.04,0.243
426.0,,,,,,,,,0.011,22.7,5.01,0.252
432.0,,,,,,,,,0.011,23.5,4.88,0.246
438.0,,,,,,,,,0.012,23.8,4.42,0.202
444.0,,,,,,,,,0.013,23.1,4.1,0.192
