Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,-0.002,,,,,,,0.0,0.0,0.0
3.0,,0.006,,,,,,,0.137,0.1,-0.863
6.0,,0.004,,,,,,,0.131,0.1,-0.917
9.0,,0.017,,,,,,,0.128,0.1,-0.951
12.0,,0.013000000000000001,,,,,,,0.124,0.11,-0.979
15.0,,0.002,,,,,,,0.121,0.11,-0.997
18.0,,0.004,,,,,,,0.117,0.12,-1.035
21.0,,0.015,,,,,,,0.114,0.13,-1.078
24.0,,0.053,,,,,,,0.11,0.15,-1.021
27.0,,0.258,,,,,,,0.108,0.48,-1.021
30.0,,1.048,,,,,,,0.105,1.28,-1.019
33.0,,2.041,,,,,,,0.103,1.96,-0.998
36.0,,2.784,,,,,,,0.101,2.57,-1.054
39.0,,3.199,,,,,,,0.098,2.93,-1.088
42.0,,3.25,,,,,,,0.095,3.05,-1.142
45.0,,2.9530000000000003,,,,,,,0.094,2.89,-1.214
48.0,,2.57,,,,,,,0.092,2.73,-1.213
51.0,,2.213,,,,,,,0.091,2.53,-1.236
54.0,,1.84,,,,,,,0.089,2.28,-1.264
57.0,,1.4780000000000002,,,,,,,0.088,2.05,-1.282
60.0,,1.1940000000000002,,,,,,,0.086,1.85,-1.381
63.0,,0.9990000000000001,,,,,,,0.084,1.69,-1.39
66.0,,0.843,,,,,,,0.083,1.55,-1.379
69.0,,0.788,,,,,,,0.079,1.51,-1.458
72.0,,0.756,,,,,,,0.076,1.49,-1.521
75.0,,0.71,,,,,,,0.071,1.47,-1.635
78.0,,0.662,,,,,,,0.068,1.45,-1.682
81.0,,0.6459999999999999,,,,,,,0.065,1.44,-1.786
84.0,,0.624,,,,,,,0.062,1.46,-1.854
87.0,,0.594,,,,,,,0.06,1.45,-1.887
90.0,,0.5750000000000001,,,,,,,0.058,1.45,-1.917
93.0,,0.5720000000000001,,,,,,,0.057,1.45,-1.99
96.0,,0.5579999999999999,,,,,,,0.055,1.47,-2.062
99.0,,0.542,,,,,,,0.054,1.46,-2.129
102.0,,0.527,,,,,,,0.053,1.47,-2.182
105.0,,0.523,,,,,,,0.052,1.47,-2.229
108.0,,0.526,,,,,,,0.051,1.44,-2.228
111.0,,0.51,,,,,,,0.051,1.41,-2.245
114.0,,0.501,,,,,,,0.051,1.41,-2.239
117.0,,0.478,,,,,,,0.05,1.38,-2.327
120.0,,0.469,,,,,,,0.049,1.36,-2.305
123.0,,0.44799999999999995,,,,,,,0.049,1.35,-2.385
126.0,,0.446,,,,,,,0.048,1.32,-2.519
129.0,,0.445,,,,,,,0.047,1.32,-2.474
132.0,,0.436,,,,,,,0.047,1.3,-2.486
135.0,,0.44200000000000006,,,,,,,0.047,1.29,-2.5
138.0,,0.446,,,,,,,0.047,1.28,-2.502
141.0,,0.438,,,,,,,0.046,1.27,-2.518
144.0,,0.423,,,,,,,0.045,1.26,-2.62
147.0,,0.418,,,,,,,0.045,1.24,-2.571
150.0,,0.394,,,,,,,0.045,1.22,-2.558
153.0,,0.40700000000000003,,,,,,,0.044,1.27,-2.593
156.0,,0.44,,,,,,,0.044,1.32,-2.656
159.0,,0.452,,,,,,,0.044,1.35,-2.65
162.0,,0.44,,,,,,,0.043,1.33,-2.634
165.0,,0.40399999999999997,,,,,,,0.043,1.29,-2.709
168.0,,0.38200000000000006,,,,,,,0.043,1.29,-2.717
171.0,,0.35600000000000004,,,,,,,0.043,1.28,-2.694
174.0,,0.363,,,,,,,0.043,1.26,-2.766
177.0,,0.364,,,,,,,0.043,1.25,-2.739
180.0,,0.34500000000000003,,,,,,,0.043,1.25,-2.734
183.0,,0.349,,,,,,,0.042,1.25,-2.75
186.0,,0.36100000000000004,,,,,,,0.042,1.25,-2.791
189.0,,0.36700000000000005,,,,,,,0.042,1.25,-2.853
192.0,,0.358,,,,,,,0.042,1.23,-2.838
195.0,,0.35200000000000004,,,,,,,0.042,1.22,-2.897
198.0,,0.344,,,,,,,0.042,1.2,-2.788
201.0,,0.34,,,,,,,0.041,1.16,-2.787
204.0,,0.314,,,,,,,0.04,1.16,-2.844
207.0,,0.303,,,,,,,0.039,1.17,-2.909
210.0,,0.305,,,,,,,0.039,1.17,-2.949
213.0,,0.31,,,,,,,0.038,1.19,-3.001
216.0,,0.29600000000000004,,,,,,,0.038,1.18,-2.974
219.0,,0.31,,,,,,,0.038,1.19,-3.007
222.0,,0.295,,,,,,,0.038,1.2,-3.012
225.0,,0.299,,,,,,,0.037,1.24,-3.13
228.0,,0.298,,,,,,,0.037,1.24,-3.11
231.0,,0.298,,,,,,,0.037,1.23,-3.021
234.0,,0.289,,,,,,,0.037,1.24,-3.067
237.0,,0.307,,,,,,,0.037,1.25,-3.025
240.0,,0.298,,,,,,,0.037,1.23,-3.095
243.0,,0.284,,,,,,,0.037,1.23,-3.179
246.0,,0.29300000000000004,,,,,,,0.036,1.24,-3.173
249.0,,0.29600000000000004,,,,,,,0.036,1.24,-3.197
