Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-1.5,0.0,0.0
5.0,,,,,,,,,0.0,0.5,0.0,0.0
10.0,,,,,,,,,0.0,-0.2,0.0,0.0
15.0,,,,,,,,,0.0,1.0,0.0,0.0
20.0,,,,,,,,,0.0,-1.0,0.0,0.0
25.0,,,,,,,,,0.0,0.7,0.0,0.0
30.0,,,,,,,,,0.0,-1.7,0.0,0.0
35.0,,,,,,,,,0.0,0.5,0.0,0.0
40.0,,,,,,,,,0.0,-0.5,0.0,0.0
45.0,,,,,,,,,0.044,1.4,0.56,0.018
50.0,,,,,,,,,0.052,1.5,0.47,0.016
55.0,,,,,,,,,0.035,54.5,0.96,0.098
60.0,,,,,,,,,0.029,110.2,2.97,0.315
65.0,,,,,,,,,0.023,17.6,3.45,0.234
70.0,,,,,,,,,0.034,-3.4,1.38,0.072
75.0,,,,,,,,,0.049,-1.0,0.65,0.028
80.0,,,,,,,,,0.04,0.2,0.67,0.02
85.0,,,,,,,,,0.007,0.7,3.8,0.133
90.0,,,,,,,,,0.007,-0.2,3.71,0.142
95.0,,,,,,,,,0.001,1.7,85.8,2.865
100.0,,,,,,,,,0.008,1.4,2.88,0.091
105.0,,,,,,,,,0.008,2.2,2.96,0.139
110.0,,,,,,,,,0.002,1.9,80.48,2.245
115.0,,,,,,,,,0.002,-0.7,84.07,1.4
120.0,,,,,,,,,0.002,-0.7,83.2,0.0
125.0,,,,,,,,,0.04,1.9,0.6,0.02
130.0,,,,,,,,,0.025,1.7,0.99,0.03
