Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,,,,
5.0,,,,,,,,,,,,
10.0,,,,,,,,,,,,
15.0,,,,,,,,,,,,
20.0,,,,,,,,,0.0,6.0,0.0,0.0
25.0,,,,,,,,,0.0,240.9,0.0,0.0
30.0,,,,,,,,,0.0,312.3,0.0,0.0
35.0,,,,,,,,,0.0,240.9,0.0,0.0
40.0,,,,,,,,,0.0,139.9,0.0,0.0
45.0,,,,,,,,,0.0,119.7,0.0,0.0
50.0,,,,,,,,,0.0,136.6,0.0,0.0
55.0,,,,,,,,,0.019,139.9,6.83,0.719
60.0,,,,,,,,,0.053,129.4,2.43,0.181
65.0,,,,,,,,,0.086,128.4,1.51,0.091
70.0,,,,,,,,,0.073,120.2,1.76,0.091
75.0,,,,,,,,,0.055,110.3,2.24,0.07
80.0,,,,,,,,,0.066,94.8,1.73,0.065
85.0,,,,,,,,,0.057,77.7,1.82,0.073
90.0,,,,,,,,,0.033,62.2,2.74,0.151
95.0,,,,,,,,,0.024,48.1,3.29,0.265
100.0,,,,,,,,,0.026,38.5,2.66,0.281
105.0,,,,,,,,,0.022,38.8,2.93,0.345
110.0,,,,,,,,,0.013,38.7,4.86,0.516
115.0,,,,,,,,,0.024,39.7,2.72,0.295
120.0,,,,,,,,,0.037,42.6,1.78,0.18
125.0,,,,,,,,,0.024,41.0,2.7,0.277
130.0,,,,,,,,,0.018,39.0,3.56,0.354
135.0,,,,,,,,,0.027,39.4,2.42,0.224
140.0,,,,,,,,,0.026,38.9,2.43,0.239
145.0,,,,,,,,,0.016,36.9,4.02,0.412
150.0,,,,,,,,,0.006,38.4,11.23,1.067
155.0,,,,,,,,,0.006,38.2,10.65,0.963
160.0,,,,,,,,,0.011,38.9,5.58,0.486
165.0,,,,,,,,,0.028,36.0,2.32,0.193
170.0,,,,,,,,,0.04,35.8,1.58,0.13
175.0,,,,,,,,,0.023,34.6,2.68,0.215
180.0,,,,,,,,,0.008,37.0,8.26,0.693
185.0,,,,,,,,,0.006,36.2,10.83,0.84
190.0,,,,,,,,,0.01,35.9,6.5,0.431
195.0,,,,,,,,,0.015,34.6,4.37,0.284
200.0,,,,,,,,,0.009,34.4,6.85,0.488
205.0,,,,,,,,,0.016,34.7,4.04,0.274
210.0,,,,,,,,,0.046,37.2,1.4,0.094
215.0,,,,,,,,,0.042,35.6,1.49,0.1
220.0,,,,,,,,,0.042,35.0,1.51,0.097
